TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,965.4,967.0,947.2,951.35,949.2,959.15,138433,132556381.5,12408
2024-01-02,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,951.3,957.0,941.85,944.55,946.2,951.35,147467,139877429.65,15445
2024-01-03,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,943.0,965.0,938.45,959.0,960.0,944.55,168149,159810242.1,14321
2024-01-04,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,959.0,1000.0,959.0,990.25,990.0,959.0,343491,338856934.7,26181
2024-01-05,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1000.0,1022.8,996.0,1001.85,999.0,990.25,299322,302369987.75,23514
2024-01-08,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1012.0,1018.3,989.0,1000.05,999.0,1001.85,182263,181830308.85,20646
2024-01-09,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1008.0,1008.0,985.0,991.3,988.05,1000.05,119699,119108751.75,21769
2024-01-10,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,991.15,1004.95,978.25,995.15,997.75,991.3,347664,343498599.85,23862
2024-01-11,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,996.75,1074.45,993.45,1045.7,1043.0,995.15,629954,660697652.35,46982
2024-01-12,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1049.95,1057.2,1016.0,1020.3,1019.0,1045.7,228079,233918454.5,18938
2024-01-15,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1029.9,1031.85,993.35,1000.0,1003.0,1020.3,310542,311301212.5,19798
2024-01-16,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,998.8,1022.75,991.7,1000.85,1007.0,1000.0,341225,342954000.45,32489
2024-01-17,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1009.0,1049.35,1000.0,1029.9,1033.5,1000.85,578347,597835494.75,39901
2024-01-18,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1026.05,1068.0,1010.0,1061.25,1062.0,1029.9,355753,372703716.75,29947
2024-01-19,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1065.0,1098.0,1060.55,1093.65,1095.05,1061.25,490308,532067177.6,49857
2024-01-23,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1100.0,1144.8,1100.0,1130.5,1133.5,1088.55,520242,584834565.65,50405
2024-01-24,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1137.85,1165.7,1112.25,1124.25,1130.0,1130.5,461145,520692564.45,48733
2024-01-25,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1134.2,1137.8,1103.0,1107.5,1108.0,1124.25,361232,401529497.0,27863
2024-01-29,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1126.65,1140.0,1081.1,1134.8,1136.45,1107.5,294268,327323515.4,29439
2024-01-30,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1138.0,1138.0,1110.0,1115.8,1111.0,1134.8,226611,254643110.35,27436
2024-01-31,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1125.9,1174.8,1115.8,1148.3,1150.0,1115.8,387936,447785666.0,33161
2024-02-01,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1152.25,1200.4,1144.15,1198.4,1200.0,1148.3,327897,388152781.0,34051
2024-02-02,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1210.0,1305.1,1204.2,1249.0,1249.95,1198.4,896030,1122250207.45,80735
2024-02-05,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1257.0,1260.25,1198.15,1214.1,1218.0,1249.0,568577,695276349.5,58181
2024-02-06,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1218.0,1272.0,1215.0,1234.9,1230.85,1214.1,693169,865445116.5,63587
2024-02-07,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1248.25,1258.55,1225.1,1235.6,1246.85,1234.9,579183,718372559.8,40532
2024-02-08,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1254.55,1266.3,1242.0,1258.85,1260.0,1235.6,234618,294322553.9,26048
2024-02-09,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1284.05,1308.85,1257.3,1269.5,1273.0,1258.85,789550,1011014331.15,46237
2024-02-12,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1272.65,1448.45,1270.1,1346.5,1350.0,1269.5,3103496,4265494032.15,176608
2024-02-13,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1346.5,1358.8,1322.5,1349.7,1349.95,1346.5,544219,732744515.35,29627
2024-02-14,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1339.95,1348.7,1290.0,1321.9,1329.0,1349.7,378401,500766491.5,24230
2024-02-15,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1334.9,1407.3,1325.35,1390.0,1390.0,1321.9,530476,733410427.05,37969
2024-02-16,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1412.0,1513.9,1405.05,1435.65,1434.5,1390.0,864142,1266816093.85,71216
2024-02-19,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1471.45,1510.0,1378.4,1395.5,1394.1,1435.65,511691,727264755.6,40636
2024-02-20,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1397.85,1440.55,1370.0,1400.45,1400.0,1395.5,449843,629911613.45,31784
2024-02-21,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1407.4,1480.0,1374.8,1432.25,1446.8,1400.45,678598,977920289.75,49004
2024-02-22,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1450.1,1500.0,1413.4,1486.25,1488.95,1432.25,438755,640670923.65,27422
2024-02-23,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1493.7,1509.9,1351.0,1487.05,1485.6,1486.25,413092,609680299.45,43093
2024-02-26,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1491.0,1491.0,1412.0,1434.95,1447.15,1487.05,269192,391101289.25,30941
2024-02-27,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1453.5,1495.0,1421.1,1442.6,1446.0,1434.95,335266,489440752.55,52817
2024-02-28,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1448.15,1459.95,1422.0,1442.2,1433.0,1442.6,319058,459770867.6,42047
2024-02-29,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1437.15,1440.0,1340.1,1364.2,1379.95,1442.2,782388,1069474771.1,47733
2024-03-01,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1364.95,1448.8,1292.0,1298.65,1300.0,1364.2,1148198,1551600213.9,103077
2024-03-04,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1327.5,1340.95,1232.95,1260.55,1280.0,1320.85,1231430,1551291188.55,78890
2024-03-05,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1260.45,1282.05,1232.6,1246.75,1250.0,1260.55,671742,838464349.9,63219
2024-03-06,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1240.0,1281.7,1185.3,1254.5,1250.0,1246.75,766112,940206295.95,65929
2024-03-07,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1260.35,1278.95,1227.0,1254.95,1260.0,1254.5,411701,512784188.5,57033
2024-03-11,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1266.25,1295.0,1229.9,1238.55,1232.0,1254.95,378685,475028854.7,50402
2024-03-12,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1240.7,1240.7,1199.05,1205.7,1207.0,1238.55,281952,341088174.05,53873
2024-03-13,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1210.5,1217.85,1123.15,1150.7,1128.9,1205.7,644493,741603886.25,67245
2024-03-14,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1115.0,1154.75,1061.25,1136.4,1150.0,1150.7,466778,526419702.9,44658
2024-03-15,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1144.0,1155.15,1110.1,1120.9,1114.95,1136.4,312397,353384872.1,60973
2024-03-18,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1127.9,1198.55,1112.0,1185.15,1190.0,1120.9,1051926,1210229911.95,51885
2024-03-19,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1196.0,1215.0,1175.0,1210.35,1210.0,1185.15,502277,599017534.55,40734
2024-03-20,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1219.7,1224.7,1196.4,1208.6,1211.0,1210.35,141016,170095598.5,21156
2024-03-21,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1215.0,1240.0,1215.0,1230.5,1230.05,1208.6,143122,175975927.5,15364
2024-03-22,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1239.0,1290.0,1230.0,1280.55,1281.0,1230.5,186874,236048464.35,18305
2024-03-26,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1282.7,1299.45,1278.25,1290.2,1295.0,1280.55,211220,271428244.25,17286
2024-03-27,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1299.0,1349.0,1291.5,1340.15,1340.25,1290.2,993870,1329578231.65,24723
2024-03-28,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1352.0,1353.9,1285.3,1321.15,1320.1,1340.15,408690,539397244.25,38810
2024-04-01,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1338.95,1350.0,1320.0,1331.25,1325.0,1321.15,1152390,1527870539.55,31522
2024-04-02,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1330.0,1339.75,1301.75,1331.65,1335.0,1331.25,324266,429684452.3,28211
2024-04-03,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1329.05,1349.0,1320.0,1337.95,1338.0,1331.65,838420,1125998047.9,18433
2024-04-04,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1346.0,1384.1,1341.65,1356.1,1361.95,1337.95,172176,233511179.2,21948
2024-04-05,CM,INE474Q01031,MEDANTA,GLOBAL HEALTH LIMITED,1360.0,1375.0,1344.1,1365.95,1367.5,1356.1,103918,141831972.35,14520
