TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-03,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,995.0,995.0,995.0,995.0,995.0,995.0,1,995.0,1
2024-01-04,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,995.0,995.0,995.0,995.0,995.0,995.0,196,195020.0,3
2024-01-09,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,100,100000.0,1
2024-01-11,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,100,100000.0,3
2024-01-12,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,100,100000.0,1
2024-01-24,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,981.0,1008.0,981.0,1006.82,1006.9,1000.0,438,435920.2,16
2024-01-25,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,991.0,991.0,991.0,991.0,991.0,1006.82,200,198200.0,4
2024-02-20,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,985.0,1020.0,985.0,1020.0,1020.0,991.0,6,6015.0,2
2024-02-28,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,998.0,998.0,998.0,998.0,998.0,1020.0,25,24950.0,1
2024-03-01,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,1005.0,1005.0,1005.0,1005.0,1005.0,998.0,50,50250.0,1
2024-03-14,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,997.0,997.0,981.0,981.0,981.0,1005.0,20,19780.0,2
2024-03-18,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,997.9,997.9,997.9,997.9,997.9,981.0,25,24947.5,1
2024-04-03,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,992.0,992.0,992.0,992.0,992.0,997.9,5,4960.0,1
2024-04-04,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,999.9,999.9,999.9,999.9,999.9,992.0,45,44995.5,1
2024-04-05,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,999.9,999.9,997.9,997.9,997.9,999.9,108,107789.2,5
2024-04-22,CM,INE583D07307,UGROCAP,SEC RED NCD 10.35% SR. II,998.0,998.0,998.0,998.0,998.0,997.9,350,349300.0,1
2024-06-14,CM,INE583D07307,1035UCL24,SEC RED NCD 10.35% SR. II,999.0,999.0,999.0,999.0,999.0,1035.0,50,49950.0,1
2024-06-18,CM,INE583D07307,1035UCL24,SEC RED NCD 10.35% SR. II,999.0,999.0,999.0,999.0,999.0,999.0,9,8991.0,1
2024-07-08,CM,INE583D07307,1035UCL24,SEC RED NCD 10.35% SR. II,994.31,994.31,994.31,994.31,994.31,999.0,200,198862.0,1
2024-08-28,CM,INE583D07307,1035UCL24,SEC RED NCD 10.35% SR. II,1000.0,1000.0,1000.0,1000.0,1000.0,994.31,145,145000.0,5
2024-09-11,CM,INE583D07307,1035UCL24,SEC RED NCD 10.35% SR. II,950.0,950.0,950.0,950.0,950.0,1000.0,77,73150.0,1
