TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.35,12.35,11.85,12.2,12.1,12.4,30226,364387.65,84
2024-01-02,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.1,12.3,11.8,12.25,12.25,12.2,16823,202335.65,83
2024-01-03,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.5,12.5,12.0,12.25,12.25,12.25,14657,178349.95,72
2024-01-04,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.8,12.65,11.8,12.3,12.3,12.25,18954,233830.2,57
2024-01-05,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.85,12.55,11.85,12.3,12.3,12.3,19618,240194.1,55
2024-01-08,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.5,12.5,11.85,12.0,12.0,12.3,23552,285348.4,74
2024-01-09,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.55,12.6,12.1,12.25,12.2,12.0,12417,154896.05,64
2024-01-10,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.25,12.3,12.05,12.2,12.2,12.25,6844,83397.3,37
2024-01-11,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.6,12.6,11.6,12.3,12.3,12.2,30093,362981.25,77
2024-01-12,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.25,12.5,11.75,12.0,12.35,12.3,60133,723816.1,95
2024-01-15,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,12.1,12.2,11.4,11.7,11.65,12.0,32327,377653.3,100
2024-01-16,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.7,11.85,11.3,11.45,11.45,11.7,28962,332775.9,107
2024-01-17,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.05,11.5,11.05,11.25,11.25,11.45,16519,186555.55,60
2024-01-18,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.25,11.45,11.05,11.3,11.3,11.25,14458,162456.25,51
2024-01-19,CM,INE804H01012,TFL,TRANSWARRANTY FIN. LTD.,11.3,11.75,11.0,11.65,11.65,11.3,24589,282342.2,88
