TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,119.9,120.45,117.9,119.85,119.9,118.7,66305,7959456.65,1040
2024-01-02,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,120.9,131.85,120.25,130.2,130.75,119.85,1008167,128049748.6,9739
2024-01-03,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,132.5,136.0,130.25,132.8,133.9,130.2,1203988,161309681.3,11011
2024-01-04,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,136.65,136.65,131.7,133.45,133.6,132.8,312924,41943912.15,5001
2024-01-05,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,134.95,135.8,130.6,132.75,133.0,133.45,275178,36651976.7,4600
2024-01-08,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,135.2,137.8,125.25,128.95,130.0,132.75,663262,86491177.3,12698
2024-01-09,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,130.5,133.65,128.1,131.75,129.7,128.95,296429,38933991.5,6101
2024-01-10,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,130.95,134.9,127.05,129.5,129.85,131.75,261937,34364009.4,5798
2024-01-11,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,130.9,132.5,128.9,130.65,129.6,129.5,139176,18216968.2,3687
2024-01-12,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,129.65,132.65,128.85,130.2,130.9,130.65,125142,16300142.0,3076
2024-01-15,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,131.45,132.5,128.95,129.35,129.05,130.2,168749,21988467.9,2987
2024-01-16,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,129.35,130.7,125.15,126.9,127.25,129.35,189938,24282341.4,4398
2024-01-17,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,125.3,127.45,124.3,125.65,125.95,126.9,115370,14541014.4,2983
2024-01-18,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,125.65,127.5,121.9,125.55,125.7,125.65,129143,16090559.8,3026
2024-01-19,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,126.05,127.15,124.35,125.85,126.4,125.55,76307,9586219.95,1691
2024-01-23,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,129.4,129.4,123.45,123.65,124.0,126.75,119772,14988285.45,2275
2024-01-24,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,124.85,127.0,121.05,124.4,126.9,123.65,78530,9679613.7,2003
2024-01-25,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,125.65,127.5,124.05,125.0,125.0,124.4,118212,14836582.25,2203
2024-01-29,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,126.9,126.9,122.1,123.15,123.85,125.0,125684,15612878.95,3134
2024-01-30,CM,INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,122.6,125.75,122.6,123.5,123.3,123.15,110281,13677658.9,2248
