TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,68.8,69.75,68.4,68.9,69.0,68.7,969466,67027836.55,4725
2024-01-02,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.25,70.0,68.5,69.55,69.5,68.9,1639119,113755268.6,7854
2024-01-03,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.75,71.7,68.9,70.4,70.25,69.55,1624139,114253602.45,7092
2024-01-04,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.15,73.7,69.7,72.35,72.2,70.4,6916541,501750875.15,16784
2024-01-05,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,71.15,73.4,69.65,70.55,70.6,72.35,5005428,357167819.7,14807
2024-01-08,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,72.7,72.7,69.4,69.65,69.7,70.55,3118940,218618737.2,9176
2024-01-09,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.15,70.5,69.3,69.8,69.5,69.65,1873293,130970095.75,5967
2024-01-10,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.75,70.85,68.75,70.65,70.6,69.8,2148016,150514929.7,7228
2024-01-11,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.9,73.2,70.65,71.75,71.8,70.65,4315406,310491200.6,12109
2024-01-12,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,72.25,72.7,71.15,71.55,71.25,71.75,2077003,149588662.25,7942
2024-01-15,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,71.9,73.95,70.7,71.55,71.5,71.55,3393815,244602436.0,11227
2024-01-16,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,71.7,72.0,69.5,70.2,70.3,71.55,1648955,116534153.3,7338
2024-01-17,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.0,71.8,69.35,69.9,70.05,70.2,1729192,121219089.4,7089
2024-01-18,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.45,70.45,67.75,69.35,69.4,69.9,2035311,140578710.5,8713
2024-01-19,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.0,72.75,69.65,71.05,70.8,69.35,1944288,138311913.3,6728
2024-01-23,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.05,71.35,69.15,69.25,69.25,70.75,1201491,84182371.25,5881
2024-01-24,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.35,69.9,68.4,69.05,69.0,69.25,1287414,89047873.65,5487
2024-01-25,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.05,70.0,69.05,69.5,69.5,69.05,883764,61373334.75,4367
2024-01-29,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.75,70.75,69.35,69.55,69.45,69.5,1042066,72799188.85,5135
2024-01-30,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.4,70.0,69.05,69.15,69.2,69.55,700444,48673115.8,3727
2024-01-31,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.25,69.6,68.9,69.25,69.35,69.15,1079246,74850089.4,4649
2024-02-01,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.45,69.5,68.6,68.95,69.1,69.25,852796,58784773.35,4284
2024-02-02,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.45,71.75,68.95,69.2,69.4,68.95,3183121,223181953.65,9459
2024-02-05,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,69.95,70.3,68.85,69.45,69.4,69.2,1609616,111898554.55,5860
2024-02-06,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,70.65,71.7,69.35,70.45,70.4,69.45,2297209,162413315.2,8882
2024-02-07,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,71.05,81.2,70.1,78.65,78.5,70.45,24420142,1855280990.6,61821
2024-02-08,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,80.0,82.4,77.2,78.25,78.6,78.65,13155666,1045878353.0,37809
2024-02-09,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,78.0,78.0,63.25,65.45,65.8,78.25,22745300,1553944997.15,64036
2024-02-12,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,67.95,68.95,62.65,63.2,63.3,65.45,8321231,547726767.65,25765
2024-02-13,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.75,64.9,62.0,64.25,64.25,63.2,3231239,205729919.2,12708
2024-02-14,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,63.25,64.9,63.2,64.7,64.9,64.25,2080590,133724254.85,7812
2024-02-15,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,65.2,66.15,64.95,65.4,65.5,64.7,1455485,95242796.15,6935
2024-02-16,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,65.85,66.1,63.45,63.85,64.1,65.4,3031964,195744516.9,11920
2024-02-19,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.4,65.35,64.3,64.85,64.95,63.85,1461687,95006875.3,5267
2024-02-20,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,65.1,65.2,64.1,64.5,64.7,64.85,1043197,67404686.4,5646
2024-02-21,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,65.0,65.3,64.2,64.5,64.5,64.5,1248762,80804615.4,4918
2024-02-22,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.55,64.95,63.75,64.75,64.9,64.5,848188,54570431.6,4331
2024-02-23,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.95,65.3,64.4,64.55,64.5,64.75,1124606,72914245.75,3926
2024-02-26,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.6,64.85,63.55,63.8,63.75,64.55,1406229,89962243.6,5963
2024-02-27,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,64.25,64.25,62.3,62.5,62.7,63.8,1280932,80705356.2,6723
2024-02-28,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,63.0,63.75,61.55,62.2,62.5,62.5,1930550,120646765.6,10282
2024-02-29,CM,INE818W01011,ESAFSFB,ESAF SMALL FINANCE BANK L,62.25,62.75,61.0,62.15,62.4,62.2,1102749,68151706.4,5870
