TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,18.4,19.55,18.4,19.35,19.2,18.3,42163867,803896155.05,17920
2024-01-02,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.3,19.45,18.65,19.1,19.05,19.35,48394222,920599439.95,30737
2024-01-03,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.2,19.25,18.75,18.85,18.85,19.1,22824899,432962014.9,18379
2024-01-04,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.0,19.85,18.9,19.5,19.5,18.85,56068684,1092037250.35,37393
2024-01-05,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.7,21.85,19.65,21.65,21.45,19.5,236293090,5003134622.0,80095
2024-01-08,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,22.05,23.65,21.7,23.05,23.3,21.65,243515889,5566015251.3,120235
2024-01-09,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,22.35,23.1,21.5,22.0,21.9,23.05,189284481,4213555474.05,122744
2024-01-10,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,22.1,24.15,21.75,23.8,23.85,22.0,233768614,5468116584.65,87445
2024-01-11,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,24.05,24.8,23.4,23.8,23.65,23.8,153938380,3723139690.55,64949
2024-01-12,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,23.9,23.95,22.6,22.8,22.7,23.8,53111916,1228174115.1,97580
2024-01-15,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,22.95,23.15,20.8,21.0,20.9,22.8,69263615,1504351788.2,41968
2024-01-16,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,21.2,21.9,20.35,21.25,21.25,21.0,52654363,1119955311.3,35715
2024-01-17,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.45,21.75,20.35,20.45,20.5,21.25,48383122,1017234674.4,37355
2024-01-18,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.45,21.65,19.35,21.2,21.25,20.45,52769717,1102610575.65,44572
2024-01-19,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,21.4,21.6,19.9,20.3,20.2,21.2,50465516,1032165670.5,32472
2024-01-23,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,18.5,19.8,18.35,18.8,18.95,20.5,84896927,1609636555.8,52410
2024-01-24,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.1,19.4,18.8,19.25,19.2,18.8,43946692,842866750.95,22407
2024-01-25,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.35,19.65,18.8,19.0,19.05,19.25,29993655,574940797.8,17787
2024-01-29,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.2,19.75,18.95,19.45,19.4,19.0,31421332,606066399.35,18053
2024-01-30,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.55,20.65,19.25,20.0,20.0,19.45,65437702,1315558355.15,32226
2024-01-31,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.1,20.6,19.7,19.85,19.9,20.0,39269714,785937040.05,27157
2024-02-01,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.9,20.35,19.85,20.15,20.15,19.85,32909067,660743215.9,16821
2024-02-02,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.45,20.9,19.8,19.9,19.95,20.15,52368482,1068407286.75,29358
2024-02-05,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.15,20.6,19.6,19.75,19.8,19.9,44280959,887756061.95,22171
2024-02-06,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,19.85,20.05,19.55,19.85,19.85,19.75,28335284,560758041.55,14296
2024-02-07,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,20.0,21.15,19.95,20.85,21.0,19.85,71921501,1477402119.95,31392
2024-02-08,CM,INE836F01026,DISHTV,DISH TV INDIA LTD.,21.3,22.2,20.85,21.8,21.8,20.85,127706114,2756936519.75,64715
