TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE839G01010,JOCIL,JOCIL LIMITED,227.4,233.0,225.9,231.8,230.05,224.05,17124,3940491.7,394
2024-01-02,CM,INE839G01010,JOCIL,JOCIL LIMITED,233.0,234.75,227.6,233.95,233.0,231.8,16243,3757537.95,537
2024-01-03,CM,INE839G01010,JOCIL,JOCIL LIMITED,233.7,235.05,229.5,234.3,234.1,233.95,14860,3447280.2,283
2024-01-04,CM,INE839G01010,JOCIL,JOCIL LIMITED,235.75,238.75,231.8,236.75,236.05,234.3,18455,4347730.4,310
2024-01-05,CM,INE839G01010,JOCIL,JOCIL LIMITED,238.35,242.75,232.95,237.35,238.0,236.75,51488,12282835.35,1206
2024-01-08,CM,INE839G01010,JOCIL,JOCIL LIMITED,237.35,242.0,235.55,240.25,240.95,237.35,18053,4310136.1,489
2024-01-09,CM,INE839G01010,JOCIL,JOCIL LIMITED,242.6,242.6,233.35,234.95,233.35,240.25,19252,4582086.65,487
2024-01-10,CM,INE839G01010,JOCIL,JOCIL LIMITED,240.75,241.9,232.0,236.4,236.8,234.95,28381,6714864.0,869
2024-01-11,CM,INE839G01010,JOCIL,JOCIL LIMITED,237.15,239.9,232.05,232.7,233.45,236.4,10856,2547468.45,383
2024-01-12,CM,INE839G01010,JOCIL,JOCIL LIMITED,238.0,238.0,230.15,231.4,232.0,232.7,14747,3428087.35,471
2024-01-15,CM,INE839G01010,JOCIL,JOCIL LIMITED,233.0,237.1,228.2,229.6,230.0,231.4,7634,1755967.3,353
2024-01-16,CM,INE839G01010,JOCIL,JOCIL LIMITED,233.95,233.95,227.1,227.8,228.0,229.6,10579,2431297.2,470
2024-01-17,CM,INE839G01010,JOCIL,JOCIL LIMITED,227.8,239.8,223.0,232.8,232.5,227.8,50732,11859322.7,1381
