TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,464.8,495.4,461.7,484.0,483.8,461.5,5898898,2831874192.05,79472
2024-01-02,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,485.0,503.45,480.65,498.35,498.35,484.0,5085625,2508993055.2,73300
2024-01-03,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,497.95,501.5,491.6,498.75,496.0,498.35,1583945,788574638.85,24971
2024-01-04,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,500.1,507.7,496.9,506.2,505.55,498.75,1822819,920784792.6,30393
2024-01-05,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,508.9,511.2,501.1,506.75,504.5,506.2,1315727,664905989.05,27469
2024-01-08,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,510.35,513.9,505.5,508.4,507.15,506.75,1358948,692286729.2,24374
2024-01-09,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,512.95,515.8,506.7,514.05,514.25,508.4,973618,498042173.55,35513
2024-01-10,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,516.35,516.35,505.35,515.2,515.5,514.05,1426433,731101870.3,32596
2024-01-11,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,516.0,547.85,512.25,541.1,543.95,515.2,3966121,2102316369.3,57179
2024-01-12,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,548.0,548.0,531.25,534.6,533.95,541.1,3820123,2055454982.4,53602
2024-01-15,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,540.0,547.0,534.5,541.6,541.4,534.6,2182927,1184188109.4,47203
2024-01-16,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,544.9,558.4,540.55,556.05,556.7,541.6,2839045,1569915401.1,74809
2024-01-17,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,555.7,566.5,549.75,555.15,555.9,556.05,2688070,1505631153.85,62306
2024-01-18,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,553.0,561.95,534.3,557.7,556.05,555.15,2703718,1481174334.15,50873
2024-01-19,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,562.45,562.45,547.25,553.6,553.0,557.7,1174999,649546038.35,39531
2024-01-23,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,563.95,564.75,549.5,553.45,553.0,554.6,1749559,975287755.75,28044
2024-01-24,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,550.0,570.75,548.05,569.2,568.1,553.45,1134846,639553129.6,29990
2024-01-25,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,571.9,571.9,549.5,552.45,555.15,569.2,937310,523571590.15,20382
2024-01-29,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,558.5,561.5,552.0,553.4,554.0,552.45,527332,292883832.45,13778
2024-01-30,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,555.1,562.5,553.15,554.65,556.5,553.4,568635,316677801.85,16122
2024-01-31,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,555.65,582.75,555.65,581.3,579.7,554.65,2183189,1252735976.7,55169
2024-02-01,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,587.4,593.0,575.45,579.85,580.1,581.3,1400836,816132958.55,36474
2024-02-02,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,585.0,599.8,584.05,590.85,591.0,579.85,1262826,749551637.1,32051
2024-02-05,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,596.8,607.0,591.0,596.75,595.5,590.85,823613,493986791.3,24276
2024-02-06,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,599.7,617.75,592.65,615.9,615.8,596.75,1201435,730670291.95,33399
2024-02-07,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,620.0,620.0,600.3,602.8,603.0,615.9,729023,442195944.0,21932
2024-02-08,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,605.0,612.15,598.3,600.55,601.35,602.8,707704,428749822.25,18277
2024-02-09,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,596.1,596.1,566.05,582.9,583.0,600.55,1240706,716767685.55,34992
2024-02-12,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,580.3,585.7,558.75,560.45,560.0,582.9,848484,482176292.6,16711
2024-02-13,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,555.15,566.85,555.15,561.7,561.1,560.45,449537,252411133.35,14820
2024-02-14,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,529.0,562.6,512.0,559.75,559.0,561.7,4501093,2446693725.0,75386
2024-02-15,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,559.0,585.4,556.15,580.85,583.45,559.75,2077553,1200264865.0,31966
2024-02-16,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,567.5,567.5,541.85,545.05,544.0,580.85,6418568,3540214139.7,98350
2024-02-19,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,545.0,565.45,540.0,551.3,550.0,545.05,1942616,1079798875.1,39372
2024-02-20,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,551.0,561.0,544.0,555.0,555.5,551.3,1340714,740355866.7,33230
2024-02-21,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,558.95,569.75,554.0,565.55,568.0,555.0,1532012,864184654.3,37760
2024-02-22,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,565.55,575.7,561.9,564.55,565.7,565.55,1459852,828396242.65,25757
2024-02-23,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,567.95,580.5,563.9,577.3,580.5,564.55,1311882,752491400.45,27171
2024-02-26,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,580.0,583.6,565.65,567.1,567.95,577.3,1399946,803529807.8,26600
2024-02-27,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,567.1,572.85,557.0,558.3,559.65,567.1,590652,332301840.25,14203
2024-02-28,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,558.35,568.25,545.0,548.3,548.0,558.3,1109298,618664766.2,20114
2024-02-29,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,552.75,568.7,544.75,565.35,565.7,548.3,2127506,1186801152.55,41421
2024-03-01,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,568.0,582.35,567.05,578.35,578.95,565.35,1093148,630137378.05,27784
2024-03-04,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,576.8,595.75,576.05,590.0,590.4,576.8,1952711,1149116393.25,35793
2024-03-05,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,594.8,594.85,586.4,593.45,594.35,590.0,677112,400328216.25,18651
2024-03-06,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,594.0,594.75,555.15,566.85,569.0,593.45,2080869,1178646440.1,51393
2024-03-07,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,568.0,573.9,559.7,570.75,571.85,566.85,548388,312330527.2,16710
2024-03-11,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,576.95,576.95,556.0,565.5,562.25,570.75,800541,451598817.7,20638
2024-03-12,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,561.0,576.9,553.0,556.15,553.3,565.5,481623,270857381.45,13805
2024-03-13,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,556.15,556.15,523.2,528.4,531.75,556.15,1266699,680232877.15,27345
2024-03-14,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,528.0,542.65,522.05,537.3,538.7,528.4,1136681,607770093.65,26618
2024-03-15,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,537.3,546.95,528.55,543.15,544.0,537.3,902983,487516305.5,24155
2024-03-18,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,543.15,545.9,535.0,542.75,540.85,543.15,843660,456539882.1,23685
2024-03-19,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,543.0,543.0,516.25,520.85,518.45,542.75,564288,298301291.6,17187
2024-03-20,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,518.45,518.65,498.35,516.6,516.05,520.85,2368871,1207157265.05,50785
2024-03-21,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,515.3,530.8,515.3,529.05,528.6,516.6,777617,409510112.35,22275
2024-03-22,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,528.5,532.2,524.15,528.85,529.0,529.05,317477,168005454.2,13721
2024-03-26,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,529.0,553.05,525.05,549.3,548.4,528.85,1034389,562479368.6,28959
2024-03-27,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,549.35,556.45,539.9,541.75,542.0,549.3,975813,534304776.55,32398
2024-03-28,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,545.0,547.0,538.3,544.25,544.35,541.75,698329,379535090.15,19086
2024-04-01,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,544.95,555.8,544.25,547.7,548.0,544.25,339016,186230860.85,12522
2024-04-02,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,547.95,553.2,534.1,540.9,542.7,547.7,1321869,714971755.95,36720
2024-04-03,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,543.7,554.0,540.0,544.35,545.95,540.9,953436,521908790.0,25987
2024-04-04,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,546.05,554.5,544.5,546.95,547.0,544.35,611256,334957385.4,22069
2024-04-05,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,546.95,560.0,538.4,548.35,549.5,546.95,4223466,2330063162.05,62157
2024-04-08,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,552.95,567.4,552.05,565.4,565.0,548.35,2292137,1287171490.35,54043
2024-04-09,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,568.2,570.0,555.0,557.35,557.9,565.4,1125528,633244023.7,27417
2024-04-10,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,560.0,571.9,557.9,565.6,563.4,557.35,1202978,682372893.85,30822
2024-04-12,CM,INE844O01030,GUJGASLTD,GUJARAT GAS LIMITED,566.0,567.6,558.05,560.55,561.1,565.6,626146,352186932.5,20787
