TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,92.0,94.5,92.0,93.0,93.0,92.0,5610,524319.65,58
2024-01-02,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,97.65,97.65,93.5,95.9,95.9,93.0,5481,523840.6,55
2024-01-03,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,97.0,99.5,95.9,97.6,97.5,95.9,9432,921664.65,86
2024-01-04,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,99.45,102.0,95.55,100.95,99.0,97.6,21534,2128115.2,123
2024-01-05,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,101.05,103.0,98.15,99.85,99.9,100.95,6295,627330.0,76
2024-01-08,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,103.0,104.8,99.0,104.8,104.8,99.85,46831,4846184.55,192
2024-01-09,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,106.0,106.0,103.0,104.2,104.85,104.8,14827,1550688.2,111
2024-01-10,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,102.15,105.0,102.15,103.3,104.3,104.2,5307,547064.0,66
2024-01-11,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,107.8,107.8,102.0,102.05,102.0,103.3,11186,1158543.65,70
2024-01-12,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,102.2,104.85,98.0,100.0,100.25,102.05,7478,748725.9,103
2024-01-15,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,102.0,102.0,97.05,98.4,101.0,100.0,2819,277633.45,59
2024-01-16,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,101.45,101.45,97.5,98.4,99.0,98.4,16428,1618989.75,120
2024-01-17,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,98.5,100.0,97.0,99.1,99.0,98.4,8049,784208.1,87
2024-01-18,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,100.0,101.0,96.05,99.9,100.0,99.1,10330,1027220.8,85
2024-01-19,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,101.1,104.85,99.0,99.5,101.65,99.9,7388,740079.0,104
2024-01-23,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,105.0,105.0,98.0,99.0,99.0,101.8,3557,356191.1,78
2024-01-24,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,99.0,99.0,96.5,97.45,97.65,99.0,4869,474833.0,69
2024-01-25,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,97.45,99.95,97.0,97.5,97.5,97.45,26848,2614187.8,60
2024-01-29,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,97.5,97.65,96.0,96.65,97.65,97.5,6286,610923.45,69
2024-01-30,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,97.5,99.9,96.65,97.1,97.1,96.65,3316,325032.15,54
2024-01-31,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,99.85,100.45,97.9,98.0,98.0,97.1,2686,265191.7,72
2024-02-01,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,98.0,100.3,97.05,97.2,97.2,98.0,2431,237384.55,74
2024-02-02,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,100.3,101.0,98.0,98.2,98.0,97.2,6174,608960.7,73
2024-02-05,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,99.75,100.95,97.5,98.05,98.05,98.2,4281,425907.15,71
2024-02-06,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,98.05,100.0,98.05,98.5,98.5,98.05,9526,939543.05,71
2024-02-07,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,100.75,100.9,97.0,99.35,99.35,98.5,7163,714871.85,59
2024-02-08,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,101.8,101.8,97.6,99.8,99.8,99.35,3898,386905.4,45
2024-02-09,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,99.8,99.8,94.85,98.5,98.5,99.8,9388,900511.9,92
2024-02-12,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,98.5,99.4,96.0,96.3,96.35,98.5,5446,524931.65,50
2024-02-13,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,95.5,96.05,91.5,93.3,94.5,96.3,18984,1766677.25,122
2024-02-14,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,91.55,94.0,88.65,93.8,93.8,93.3,4152,383404.1,72
2024-02-15,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,93.8,95.8,89.15,90.45,91.0,93.8,23620,2135244.65,125
2024-02-16,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,89.5,91.4,89.5,90.8,90.8,90.45,3295,296977.25,54
2024-02-19,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,90.8,92.0,90.0,91.3,92.0,90.8,2438,220562.15,39
2024-02-20,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,93.95,93.95,90.0,90.0,90.0,91.3,5498,496042.3,51
2024-02-21,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,90.0,90.0,89.0,90.0,90.0,90.0,3712,333716.75,50
2024-02-22,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,90.0,93.85,89.0,90.0,90.0,90.0,5707,513266.9,50
2024-02-23,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,90.05,93.0,89.6,90.0,90.0,90.0,5104,462275.45,50
2024-02-26,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,94.0,94.0,89.0,89.1,89.05,90.0,9143,827366.7,68
2024-02-27,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,89.05,91.0,87.0,90.0,90.0,89.1,10887,960809.65,83
2024-02-28,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,91.0,91.0,86.0,86.6,86.5,90.0,8144,708108.45,74
2024-02-29,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,86.6,88.5,86.5,87.5,87.5,86.6,1925,166826.3,22
2024-03-01,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,90.9,91.1,87.0,87.65,87.95,87.5,2103,185937.8,41
2024-03-04,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,88.0,89.95,87.0,87.8,87.0,90.8,7372,648245.3,91
2024-03-05,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,87.9,89.95,86.0,86.55,88.5,87.8,6332,550882.5,62
2024-03-06,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,85.2,87.8,84.0,86.0,86.0,86.55,7215,616388.5,63
2024-03-07,CM,INE878I01022,BAFNAPH,BAFNA PHARMACEUTICALS LTD,86.25,88.0,86.25,86.25,86.25,86.0,336,29468.35,20
