TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,879.65,945.0,877.4,918.55,920.0,877.35,493277,452871168.85,18612
2024-01-02,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,923.0,934.0,911.0,931.55,933.9,918.55,196884,182244911.85,12158
2024-01-03,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,931.55,959.8,921.05,950.95,957.7,931.55,552051,523365632.8,11052
2024-01-04,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,956.0,1048.0,956.0,1027.1,1031.0,950.95,1928036,1919537202.3,32835
2024-01-05,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1039.95,1066.4,1031.45,1055.5,1063.0,1027.1,613608,645348677.4,24199
2024-01-08,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1066.8,1098.0,1042.0,1087.9,1086.0,1055.5,512787,550604820.35,22113
2024-01-09,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1106.4,1124.0,1100.15,1121.7,1121.95,1087.9,329173,367968880.05,13996
2024-01-10,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1125.0,1131.2,1120.0,1123.6,1125.0,1121.7,205796,231216405.6,7327
2024-01-11,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1129.7,1135.35,1123.0,1128.7,1127.5,1123.6,217344,245235838.8,8087
2024-01-12,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1143.2,1143.25,1123.35,1133.5,1138.0,1128.7,117933,133331820.4,4197
2024-01-15,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1135.05,1147.95,1118.6,1140.05,1144.0,1133.5,254268,289209581.85,7557
2024-01-16,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1142.0,1142.0,1132.0,1138.35,1136.9,1140.05,148390,168740276.65,3692
2024-01-17,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1123.0,1138.0,1115.0,1125.65,1126.05,1138.35,294133,330856765.05,6093
2024-01-18,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1114.0,1130.0,1110.0,1125.2,1124.0,1125.65,310925,348647016.35,6331
2024-01-19,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1129.95,1137.95,1120.0,1122.55,1125.0,1125.2,135533,152840441.8,3397
2024-01-23,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1127.2,1133.0,1086.5,1110.4,1109.65,1127.2,179979,201260892.1,6082
2024-01-24,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1110.0,1115.25,1055.5,1093.6,1104.0,1110.4,308643,339108366.5,4490
2024-01-25,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1093.6,1105.0,1085.5,1087.45,1086.95,1093.6,289054,317219913.25,4847
2024-01-29,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1081.3,1114.9,1080.65,1110.65,1110.0,1087.45,239279,264709044.75,9641
2024-01-30,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1120.0,1144.0,1120.0,1137.1,1138.0,1110.65,301761,343728174.25,8542
2024-01-31,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1133.6,1239.4,1131.05,1144.85,1239.4,1137.1,330638,377027380.8,8190
2024-02-01,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1163.0,1187.0,1140.0,1179.5,1179.9,1144.85,357230,418105660.95,8672
2024-02-02,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1189.95,1203.0,1175.0,1191.5,1193.0,1179.5,403328,479825828.05,12104
2024-02-05,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1220.0,1228.0,1203.35,1220.65,1218.45,1191.5,465988,569079850.8,11569
2024-02-06,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1228.0,1229.0,1200.0,1219.1,1218.5,1220.65,423149,513364528.9,7589
2024-02-07,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1228.0,1250.0,1219.0,1248.05,1250.0,1219.1,409061,504671007.9,5492
2024-02-08,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1257.3,1305.0,1257.3,1293.15,1305.0,1248.05,567121,735692401.05,10743
2024-02-09,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1303.0,1330.4,1286.0,1317.0,1319.0,1293.15,469400,609571878.65,10485
2024-02-12,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1319.95,1345.05,1310.0,1311.8,1310.05,1317.0,561930,741673974.75,9687
2024-02-13,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1301.0,1345.0,1291.0,1341.45,1345.0,1311.8,495288,656250748.05,9535
2024-02-14,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1336.7,1365.0,1321.75,1362.7,1365.0,1341.45,463344,629099246.55,8875
2024-02-15,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1365.05,1375.0,1345.25,1356.0,1365.6,1362.7,518441,706631610.6,9339
2024-02-16,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1370.0,1374.0,1346.0,1362.0,1362.9,1356.0,496393,675725759.45,6290
2024-02-19,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1365.0,1381.0,1351.0,1364.5,1363.3,1362.0,444185,608344178.8,7965
2024-02-20,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1360.0,1373.0,1351.0,1364.0,1365.0,1364.5,468861,637043342.05,13347
2024-02-21,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1364.0,1372.75,1336.0,1342.3,1339.0,1364.0,1505346,2037313027.45,16445
2024-02-22,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1335.05,1352.0,1330.0,1347.2,1347.95,1342.3,540443,726989135.05,12649
2024-02-23,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1347.0,1360.15,1321.0,1325.0,1321.3,1347.2,672718,903012524.65,14575
2024-02-26,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1353.0,1354.0,1320.35,1348.6,1346.4,1325.0,565586,762329032.45,9061
2024-02-27,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1359.25,1359.25,1325.0,1326.1,1327.1,1348.6,465854,624897409.95,7241
2024-02-28,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1330.0,1349.0,1330.0,1337.65,1331.0,1326.1,531909,713028623.5,11950
2024-02-29,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1350.0,1390.0,1325.0,1373.05,1365.0,1337.65,841897,1140436375.7,17722
2024-03-01,CM,INE903U01023,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1379.45,1388.0,1371.0,1383.85,1387.9,1373.05,441194,607656570.45,5984
