TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1223.0,1224.0,1223.0,1224.0,1224.0,1224.0,3862,4725585.04,35
2024-01-02,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1224.0,1224.0,1222.0,1222.63,1223.1,1224.0,1409,1723988.99,41
2024-01-03,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1224.0,1232.0,1224.0,1228.26,1232.0,1222.63,384,470675.9,26
2024-01-04,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1232.0,1237.0,1221.51,1225.02,1221.51,1228.26,2126,2608566.07,33
2024-01-05,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1222.06,1235.99,1222.06,1230.95,1235.99,1225.02,631,775519.28,14
2024-01-08,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1250.0,1250.0,1220.5,1230.0,1230.0,1230.95,961,1176230.0,23
2024-01-09,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1227.0,1228.9,1226.0,1227.0,1227.0,1230.0,484,593739.0,19
2024-01-10,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1228.0,1229.98,1228.0,1229.82,1229.0,1227.0,491,603564.04,18
2024-01-11,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1239.0,1239.0,1227.02,1229.38,1227.02,1229.82,2816,3463723.51,22
2024-01-12,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1235.0,1235.0,1235.0,1235.0,1235.0,1229.38,10,12350.0,1
2024-01-15,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1234.0,1235.0,1229.31,1233.9,1233.9,1235.0,1162,1433950.87,14
2024-01-16,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1223.0,1231.9,1223.0,1228.66,1229.0,1233.9,2311,2835293.65,24
2024-01-17,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1233.0,1233.0,1228.6,1228.8,1229.0,1228.66,567,696740.3,15
2024-01-18,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1228.0,1240.0,1228.0,1230.5,1230.5,1228.8,565,695052.9,16
2024-01-19,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1225.3,1235.0,1225.0,1229.25,1229.01,1230.5,649,797180.51,16
2024-01-23,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1239.9,1239.9,1229.6,1230.0,1230.0,1240.0,920,1131927.25,22
2024-01-24,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1229.0,1230.03,1224.0,1227.09,1228.0,1230.0,4211,5168302.3,44
2024-01-25,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1229.0,1232.9,1221.6,1227.05,1227.05,1227.09,1098,1347694.05,29
2024-01-29,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1234.95,1234.95,1225.2,1226.71,1226.0,1227.05,4087,5021927.96,37
2024-01-30,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1227.11,1230.1,1227.11,1229.16,1229.0,1226.71,1271,1562819.87,18
2024-01-31,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1232.0,1233.9,1232.0,1232.01,1232.0,1229.16,193,237958.0,5
2024-02-01,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1233.0,1238.0,1225.0,1227.09,1227.1,1232.01,5156,6344047.6,42
2024-02-02,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1231.0,1235.0,1229.0,1229.66,1229.7,1227.09,1462,1798723.5,29
2024-02-05,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1240.0,1240.0,1229.7,1230.77,1229.7,1229.66,1879,2316760.31,32
2024-02-06,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1231.0,1234.0,1227.0,1233.16,1233.9,1230.77,1662,2043514.96,15
2024-02-07,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1233.9,1238.0,1233.9,1238.0,1238.0,1233.16,525,649385.0,28
2024-02-08,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1240.0,1244.0,1240.0,1243.88,1243.9,1238.0,564,700586.88,18
2024-02-09,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1243.9,1244.0,1237.0,1237.0,1237.0,1243.88,1817,2256522.56,14
2024-02-12,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1238.0,1240.0,1230.0,1239.69,1240.0,1237.0,5324,6564560.1,36
2024-02-13,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1239.69,1243.0,1232.02,1241.5,1241.5,1239.69,1010,1254374.75,10
2024-02-14,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1242.0,1242.0,1236.0,1241.8,1241.8,1241.5,255,315858.2,6
2024-02-15,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1236.2,1242.0,1236.0,1242.0,1242.0,1241.8,1723,2138882.3,16
2024-02-16,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1242.0,1242.0,1236.0,1238.38,1236.0,1242.0,1295,1604480.5,17
2024-02-19,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1236.0,1236.02,1223.55,1235.0,1235.0,1238.38,559,690779.54,23
2024-02-20,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1236.0,1240.0,1236.0,1237.4,1236.5,1235.0,682,843541.6,10
2024-02-21,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1242.0,1243.0,1240.0,1240.0,1240.0,1237.4,232,288201.5,9
2024-02-22,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1242.0,1242.5,1240.0,1240.0,1240.0,1240.0,180,223404.5,5
2024-02-23,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1242.5,1244.85,1240.5,1240.92,1241.0,1240.0,2932,3642296.38,66
2024-02-26,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1245.0,1246.0,1243.5,1246.0,1246.0,1240.92,239,297573.5,19
2024-02-27,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1244.9,1250.0,1244.9,1249.0,1249.0,1246.0,1212,1512659.78,22
2024-02-28,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1245.04,1245.5,1243.5,1244.0,1244.0,1249.0,910,1132838.72,12
2024-02-29,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1142.35,1165.0,1142.35,1155.99,1156.0,1244.0,3242,3744236.9,77
2024-03-01,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1155.99,1155.99,1149.5,1149.95,1149.95,1155.99,4641,5345176.84,64
2024-03-04,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1155.0,1158.0,1149.99,1149.99,1149.99,1152.83,1437,1655072.77,33
2024-03-05,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1151.0,1153.5,1147.95,1148.05,1147.99,1149.99,1173,1348021.39,40
2024-03-06,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1146.39,1151.0,1146.0,1148.57,1147.5,1148.05,2053,2357931.57,33
2024-03-07,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1148.0,1156.95,1147.0,1147.46,1147.01,1148.57,1570,1802751.46,28
2024-03-11,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1148.99,1154.74,1148.1,1149.83,1149.92,1147.46,1587,1823944.35,38
2024-03-12,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1150.0,1153.97,1147.02,1153.97,1153.97,1149.83,1486,1707745.46,18
2024-03-13,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1153.97,1154.0,1144.95,1148.31,1145.0,1153.97,2881,3310321.24,30
2024-03-14,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1150.0,1150.5,1145.5,1150.0,1150.0,1148.31,518,595433.5,19
2024-03-15,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1150.0,1150.0,1142.0,1142.78,1142.0,1150.0,3959,4532605.59,77
2024-03-18,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1146.0,1146.0,1144.0,1144.08,1144.83,1142.78,2943,3369752.64,38
2024-03-19,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1149.0,1150.0,1144.8,1147.0,1147.0,1144.08,4283,4911235.52,46
2024-03-20,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1150.0,1150.9,1147.31,1148.0,1148.0,1147.0,627,720118.2,17
2024-03-21,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1142.0,1151.5,1138.0,1150.6,1151.5,1148.0,550,630225.0,25
2024-03-22,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1151.5,1151.5,1150.0,1150.23,1150.0,1150.6,439,505161.5,11
2024-03-26,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1151.45,1159.6,1150.5,1155.38,1153.0,1150.23,1463,1689463.26,22
2024-03-27,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1154.99,1157.8,1150.0,1151.64,1150.0,1155.38,736,848501.45,21
2024-03-28,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1152.0,1155.0,1152.0,1154.98,1155.0,1151.64,627,723637.95,7
2024-04-01,CM,INE906B07DF8,NHAI,8.75% TAX FREE TR I S IIB,1160.0,1164.8,1150.0,1150.01,1150.01,1154.98,1007,1165917.05,28
