TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-05,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1168.0,1168.0,1168.0,1168.0,1168.0,1138.0,40,46720.0,1
2024-01-10,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1141.0,1141.2,1141.0,1141.1,1141.1,1168.0,73,83296.3,3
2024-01-12,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1159.0,1159.0,1159.0,1159.0,1159.0,1141.1,591,684969.0,8
2024-01-16,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1168.0,1169.0,1168.0,1168.5,1169.0,1159.0,2,2337.0,2
2024-01-18,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1168.5,1184.4,1168.5,1174.26,1184.4,1168.5,3,3522.8,3
2024-01-23,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1130.1,1151.0,1130.1,1151.0,1151.0,1174.26,40,45622.0,2
2024-01-29,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1152.0,1179.99,1152.0,1179.99,1179.99,1151.0,155,178699.95,2
2024-01-31,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1179.99,1179.99,1159.0,1159.0,1159.0,1179.99,7,8238.94,2
2024-02-02,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1159.0,1186.0,1159.0,1186.0,1186.0,1159.0,128,150611.0,10
2024-02-05,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1186.0,1190.0,1165.0,1165.0,1165.0,1186.0,71,83970.0,7
2024-02-06,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1194.4,1198.75,1194.4,1198.26,1198.75,1165.0,360,430513.05,13
2024-02-23,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1174.3,1220.0,1174.3,1220.0,1220.0,1198.26,3,3568.6,2
2024-02-26,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,2,2440.0,1
2024-02-27,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,5,6100.0,1
2024-03-05,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1220.0,1220.0,1200.0,1200.0,1200.0,1220.0,4,4840.0,2
2024-03-06,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1248.0,1248.0,1248.0,1248.0,1248.0,1200.0,40,49920.0,1
2024-03-11,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1094.0,1094.0,1094.0,1094.0,1094.0,1248.0,40,43760.0,1
2024-03-12,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1106.0,1199.99,1106.0,1199.99,1199.99,1094.0,260,288499.9,2
2024-03-13,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1100.0,1240.0,1100.0,1227.0,1227.0,1199.99,200,233450.0,4
2024-03-18,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1200.0,1227.0,1200.0,1227.0,1227.0,1227.0,2,2427.0,2
2024-03-20,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1140.0,1175.0,1140.0,1175.0,1175.0,1227.0,35,40250.0,2
2024-04-01,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1238.0,1238.0,1238.0,1238.0,1238.0,1175.0,40,49520.0,1
2024-04-03,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1200.0,1200.0,1200.0,1200.0,1200.0,1238.0,19,22800.0,1
2024-04-05,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,2,2400.0,2
2024-04-10,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1104.0,1104.0,1104.0,1104.0,1104.0,1200.0,40,44160.0,1
2024-04-24,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1094.0,1094.0,1094.0,1094.0,1094.0,1104.0,40,43760.0,1
2024-05-03,CM,INE906B07EO8,NHAI,TAX FREE 7.39% SR. IIA,1096.0,1096.0,1096.0,1096.0,1096.0,1094.0,40,43840.0,1
2024-05-23,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1234.75,1235.0,1225.0,1225.0,1225.0,1096.0,21,25922.5,3
2024-05-27,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1095.0,1097.8,1095.0,1097.8,1097.8,1225.0,2,2192.8,2
2024-05-31,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1101.0,1101.0,1101.0,1101.0,1101.0,1097.8,40,44040.0,1
2024-06-03,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1160.0,1232.0,1160.0,1232.0,1232.0,1101.0,4390,5095280.0,6
2024-06-04,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1232.0,1232.0,1150.0,1150.0,1150.0,1232.0,15,17660.0,2
2024-06-10,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1085.0,1085.0,1085.0,1085.0,1085.0,1150.0,40,43400.0,1
2024-06-13,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1242.0,1252.0,1242.0,1244.18,1245.0,1085.0,195,242528.4,8
2024-06-14,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1071.2,1077.0,1071.2,1077.0,1077.0,1244.18,310,333480.0,7
2024-06-21,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1238.0,1238.0,1238.0,1238.0,1238.0,1077.0,40,49520.0,1
2024-06-25,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1082.5,1082.5,1082.5,1082.5,1082.5,1238.0,1,1082.5,1
2024-06-26,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1238.0,1238.0,1111.0,1111.0,1111.0,1082.5,134,160857.75,5
2024-07-02,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1086.0,1086.0,1086.0,1086.0,1086.0,1111.0,40,43440.0,1
2024-07-04,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1238.0,1238.0,1238.0,1238.0,1238.0,1086.0,40,49520.0,1
2024-07-05,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1238.0,1238.0,1238.0,1238.0,1238.0,1238.0,100,123800.0,1
2024-07-23,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1088.0,1088.0,1088.0,1088.0,1088.0,1238.0,40,43520.0,1
2024-07-24,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1087.1,1087.1,1087.1,1087.1,1087.1,1088.0,200,217420.0,2
2024-08-09,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1114.0,1114.0,1114.0,1114.0,1114.0,1087.1,40,44560.0,1
2024-08-14,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1114.1,1114.1,1114.1,1114.1,1114.1,1114.0,208,231732.8,1
2024-09-03,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1121.0,1121.0,1121.0,1121.0,1121.0,1114.1,40,44840.0,1
2024-09-05,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1227.0,1227.0,1227.0,1227.0,1227.0,1121.0,40,49080.0,1
2024-09-09,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1118.55,1118.55,1118.55,1118.55,1118.55,1227.0,100,111855.0,1
2024-09-10,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1121.23,1121.23,1121.23,1121.23,1121.23,1118.55,200,224246.0,1
2024-09-11,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1121.23,1140.0,1121.23,1121.34,1121.34,1121.23,302,341376.46,5
2024-09-17,CM,INE906B07EO8,739NHAI31A,TAX FREE 7.39% SR. IIA,1192.0,1192.0,1192.0,1192.0,1192.0,1121.34,40,47680.0,1
