TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,709.3,714.0,701.2,705.1,705.0,707.3,39551,27929429.0,3323
2024-01-02,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,708.65,710.0,697.5,704.8,707.0,705.1,24102,16981003.9,2597
2024-01-03,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,704.05,710.0,703.5,705.2,708.1,704.8,19330,13653655.7,2391
2024-01-04,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,704.0,709.95,701.0,703.25,705.75,705.2,51159,36037489.35,4314
2024-01-05,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,705.5,710.0,702.55,708.3,708.15,703.25,32711,23116953.3,2026
2024-01-08,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,704.3,716.95,700.9,703.65,702.0,708.3,58444,41499561.55,6110
2024-01-09,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,705.5,710.0,699.95,702.0,701.0,703.65,39199,27574548.5,2324
2024-01-10,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,705.0,709.0,699.4,700.15,699.5,702.0,27317,19172054.1,1925
2024-01-11,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,705.1,707.4,693.6,701.6,702.45,700.15,40266,28160736.35,2802
2024-01-12,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,703.1,704.8,698.05,699.65,698.05,701.6,23113,16207311.5,2036
2024-01-15,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,700.0,703.95,693.0,695.55,694.0,699.65,21681,15103070.9,2796
2024-01-16,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,698.05,706.25,690.0,699.9,700.0,695.55,37695,26282643.1,2685
2024-01-17,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,699.8,705.5,693.65,695.35,698.5,699.9,16410,11465064.65,1737
2024-01-18,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,695.0,698.85,684.7,694.4,693.3,695.35,13779,9533271.85,1144
2024-01-19,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,697.9,704.4,695.0,701.05,702.0,694.4,17263,12056106.85,1129
2024-01-23,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,698.5,698.5,671.2,678.1,680.0,696.6,35033,23936032.25,3417
2024-01-24,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,680.0,681.1,661.55,672.25,673.9,678.1,40947,27470887.3,5030
2024-01-25,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,672.3,682.0,666.0,676.85,674.0,672.25,24849,16706139.15,2709
2024-01-29,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,676.85,700.4,676.85,698.75,696.0,676.85,42898,29685417.9,4359
2024-01-30,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,700.5,708.0,690.0,701.15,699.0,698.75,41305,28808274.85,3325
2024-01-31,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,701.15,710.0,691.25,694.6,694.0,701.15,26222,18332662.85,2636
2024-02-01,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,699.0,705.1,691.0,699.75,692.25,694.6,24920,17368929.8,3425
2024-02-02,CM,INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LTD.,700.5,703.15,676.25,681.4,678.5,699.75,57465,39515048.05,3145
