TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,143.3,143.3,139.2,139.52,139.2,139.56,5993,837769.28,294
2024-01-02,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.84,141.84,136.59,138.84,139.1,139.52,66088,9140192.21,265
2024-01-03,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,138.57,139.68,138.01,139.34,139.64,138.84,6334,880408.09,216
2024-01-04,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.84,142.4,139.83,141.38,141.3,139.34,34649,4895864.07,200
2024-01-05,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,144.6,144.6,139.56,141.61,141.77,141.38,81444,11508289.76,239
2024-01-08,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,143.9,143.9,140.0,140.55,140.0,141.61,39325,5534139.96,280
2024-01-09,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.08,141.76,139.8,139.81,139.94,140.55,102196,14372898.35,230
2024-01-10,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,144.0,144.0,139.1,140.69,140.53,139.81,29781,4182056.94,188
2024-01-11,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.77,142.75,141.74,142.28,142.44,140.69,4513,642649.32,195
2024-01-12,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,140.28,143.91,138.0,142.65,142.85,142.28,9005,1285182.6,144
2024-01-15,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,143.95,143.95,142.31,143.26,143.33,142.65,39117,5592528.44,306
2024-01-16,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,146.25,146.25,141.51,142.37,142.39,143.26,28016,3990236.95,196
2024-01-17,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.61,141.89,140.61,140.9,140.95,142.37,65961,9311557.01,285
2024-01-18,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,142.9,142.9,137.0,140.2,140.5,140.9,109333,15191782.43,265
2024-01-19,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,140.8,142.35,140.8,141.97,141.79,140.2,5725,809908.99,169
2024-01-23,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,142.51,143.49,138.3,138.74,139.32,143.0,97272,13671936.93,515
2024-01-24,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,137.5,142.0,137.5,140.66,140.94,138.74,32364,4502967.14,155
2024-01-25,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,140.3,141.17,138.9,139.79,139.8,140.66,25510,3565722.15,232
2024-01-29,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,139.92,142.55,139.39,142.38,142.37,139.79,12306,1744613.44,275
2024-01-30,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,142.77,143.3,141.15,141.45,141.75,142.38,3754,534612.36,180
2024-01-31,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,141.29,143.4,140.73,143.16,143.13,141.45,24582,3497294.61,189
2024-02-01,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.45,147.45,142.42,143.28,142.98,143.16,19614,2805736.36,271
2024-02-02,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,146.15,146.15,143.28,143.67,143.9,143.28,8494,1220232.94,243
2024-02-05,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,146.0,146.0,142.8,143.18,144.18,143.67,9226,1327941.49,328
2024-02-06,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.5,147.5,143.11,144.36,144.95,143.18,5526,794442.61,180
2024-02-07,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,144.41,151.1,144.41,147.71,146.2,144.36,42018,6139153.01,335
2024-02-08,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.8,149.8,145.03,148.36,148.09,147.71,38340,5701866.0,341
2024-02-09,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.8,148.8,145.51,147.04,147.56,148.36,33400,4919023.55,242
2024-02-12,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.05,150.72,145.6,145.93,145.6,147.04,7872,1153971.2,270
2024-02-13,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,145.7,146.74,144.76,146.23,146.22,145.93,61427,8936238.43,173
2024-02-14,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,146.23,148.74,144.73,148.1,148.2,146.23,19721,2912561.19,183
2024-02-15,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.11,151.88,148.0,149.04,149.0,148.1,20938,3120902.76,304
2024-02-16,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.16,152.68,148.16,150.45,150.9,149.04,9140,1374051.73,201
2024-02-19,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.9,151.23,150.45,150.75,150.71,150.45,6946,1047965.92,245
2024-02-20,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.76,150.76,149.64,150.48,150.53,150.75,8633,1297324.33,250
2024-02-21,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,151.0,152.99,147.95,148.24,148.57,150.48,24276,3623475.26,334
2024-02-22,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.21,149.96,147.75,149.87,149.8,148.24,28910,4313756.73,148
2024-02-23,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.26,151.36,150.12,150.77,150.57,149.87,31340,4734414.25,199
2024-02-26,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,155.3,155.3,148.05,149.62,149.6,150.77,21485,3219045.91,402
2024-02-27,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.3,153.3,149.11,149.65,149.7,149.62,14576,2181773.39,187
2024-02-28,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.01,150.26,146.71,147.5,148.3,149.65,30129,4466076.17,309
2024-02-29,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.91,149.0,145.71,148.82,149.0,147.5,6797,999780.36,238
2024-03-01,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.99,151.0,148.56,149.8,150.0,148.82,8022,1198323.0,280
2024-03-04,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,155.1,155.7,149.4,150.4,150.8,150.59,34298,5156078.09,356
2024-03-05,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,154.1,154.7,149.6,149.78,149.95,150.4,5359,806060.61,264
2024-03-06,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,154.25,154.25,147.2,149.87,149.88,149.78,65854,9796331.85,316
2024-03-07,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.8,153.8,148.76,150.6,150.35,149.87,6781,1021610.99,249
2024-03-11,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,146.1,155.7,146.1,150.8,150.67,150.6,16667,2512175.06,346
2024-03-12,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.8,153.8,148.0,148.56,148.0,150.8,18269,2725470.06,280
2024-03-13,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.2,149.57,142.83,144.37,142.83,148.56,60847,8830944.73,483
2024-03-14,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,145.14,146.6,142.58,145.75,146.5,144.37,58986,8588345.68,299
2024-03-15,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.6,149.6,144.5,145.65,145.69,145.75,9056,1315145.2,289
2024-03-18,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,145.01,146.02,144.01,144.96,144.5,145.65,22505,3255645.11,531
2024-03-19,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.3,149.3,142.86,143.04,143.6,144.96,29557,4236512.91,434
2024-03-20,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.35,147.35,141.7,143.39,143.44,143.04,18813,2690388.08,331
2024-03-21,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,144.99,147.0,144.99,146.76,147.0,143.39,14643,2137545.19,234
2024-03-22,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,144.59,148.45,144.59,147.3,147.33,146.76,10145,1492363.45,194
2024-03-26,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,147.31,148.81,146.5,148.03,148.26,147.3,30468,4491047.79,423
2024-03-27,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.02,151.25,148.0,148.24,148.52,148.03,23658,3515087.28,304
2024-03-28,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,148.52,151.19,148.11,149.16,149.0,148.24,32021,4758788.91,190
2024-04-01,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,151.52,152.4,146.91,150.52,150.8,149.16,63338,9547855.2,416
2024-04-02,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.8,152.13,149.55,152.09,151.45,150.52,43373,6580708.3,339
2024-04-03,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,156.65,156.65,151.8,153.27,153.59,152.09,10341,1577693.68,293
2024-04-04,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.43,153.66,152.61,152.92,152.7,153.27,12815,1962739.16,224
2024-04-05,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.79,153.79,152.02,153.06,153.1,152.92,11955,1828680.52,266
2024-04-08,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,157.65,157.65,149.6,152.76,152.8,153.06,35488,5416817.71,393
2024-04-09,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,156.09,156.09,151.05,151.77,152.1,152.76,18965,2886405.3,328
2024-04-10,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,156.3,156.3,150.95,152.92,152.98,151.77,9713,1478764.52,239
2024-04-12,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,157.5,157.5,152.15,152.3,152.3,152.92,18222,2789911.03,317
2024-04-15,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.06,152.3,144.1,149.72,149.9,152.3,105625,15882066.99,787
2024-04-16,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,149.57,150.24,148.43,149.49,149.68,149.72,18673,2791716.47,268
2024-04-18,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,152.72,152.72,148.9,149.2,149.5,149.49,23084,3473001.45,318
2024-04-19,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,152.72,152.72,146.5,148.98,149.06,149.2,34015,5016829.94,389
2024-04-22,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.45,153.45,147.06,150.0,150.14,148.98,11759,1761799.22,302
2024-04-23,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,150.21,150.95,150.0,150.52,150.45,150.0,10779,1622244.2,264
2024-04-24,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,152.49,152.49,150.53,151.62,151.62,150.52,15338,2325524.77,214
2024-04-25,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,151.63,153.09,151.11,152.57,152.99,151.62,15757,2394922.14,279
2024-04-26,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,153.29,153.97,152.6,153.29,153.4,152.57,29879,4590530.93,245
2024-04-29,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,156.1,156.3,153.3,155.13,155.0,153.29,24341,3761760.75,654
2024-04-30,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,158.1,159.24,155.66,157.33,158.42,155.13,31656,4970873.99,616
2024-05-02,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,159.3,159.56,157.34,159.05,158.57,157.33,32436,5134101.03,788
2024-05-03,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,162.0,162.0,158.01,158.87,159.0,159.05,16485,2620787.94,486
2024-05-06,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,162.1,162.1,155.17,157.42,159.99,158.87,31697,4970525.17,794
2024-05-07,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,162.15,162.15,153.12,154.57,154.67,157.42,24256,3758015.81,651
2024-05-08,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,156.56,156.73,153.49,155.72,156.5,154.57,18638,2894791.02,424
2024-05-09,CM,INF109KB1XT3,MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,158.53,158.53,152.05,153.78,153.0,155.72,26105,4035254.44,579
