TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,50.2,50.92,48.5,48.71,48.5,48.72,782840,38144491.27,1060
2024-01-02,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,49.14,49.14,48.14,48.25,48.45,48.71,138368,6700271.52,995
2024-01-03,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.7,48.7,47.95,48.14,48.7,48.25,145720,7014061.82,651
2024-01-04,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.65,48.7,48.13,48.61,48.7,48.14,88489,4290698.27,630
2024-01-05,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.85,48.85,47.85,48.63,48.56,48.61,110071,5334695.43,546
2024-01-08,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,49.05,49.05,47.8,47.88,47.96,48.63,272021,13108180.09,1087
2024-01-09,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.49,48.49,47.63,47.7,47.75,47.88,2671290,128710641.12,1633
2024-01-10,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.09,48.09,47.11,47.83,47.93,47.7,146706,7003411.61,785
2024-01-11,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,47.96,48.08,47.66,47.91,47.87,47.83,251322,12030996.41,561
2024-01-12,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.39,48.39,47.85,48.17,48.22,47.91,221966,10687065.61,646
2024-01-15,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,49.6,49.6,48.23,48.6,48.77,48.17,48847,2368681.77,545
2024-01-16,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,49.1,49.1,48.23,48.5,48.48,48.6,238411,11591866.59,638
2024-01-17,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,48.39,48.4,46.48,46.54,46.67,48.5,746063,35037114.71,4927
2024-01-18,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.5,46.67,45.99,46.23,46.4,46.54,324596,15005196.03,1778
2024-01-19,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.87,46.87,46.05,46.17,46.5,46.23,818322,37898080.05,1303
2024-01-23,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,47.5,47.5,45.33,45.39,46.5,46.54,1098921,50148908.86,3187
2024-01-24,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.75,46.75,45.04,45.53,45.57,45.39,2313012,104731298.14,3057
2024-01-25,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,45.54,46.3,44.88,45.24,45.55,45.53,580272,26167654.58,2596
2024-01-29,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.39,46.39,45.09,45.88,45.98,45.24,207097,9499112.39,1366
2024-01-30,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.24,46.24,45.61,45.77,45.77,45.88,119820,5486316.26,960
2024-01-31,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.6,46.6,45.5,46.42,46.53,45.77,2552289,118536648.08,1152
2024-02-01,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,47.8,47.8,46.03,46.53,46.51,46.42,2456941,114128809.76,983
2024-02-02,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,45.53,47.49,45.53,46.4,46.42,46.53,470371,22023764.1,1464
2024-02-05,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.8,46.8,45.5,46.23,46.18,46.4,80384,3719402.2,1055
2024-02-06,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,47.6,47.6,45.95,46.1,46.0,46.23,164481,7578671.26,1039
2024-02-07,CM,INF109KC15I8,BANKIETF,ICICIPRAMC - IPRU5008,46.5,46.51,45.99,46.22,46.39,46.1,405965,18724212.41,852
