TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-05-10,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.33,22.0,18.81,18.94,18.96,188.01,78852,1492290.23,320
2024-05-13,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,18.97,19.04,18.66,18.95,19.0,18.94,120581,2282925.44,200
2024-05-14,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.01,19.14,18.97,19.09,19.08,18.95,259433,4950338.46,137
2024-05-15,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.5,19.5,19.01,19.03,19.09,19.09,36963,705335.36,121
2024-05-16,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.28,19.32,18.74,19.28,19.28,19.03,749816,14322220.51,234
2024-05-17,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.48,19.48,19.21,19.35,19.38,19.28,2020480,39180400.44,212
2024-05-21,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.66,20.05,19.47,19.56,19.56,19.46,431045,8424297.24,260
2024-05-22,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.6,19.87,19.51,19.78,19.75,19.56,181594,3583473.62,425
2024-05-23,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.79,19.93,19.43,19.88,19.89,19.78,154202,3042759.11,243
2024-05-24,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.89,20.09,19.43,19.97,19.99,19.88,878502,17497160.12,441
2024-05-27,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.1,20.11,19.91,20.02,20.0,19.97,39680,794739.11,217
2024-05-28,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.03,20.07,19.92,19.98,19.92,20.02,28121,562302.34,379
2024-05-29,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.15,20.15,19.84,19.96,20.12,19.98,2187193,43800864.09,302
2024-05-30,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.97,19.97,19.63,19.69,19.95,19.96,777469,15399338.84,283
2024-05-31,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.7,19.76,19.57,19.64,19.67,19.69,349507,6872929.93,278
2024-06-03,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.04,20.41,19.91,19.97,19.98,19.64,319882,6403087.91,230
2024-06-04,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.9,21.25,18.75,20.05,20.65,19.97,134923,2611181.47,258
2024-06-05,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,19.84,20.21,19.51,20.03,20.05,20.05,183944,3702550.99,119
2024-06-06,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.35,20.35,19.96,20.2,19.96,20.03,342670,6920135.46,278
2024-06-07,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.29,20.59,20.21,20.5,20.48,20.2,59770,1219521.86,217
2024-06-10,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.5,20.69,20.38,20.5,20.43,20.5,120109,2463982.78,206
2024-06-11,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.61,20.73,20.3,20.63,20.61,20.5,327327,6774869.11,215
2024-06-12,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.82,20.82,20.64,20.69,20.66,20.63,26744,553467.43,242
2024-06-13,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.91,20.91,20.67,20.73,20.79,20.69,202265,4194484.5,225
2024-06-14,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.74,20.88,20.73,20.84,20.82,20.73,310512,6467513.61,147
2024-06-18,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.08,21.08,20.85,20.92,20.93,20.84,75627,1582512.72,210
2024-06-19,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.14,21.14,20.68,20.77,20.97,20.92,365432,7607571.53,345
2024-06-20,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.83,20.9,20.56,20.83,20.83,20.77,285528,5946558.19,478
2024-06-21,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.03,21.08,20.65,20.71,20.82,20.83,487730,10139772.44,279
2024-06-24,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.71,20.81,20.6,20.77,20.81,20.71,393578,8179396.32,262
2024-06-25,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.85,20.85,20.75,20.81,20.75,20.77,46315,963390.99,127
2024-06-26,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.81,20.9,20.71,20.79,20.9,20.81,1192367,24827902.85,228
2024-06-27,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.85,20.88,20.66,20.85,20.77,20.79,130329,2708146.97,207
2024-06-28,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,20.89,21.0,20.85,20.92,20.92,20.85,488702,10245588.97,415
2024-07-01,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.1,21.23,20.92,21.2,21.23,20.92,208297,4406711.51,223
2024-07-02,CM,INF109KC18V5,QUAL30IETF,ICICIPRAMC - ICICIQTY30,21.2,21.5,21.08,21.27,21.1,21.2,201983,4275166.4,489
