TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,239.19,240.25,234.41,239.74,240.25,239.19,13809,3307002.44,753
2024-01-02,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,239.19,240.23,237.9,239.85,240.21,239.74,57706,13799749.39,379
2024-01-03,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,239.85,241.0,238.8,240.84,241.0,239.85,5805,1394034.06,339
2024-01-04,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,241.31,242.98,240.3,242.13,242.25,240.84,73077,17681316.0,389
2024-01-05,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,242.12,243.49,241.5,242.26,242.0,242.13,85111,20637986.82,233
2024-01-08,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,244.47,244.47,240.18,240.68,240.89,242.26,84067,20317158.19,998
2024-01-09,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,241.0,242.59,237.46,240.96,240.52,240.68,31583,7641093.37,371
2024-01-10,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,240.95,241.29,239.0,240.21,240.25,240.96,30806,7379467.56,414
2024-01-11,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,242.28,242.31,240.51,241.6,241.15,240.21,48662,11757038.09,370
2024-01-12,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,241.61,243.75,240.85,243.4,243.75,241.6,56271,13657669.59,401
2024-01-15,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,243.4,245.48,242.68,244.97,244.15,243.4,36736,8987478.6,757
2024-01-16,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,246.97,246.97,241.61,244.92,244.86,244.97,33894,8293287.24,377
2024-01-17,CM,INF109KC1N59,ALPL30IETF,ICICIPRAMC - ICICIALPLV,243.5,244.37,242.1,242.55,243.2,244.92,57633,14024384.36,432
