TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.0,1000.01,999.99,1000.01,1000.01,1000.0,317,317002.97,10
2024-01-02,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.0,1000.01,999.99,1000.0,1000.01,1000.01,865,864998.64,62
2024-01-03,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.01,1000.01,999.99,1000.0,1000.01,1000.0,5588,5588046.04,46
2024-01-04,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,999.99,1000.01,999.99,1000.01,1000.01,1000.0,208989,208989004.83,54
2024-01-05,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,19814,19814192.3,62
2024-01-08,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,999.99,1000.01,999.99,1000.0,1000.0,1000.01,5978,5977992.18,50
2024-01-09,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.0,1000.01,999.99,1000.01,1000.01,1000.0,8088,8087990.0,50
2024-01-10,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.0,1000.01,999.99,999.99,999.99,1000.01,775,774997.41,47
2024-01-11,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.01,1000.01,999.99,1000.0,1000.01,999.99,6212,6212059.87,25
2024-01-12,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,999.99,1000.01,999.99,999.99,999.99,1000.0,131,131001.24,9
2024-01-15,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,999.99,1000.01,999.99,1000.0,1000.01,999.99,1122,1121990.6,7
2024-01-16,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,1000.0,1000.01,999.99,1000.01,1000.01,1000.0,1615,1614998.35,4
2024-01-17,CM,INF179KC1HE2,HDFCLIQUID,HDFCAMC - HDFCLIQUID,999.99,1000.01,999.99,1000.0,1000.01,1000.01,838,837997.84,14
