TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-02-07,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,65.5,75.0,65.5,67.24,68.2,65.85,61253,4108769.22,381
2024-02-08,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,67.24,70.5,66.99,68.78,69.05,67.24,155845,10799971.72,689
2024-02-09,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,68.78,71.0,66.61,69.68,69.25,68.78,76613,5252450.61,490
2024-02-12,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,69.68,70.39,67.05,67.46,67.47,69.68,55879,3779311.77,488
2024-02-13,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,67.49,69.17,65.4,67.03,66.76,67.46,847000,56741190.56,496
2024-02-14,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,67.47,69.9,66.21,69.33,67.53,67.03,120434,8217845.02,294
2024-02-15,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,70.98,79.65,67.61,72.15,71.52,69.33,98076,6953978.86,831
2024-02-16,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,73.47,74.69,71.21,71.35,72.8,72.15,108854,7897948.79,672
2024-02-19,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,72.51,72.51,71.0,71.17,71.15,71.35,50745,3621144.27,240
2024-02-20,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,71.18,71.69,70.68,71.12,71.05,71.17,36432,2591511.92,308
2024-02-21,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,70.99,72.5,70.99,71.55,71.73,71.12,35229,2535708.96,227
2024-02-22,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,71.55,71.86,70.25,71.54,71.86,71.55,26922,1908294.63,291
2024-02-23,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,71.7,72.65,70.54,70.66,70.9,71.54,42002,2975488.29,280
2024-02-26,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,71.67,71.67,70.13,70.4,70.6,70.66,18246,1287746.63,184
2024-02-27,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,70.4,70.99,69.5,70.09,70.1,70.4,13016,912306.57,200
2024-02-28,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,70.19,70.25,67.88,68.12,69.0,70.09,114204,7822797.11,601
2024-02-29,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,68.65,69.76,67.7,69.67,69.71,68.12,22543,1562663.99,184
2024-03-01,CM,INF179KC1HW4,HDFCPSUBK,HDFCAMC HDFCPSUBK,69.68,70.96,69.42,70.75,70.69,69.67,17563,1235193.91,193
