TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.25,70.25,68.19,68.58,68.42,68.19,50586,3464549.17,1455
2024-01-02,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.21,70.21,67.16,68.24,68.28,68.58,55663,3791863.78,1348
2024-01-03,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.21,70.21,67.4,67.89,68.7,68.24,41760,2836297.55,1089
2024-01-04,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,69.95,69.95,67.1,68.32,68.73,67.89,46832,3198496.56,1286
2024-01-05,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.35,70.35,68.2,68.57,68.7,68.32,46165,3169143.67,1054
2024-01-08,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,69.8,69.8,67.58,68.03,68.25,68.57,39793,2720445.79,1389
2024-01-09,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,68.9,68.9,67.1,68.2,68.12,68.03,41094,2811599.11,757
2024-01-10,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,69.1,69.1,67.51,67.97,67.97,68.2,43990,2984511.51,958
2024-01-11,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.0,70.0,66.65,68.23,68.25,67.97,74039,5049309.78,783
2024-01-12,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,66.85,69.43,66.85,69.35,69.43,68.23,41103,2837844.8,792
2024-01-15,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,71.45,71.45,68.54,70.3,70.3,69.35,60104,4215334.72,1234
2024-01-16,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.4,72.4,69.47,70.21,70.42,70.3,39940,2808125.61,949
2024-01-17,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.1,70.9,68.51,69.89,70.9,70.21,69472,4876385.63,908
2024-01-18,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,71.2,71.2,68.29,69.55,69.95,69.89,41516,2874498.48,953
2024-01-19,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,67.45,71.65,67.45,70.73,71.0,69.55,34116,2406795.88,734
2024-01-23,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.75,72.75,68.61,69.02,69.15,70.61,73633,5165927.7,1474
2024-01-24,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,71.1,71.1,68.6,70.37,70.55,69.02,28768,2004743.38,671
2024-01-25,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,71.6,71.6,69.91,70.19,70.37,70.37,24154,1696394.27,741
2024-01-29,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,68.1,71.88,68.1,71.23,71.1,70.19,50418,3577384.34,1126
2024-01-30,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.35,73.35,70.75,70.93,71.83,71.23,49419,3533908.29,890
2024-01-31,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.05,73.05,70.51,71.58,71.7,70.93,29693,2115212.06,655
2024-02-01,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.75,73.75,71.07,71.72,71.79,71.58,38205,2742534.89,1205
2024-02-02,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.85,73.85,71.0,72.76,72.4,71.72,48854,3559358.28,1181
2024-02-05,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.95,74.95,70.6,73.36,73.99,72.76,72636,5348745.66,1864
2024-02-06,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.55,75.55,72.51,74.4,74.62,73.36,39993,2952685.97,1233
2024-02-07,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.88,75.88,73.92,74.2,74.3,74.4,48037,3571915.53,1195
2024-02-08,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.45,76.45,73.2,74.45,74.6,74.2,38503,2870286.97,1102
2024-02-09,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.7,76.7,72.61,73.72,74.18,74.45,72354,5317075.3,1663
2024-02-12,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.95,75.95,71.7,72.21,72.72,73.72,85591,6224980.87,2001
2024-02-13,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.4,74.4,71.51,72.78,72.68,72.21,49198,3556642.61,872
2024-02-14,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.95,74.95,71.2,73.43,73.67,72.78,38707,2816110.95,873
2024-02-15,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.65,75.65,72.81,74.17,74.18,73.43,34345,2542414.67,895
2024-02-16,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.4,76.4,73.45,74.49,74.45,74.17,38145,2839489.67,805
2024-02-19,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.7,76.7,73.59,74.48,74.14,74.49,51956,3881068.34,1142
2024-02-20,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.7,76.7,73.75,74.31,74.3,74.48,46131,3421606.75,1074
2024-02-21,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.74,74.74,73.0,73.32,74.2,74.31,61025,4503324.29,1230
2024-02-22,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.19,74.45,72.8,74.11,74.45,73.32,51698,3798354.6,901
2024-02-23,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.35,76.35,74.0,74.15,74.42,74.11,53006,3936016.21,883
2024-02-26,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.35,76.35,71.95,73.86,74.5,74.15,61449,4532274.62,1337
2024-02-27,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.86,75.5,72.5,73.95,73.91,73.86,41556,3070983.63,918
2024-02-28,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.15,76.15,72.8,73.04,73.51,73.95,83446,6116817.07,1275
2024-02-29,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.35,74.35,72.52,73.25,73.0,73.04,30500,2225829.87,885
2024-03-01,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.45,75.45,73.25,74.15,74.2,73.25,38452,2847102.67,1279
2024-03-04,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.75,76.75,72.25,74.74,74.96,74.5,46597,3476637.47,1558
2024-03-05,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.5,77.0,72.5,74.55,74.5,74.74,35711,2658794.92,1227
2024-03-06,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.3,76.8,72.3,74.64,74.82,74.55,90704,6710156.21,1461
2024-03-07,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.9,76.9,72.4,75.23,75.5,74.64,37405,2802407.96,1333
2024-03-11,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,77.5,77.5,72.95,74.45,74.74,75.23,77056,5759463.67,2033
2024-03-12,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.44,76.44,72.2,73.89,74.41,74.45,43762,3238798.28,1210
2024-03-13,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.1,76.1,71.02,71.64,71.5,73.89,128940,9324997.71,2062
2024-03-14,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.8,73.8,69.16,72.86,72.83,71.64,50521,3642662.94,965
2024-03-15,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.62,73.62,71.17,72.15,72.3,72.86,45089,3236502.15,1439
2024-03-18,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.3,74.3,71.84,71.93,72.0,72.15,26279,1895968.01,976
2024-03-19,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.1,74.1,70.36,70.52,71.59,71.93,63753,4513877.64,1522
2024-03-20,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.65,72.65,70.11,70.64,70.9,70.52,30112,2125996.48,797
2024-03-21,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.75,72.99,70.07,72.11,72.99,70.64,28682,2057597.38,693
2024-03-22,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.25,74.25,71.02,72.13,72.15,72.11,43799,3150499.97,893
2024-03-26,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.29,74.29,70.06,72.14,72.1,72.13,39533,2844959.86,1140
2024-03-27,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,70.0,73.98,70.0,71.76,71.9,72.14,51392,3710337.25,778
2024-03-28,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.9,73.9,70.13,70.7,71.79,71.76,284248,20437370.92,999
2024-04-01,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.8,73.6,71.88,73.44,73.6,70.7,64315,4715512.82,1577
2024-04-02,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.06,74.06,72.84,73.68,73.55,73.44,62883,4626344.8,1211
2024-04-03,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.9,75.9,71.45,74.02,74.23,73.68,42559,3149258.99,1058
2024-04-04,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.25,76.3,73.65,74.09,74.21,74.02,57017,4230953.54,1068
2024-04-05,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.3,76.3,73.57,74.23,74.26,74.09,39499,2924629.71,1068
2024-04-08,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.8,75.38,72.0,74.23,74.4,74.23,38210,2841277.11,1327
2024-04-09,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.45,76.45,72.0,74.2,74.5,74.23,44449,3303770.92,1007
2024-04-10,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.45,76.45,74.2,74.84,74.31,74.2,47906,3577373.24,972
2024-04-12,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.6,76.79,72.6,74.39,74.6,74.84,44460,3321554.68,1381
2024-04-15,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.15,76.6,72.15,73.57,73.58,74.39,75900,5586709.2,1769
2024-04-16,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.8,75.8,72.81,73.13,73.15,73.57,42754,3132407.62,1054
2024-04-18,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.3,75.3,72.5,72.68,73.8,73.13,48594,3566566.82,1065
2024-04-19,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,73.25,73.25,71.13,72.53,73.24,72.68,39574,2857043.5,1010
2024-04-22,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,74.7,74.7,72.55,73.26,73.39,72.53,25780,1882286.34,950
2024-04-23,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.45,75.45,73.07,73.36,73.33,73.26,37448,2749665.91,806
2024-04-24,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.6,75.2,72.6,73.83,73.54,73.36,27416,2022206.89,666
2024-04-25,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.19,75.19,73.01,74.53,74.53,73.83,44808,3324731.29,920
2024-04-26,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.75,76.75,74.01,74.72,74.95,74.53,44518,3334472.62,951
2024-04-29,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.95,76.95,74.0,74.89,75.0,74.72,52096,3891076.5,1281
2024-04-30,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,77.15,77.15,73.39,74.99,75.18,74.89,55961,4204516.17,891
2024-05-02,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,77.15,77.15,74.31,75.77,75.5,74.99,65538,4962181.91,2017
2024-05-03,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,78.05,78.05,75.1,75.71,75.84,75.77,62229,4711074.79,1548
2024-05-06,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,78.0,78.0,74.58,75.43,75.99,75.71,51736,3890391.75,1946
2024-05-07,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,77.7,77.7,73.15,74.68,74.9,75.43,41978,3139165.97,1251
2024-05-08,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,72.45,76.9,72.45,75.01,75.32,74.68,28151,2114255.28,867
2024-05-09,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.0,76.0,72.75,73.92,74.99,75.01,44819,3331210.73,1236
2024-05-10,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,75.9,75.9,73.23,74.3,74.45,73.92,27200,2021850.11,959
2024-05-13,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.55,76.55,73.06,74.21,74.32,74.3,43071,3174539.08,1420
2024-05-14,CM,INF204KA1MS3,DIVOPPBEES,NIP IND ETF DIV OPP,76.45,76.45,74.0,74.53,74.72,74.21,35604,2655376.93,781
