TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,176.99,176.99,171.01,175.53,175.23,175.03,596557,104887026.12,8559
2024-01-02,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,175.99,176.74,173.54,175.51,175.5,175.53,478884,83959709.88,5442
2024-01-03,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,176.99,176.99,174.63,175.64,175.85,175.51,490737,86238611.46,3937
2024-01-04,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,178.99,179.0,175.01,178.85,178.7,175.64,292788,52115450.6,3785
2024-01-05,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,180.99,180.99,176.01,179.52,179.99,178.85,501038,89945511.23,4039
2024-01-08,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,179.52,183.0,172.01,178.02,178.59,179.52,799075,142240400.74,7487
2024-01-09,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,181.95,181.95,177.02,178.23,178.25,178.02,243761,43551622.3,3577
2024-01-10,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,179.99,179.99,176.59,178.15,178.21,178.23,419048,74377992.8,5229
2024-01-11,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,181.99,181.99,176.9,179.18,179.05,178.15,145493,26064713.24,2777
2024-01-12,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,178.0,183.0,177.01,179.75,179.7,179.18,179420,32212327.55,2690
2024-01-15,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,183.95,183.95,179.01,181.13,180.9,179.75,255041,46089777.9,4702
2024-01-16,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,183.99,183.99,178.71,180.4,180.45,181.13,210586,38047945.26,3548
2024-01-17,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,179.99,180.09,178.0,178.47,178.66,180.4,387549,69361490.56,4959
2024-01-18,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,180.3,181.0,173.63,178.22,178.27,178.47,404097,71324130.34,5017
2024-01-19,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,183.55,183.55,178.03,180.86,180.6,178.22,207545,37341034.92,2835
2024-01-23,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,186.36,186.36,175.5,176.5,176.51,181.39,332435,59318224.74,8176
2024-01-24,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,178.0,180.0,174.25,179.41,180.0,176.5,470338,83488792.93,3264
2024-01-25,CM,INF204KB1V68,MID150BEES,NIP IND ETF MIDCAP 150,183.0,183.0,177.4,178.49,179.7,179.41,276130,49293199.23,3513
