TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.68,55.68,54.9,55.14,54.9,55.17,6713,370975.04,195
2024-01-02,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.14,55.19,54.34,54.99,54.9,55.14,6158,337818.67,156
2024-01-03,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.58,55.58,54.8,55.47,55.49,54.99,3835,211817.37,139
2024-01-04,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.95,56.3,54.55,56.03,56.3,55.47,6867,384015.24,150
2024-01-05,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.44,56.5,55.53,55.89,56.04,56.03,4784,268082.12,153
2024-01-08,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.89,56.5,55.23,55.49,55.59,55.89,3704,205976.42,162
2024-01-09,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,54.6,56.07,54.6,55.53,55.51,55.49,5688,317195.5,121
2024-01-10,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.53,55.98,55.31,55.52,55.5,55.53,3737,207443.22,121
2024-01-11,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.65,56.65,55.89,56.35,56.36,55.52,5811,327001.81,172
2024-01-12,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.34,56.45,56.3,56.43,56.43,56.35,3318,186945.16,85
2024-01-15,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.0,56.87,56.0,56.66,56.77,56.43,9852,556188.02,190
2024-01-16,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.62,56.79,56.31,56.66,56.66,56.66,7951,450246.5,140
2024-01-17,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.6,56.6,55.69,55.93,55.85,56.66,13768,772479.55,149
2024-01-18,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.62,55.79,54.6,55.7,55.73,55.93,5371,297395.06,154
2024-01-19,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.0,57.0,55.9,56.34,56.32,55.7,3491,196097.69,110
2024-01-23,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.96,56.96,54.7,55.06,55.8,56.53,10726,597675.29,253
2024-01-24,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.5,56.19,54.57,55.68,55.03,55.06,10683,588556.26,150
2024-01-25,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.08,56.14,55.5,55.77,55.78,55.68,7146,399369.9,130
2024-01-29,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,55.65,56.77,55.2,56.6,56.56,55.77,25445,1442279.48,182
2024-01-30,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,56.6,57.28,56.41,56.47,56.41,56.6,29508,1682206.81,148
2024-01-31,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.4,57.4,56.42,56.94,57.0,56.47,12075,684686.13,249
2024-02-01,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.9,57.9,56.94,57.32,57.34,56.94,6241,357622.81,170
2024-02-02,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.47,61.91,56.43,59.17,61.9,57.32,11117,644111.06,192
2024-02-05,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.47,60.15,57.25,57.6,58.2,59.17,82447,4779179.88,1173
2024-02-06,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.6,58.5,57.35,58.21,58.28,57.6,8844,510560.51,215
2024-02-07,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.21,59.3,58.3,58.96,59.09,58.21,18346,1077794.23,281
2024-02-08,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.5,59.83,59.13,59.45,59.65,58.96,27629,1646889.34,350
2024-02-09,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,60.4,60.4,58.2,59.14,59.05,59.45,13803,814786.42,221
2024-02-12,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.68,59.68,57.03,57.71,57.03,59.14,24938,1467171.06,240
2024-02-13,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,57.71,58.83,57.62,58.76,58.8,57.71,10283,602168.92,179
2024-02-14,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,58.7,59.74,57.92,59.63,59.74,58.76,5089,298793.95,168
2024-02-15,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.63,60.27,59.63,59.89,59.9,59.63,11882,712519.09,171
2024-02-16,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,59.99,60.62,59.43,60.53,60.57,59.89,9975,601337.86,179
2024-02-19,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,61.08,61.08,60.23,60.63,60.65,60.53,14839,900439.42,259
2024-02-20,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,61.28,61.6,60.24,60.58,60.6,60.63,6768,409403.31,193
2024-02-21,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,60.95,60.98,60.0,60.29,60.6,60.58,3096,188127.5,188
2024-02-22,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,60.29,60.9,60.0,60.78,60.5,60.29,5118,308760.84,182
2024-02-23,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,60.76,61.28,60.76,61.12,61.1,60.78,5604,342078.55,230
2024-02-26,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,61.12,67.0,60.88,61.15,61.2,61.12,8004,492333.75,247
2024-02-27,CM,INF209KB16D7,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,61.68,62.7,60.71,61.15,61.16,61.15,12307,756937.59,238
