TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-05-23,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,11.36,11.36,10.5,10.92,11.1,10.65,501765,5408760.94,497
2024-05-24,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,11.19,11.3,10.7,11.01,11.09,10.92,499290,5448714.5,618
2024-05-27,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,11.26,11.34,10.78,10.9,10.97,11.01,2273893,24834807.95,2512
2024-05-28,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.92,11.0,10.62,10.74,10.8,10.9,1066544,11479236.55,2052
2024-05-29,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.9,10.9,10.6,10.7,10.72,10.74,222123,2376348.97,716
2024-05-30,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.84,10.84,10.47,10.51,10.55,10.7,646751,6831239.33,1680
2024-05-31,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.52,10.84,10.26,10.65,10.72,10.51,706646,7378627.6,1210
2024-06-03,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,11.0,11.45,10.9,11.36,11.45,10.65,1692506,19000396.5,1533
2024-06-04,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,11.6,11.6,9.9,9.97,10.0,11.36,2663264,27707343.34,4563
2024-06-05,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.38,10.5,9.26,9.89,10.0,9.97,1528793,14872534.48,2769
2024-06-06,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,9.91,10.45,9.91,10.15,10.18,9.89,1112091,11436351.44,1350
2024-06-07,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.35,10.41,10.13,10.31,10.33,10.15,662560,6778926.74,952
2024-06-10,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.32,10.84,10.3,10.38,10.4,10.31,409038,4253641.09,793
2024-06-11,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.49,10.55,10.4,10.49,10.53,10.38,427688,4481352.53,672
2024-06-12,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.69,10.7,10.5,10.64,10.64,10.49,528041,5608245.89,759
2024-06-13,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.8,10.8,10.4,10.69,10.68,10.64,541890,5768909.47,4354
2024-06-14,CM,INF209KB19Z4,ABSLPSE,BIRLASLAMC-ABSLPSE,10.82,10.9,10.6,10.83,10.85,10.69,522018,5626622.95,811
