TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,795.58,809.97,795.58,807.43,804.93,804.48,1465,1181500.5,170
2024-01-02,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,807.44,810.49,798.23,803.54,803.5,807.43,3405,2729890.75,308
2024-01-03,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,808.97,808.97,796.0,797.49,798.0,803.54,4684,3738745.01,259
2024-01-04,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,804.29,804.29,797.52,801.67,801.01,797.49,1259,1007978.02,134
2024-01-05,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,800.0,807.97,800.0,802.73,803.25,801.67,3196,2568415.09,141
2024-01-08,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,811.1,811.1,795.3,797.12,797.2,802.73,4902,3925346.67,248
2024-01-09,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,798.55,803.89,795.28,796.8,800.0,797.12,4736,3784054.33,122
2024-01-10,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,797.7,798.85,792.96,797.8,797.38,796.8,5936,4730057.21,168
2024-01-11,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,798.1,803.76,798.1,798.95,798.5,797.8,1024,820560.0,83
2024-01-12,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,801.1,809.0,798.0,808.59,808.24,798.95,1394,1125153.04,127
2024-01-15,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,812.53,819.0,812.53,817.04,816.29,808.59,3114,2540319.18,222
2024-01-16,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,817.03,819.64,813.5,814.06,814.25,817.04,20003,16287507.2,166
2024-01-17,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,813.5,813.85,798.01,799.06,798.77,814.06,8866,7111367.17,479
2024-01-18,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,799.0,799.0,788.0,791.91,795.6,799.06,9590,7598772.74,261
2024-01-19,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,799.97,802.83,797.69,801.45,802.5,791.91,7073,5664919.07,171
2024-01-23,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,799.51,804.97,785.63,787.35,797.0,798.47,13620,10797249.63,340
2024-01-24,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,785.0,793.66,781.51,790.3,793.66,787.35,9029,7122941.0,169
2024-01-25,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,790.99,793.5,786.01,789.9,793.5,790.3,11075,8735586.41,285
2024-01-29,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,791.04,805.5,791.03,805.23,804.08,789.9,5106,4092830.93,180
2024-01-30,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,796.5,804.99,794.39,795.38,797.7,805.23,3077,2456456.25,235
2024-01-31,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,793.41,802.5,790.01,801.32,802.5,795.38,1194,952196.96,143
2024-02-01,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,806.97,806.97,797.4,798.57,797.4,801.32,5182,4154762.94,166
2024-02-02,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,804.97,814.79,797.01,803.32,803.0,798.57,6558,5320180.91,268
2024-02-05,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,809.29,809.29,800.03,802.31,801.5,803.32,2584,2079668.02,232
2024-02-06,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,802.32,805.99,799.99,803.01,805.99,802.31,10238,8201094.13,177
2024-02-07,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,804.79,808.78,802.97,805.37,803.51,803.01,11567,9298035.38,134
2024-02-08,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,805.38,808.34,797.0,798.23,800.0,805.37,5512,4426024.64,233
2024-02-09,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,799.91,803.85,796.01,800.47,801.14,798.23,816,652203.71,113
2024-02-12,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,805.98,805.98,791.99,793.87,795.5,800.47,3440,2738120.55,226
2024-02-13,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,793.87,800.13,793.41,797.12,797.0,793.87,545,434782.68,124
2024-02-14,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,793.64,805.0,791.01,800.84,805.0,797.12,2090,1670038.65,127
2024-02-15,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,804.99,806.0,797.51,803.26,803.08,800.84,1114,894293.26,108
2024-02-16,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,804.0,810.41,800.51,807.21,809.98,803.26,2340,1889047.87,153
2024-02-19,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,811.01,814.98,807.22,811.13,810.51,807.21,1396,1133777.62,162
2024-02-20,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,815.12,815.13,808.5,813.5,814.98,811.13,1296,1052107.0,165
2024-02-21,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,814.41,816.7,811.0,812.71,813.0,813.5,8489,6911319.54,130
2024-02-22,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,811.15,817.93,806.4,815.27,809.5,812.71,4572,3709489.25,151
2024-02-23,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,817.98,820.99,815.71,817.46,817.5,815.27,706,577752.16,112
2024-02-26,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,818.5,823.98,811.26,813.54,811.26,817.46,1759,1432885.19,198
2024-02-27,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,813.98,817.82,810.09,817.42,816.99,813.54,541,440684.4,98
2024-02-28,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,816.3,817.97,808.51,810.08,811.8,817.42,5498,4468982.57,184
2024-02-29,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,808.86,812.11,805.92,809.75,810.0,810.08,14979,12117613.63,142
2024-03-01,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,814.0,823.72,812.44,822.65,823.72,809.75,4138,3390666.11,204
2024-03-04,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,826.67,827.32,822.8,825.37,826.0,826.0,12211,10086302.89,225
2024-03-05,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,830.98,830.98,815.0,824.82,825.37,825.37,24113,19826276.34,216
2024-03-06,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,822.38,828.23,820.0,826.29,828.2,824.82,17723,14586715.44,150
2024-03-07,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,828.2,830.5,826.15,826.87,826.53,826.29,7501,6224692.23,134
2024-03-11,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,826.54,829.14,821.82,823.11,826.0,826.87,13129,10847738.4,216
2024-03-12,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,820.69,949.0,820.16,824.54,837.56,823.11,15132,12468055.84,144
2024-03-13,CM,INF346A01034,SENSEXIETF,ICICI PRUD SENSEX ETF,824.55,825.99,810.65,814.38,824.33,824.54,43621,35790865.23,351
