TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.0,48.98,48.0,48.59,48.47,48.57,10494,510464.07,238
2024-01-02,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.9,48.9,47.95,48.0,47.95,48.59,25470,1224635.26,261
2024-01-03,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.9,48.9,47.83,48.12,48.16,48.0,10933,524708.91,176
2024-01-04,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.8,48.8,48.11,48.53,48.55,48.12,9255,448449.61,129
2024-01-05,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.88,48.88,48.1,48.45,48.48,48.53,3096,150132.38,125
2024-01-08,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.89,49.68,47.21,47.85,47.87,48.45,4216,202966.26,109
2024-01-09,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,47.87,48.45,47.53,47.62,47.65,47.85,4419,211840.83,109
2024-01-10,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.45,48.45,47.5,47.82,47.87,47.62,4100,195739.15,83
2024-01-11,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.35,48.35,46.57,47.78,47.82,47.82,2421,115694.0,95
2024-01-12,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.4,48.4,47.85,47.98,47.94,47.78,7180,344833.04,110
2024-01-15,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,47.85,48.7,47.85,48.66,48.7,47.98,25102,1218828.08,153
2024-01-16,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.9,48.9,48.34,48.53,48.55,48.66,5440,263829.23,75
2024-01-17,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,48.8,48.8,46.3,46.62,47.8,48.53,167437,7854295.49,1147
2024-01-18,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,45.68,47.64,45.68,46.15,46.29,46.62,100457,4644201.31,10949
2024-01-19,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,47.44,47.44,45.9,46.11,46.02,46.15,36522,1688526.14,449
2024-01-23,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.92,47.01,45.08,45.28,45.4,46.49,99169,4506979.37,985
2024-01-24,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.35,46.35,44.91,45.5,45.6,45.28,137873,6236209.99,522
2024-01-25,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.25,46.25,44.85,45.42,45.4,45.5,43396,1960055.02,530
2024-01-29,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,44.9,45.99,44.9,45.79,45.95,45.42,43860,2003884.1,388
2024-01-30,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.25,46.25,45.52,45.74,45.87,45.79,21706,992906.93,305
2024-01-31,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.09,46.48,45.36,46.28,46.19,45.74,23300,1075734.2,334
2024-02-01,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.78,46.78,46.08,46.57,46.7,46.28,40891,1897030.66,273
2024-02-02,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,47.1,47.24,46.25,46.39,46.35,46.57,37914,1774181.63,414
2024-02-05,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.25,47.45,45.7,46.4,45.9,46.39,32306,1493658.26,364
2024-02-06,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,45.6,47.05,45.6,46.21,46.5,46.4,17467,804242.43,263
2024-02-07,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,45.53,46.5,45.3,46.06,46.1,46.21,34532,1593900.02,216
2024-02-08,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.06,46.58,45.14,45.31,45.26,46.06,28223,1286705.99,448
2024-02-09,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.23,46.23,45.3,46.07,46.03,45.31,5504140,252200878.35,492
2024-02-12,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.14,46.15,45.01,45.34,45.62,46.07,24394,1107526.35,393
2024-02-13,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.02,46.95,45.15,45.95,46.95,45.34,67517,3093333.03,274
2024-02-14,CM,INF740KA1RX3,DSPBANKETF,DSPAMC - DSPBANKETF,46.87,46.89,45.21,46.28,46.52,45.95,32388,1489223.62,986
2024-02-15,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.5,47.0,45.99,46.45,46.51,46.28,17034,792105.92,183
2024-02-16,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.15,47.15,45.39,46.65,46.6,46.45,38354,1788501.06,283
2024-02-19,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.4,47.4,46.66,46.73,46.97,46.65,12924,605821.89,263
2024-02-20,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.1,47.3,46.1,47.27,47.3,46.73,48069,2266489.28,345
2024-02-21,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,48.7,48.7,46.46,47.22,47.1,47.27,33695,1598737.92,308
2024-02-22,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.28,47.35,46.28,47.12,47.35,47.22,9748,458076.82,197
2024-02-23,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.63,47.63,46.96,47.08,46.96,47.12,19103,904142.59,258
2024-02-26,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.49,47.49,46.71,46.76,46.9,47.08,29583,1384484.06,179
2024-02-27,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.21,47.27,46.21,46.78,46.8,46.76,9599,448735.1,129
2024-02-28,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.15,47.15,46.18,46.21,46.18,46.78,18538,862638.4,239
2024-02-29,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.0,46.68,46.0,46.37,46.43,46.21,4024,186377.55,194
2024-03-01,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.66,47.63,46.66,47.57,47.49,46.37,39720,1871281.99,219
2024-03-04,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.62,47.73,46.64,47.67,47.72,47.59,18888,899262.1,254
2024-03-05,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.79,47.99,47.48,47.84,47.81,47.67,15627,747232.77,238
2024-03-06,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.2,48.38,47.2,48.22,48.19,47.84,58345,2809976.5,506
2024-03-07,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,48.79,48.79,47.74,48.12,48.12,48.22,8529,410608.65,206
2024-03-11,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,48.69,48.7,47.54,47.79,48.09,48.12,16796,802636.07,201
2024-03-12,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,48.08,48.08,47.3,47.98,48.06,47.79,9269,442930.82,151
2024-03-13,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.6,48.17,47.08,47.32,47.31,47.98,13016,615742.76,145
2024-03-14,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.32,47.56,46.77,47.18,47.17,47.32,14714,694033.52,116
2024-03-15,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.7,48.43,46.7,48.25,48.35,47.18,2775,129925.62,78
2024-03-18,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.97,47.97,46.43,46.95,47.25,48.25,53973,2531464.53,557
2024-03-19,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.25,47.25,46.52,46.64,46.76,46.95,3298,154136.97,129
2024-03-20,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.71,46.99,46.24,46.66,46.79,46.64,6769,316339.53,122
2024-03-21,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.48,47.33,46.48,47.11,46.88,46.66,656853,30949015.91,169
2024-03-22,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.17,47.5,46.17,47.19,47.09,47.11,583890,27573831.2,3257
2024-03-26,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,46.71,47.13,46.71,47.02,47.07,47.19,3939,185131.92,82
2024-03-27,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.16,48.0,46.9,47.31,48.0,47.02,93356,4416609.24,82
2024-03-28,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.85,47.85,47.03,47.39,47.39,47.31,581653,27730090.51,184
2024-04-01,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.88,47.89,47.38,47.84,47.74,47.39,12019,574336.58,121
2024-04-02,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,48.14,48.14,47.76,47.84,47.87,47.84,421756,20235177.76,145
2024-04-03,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.15,48.06,47.15,47.95,47.88,47.84,740022,35540334.3,148
2024-04-04,CM,INF740KA1RX3,BANKETFADD,DSPAMC - DSPBANKETF,47.88,48.56,47.88,48.33,48.37,47.95,315892,15326005.8,185
