TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,115.05,115.05,111.51,111.61,111.51,111.72,14106,1576511.69,434
2024-01-02,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,114.95,114.95,110.38,111.52,111.64,111.61,11226,1248087.48,339
2024-01-03,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,114.85,114.85,110.71,111.23,111.3,111.52,15220,1696029.3,301
2024-01-04,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,111.24,111.68,111.11,111.49,111.58,111.23,13642,1520911.88,206
2024-01-05,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.95,112.95,110.94,111.58,111.59,111.49,11130,1243114.99,251
2024-01-08,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.8,113.48,110.7,110.8,110.77,111.58,23691,2629303.43,363
2024-01-09,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.2,112.2,111.01,111.21,111.21,110.8,3907,435231.32,213
2024-01-10,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.0,112.0,109.3,111.69,111.75,111.21,7561,839889.83,215
2024-01-11,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,111.9,112.27,111.81,112.25,112.18,111.69,28824,3232577.49,239
2024-01-12,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,111.96,112.28,111.57,111.95,112.2,112.25,17669,1976932.42,280
2024-01-15,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,113.8,113.8,111.8,112.66,112.7,111.95,11033,1240068.77,309
2024-01-16,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,116.05,116.05,111.52,112.48,112.5,112.66,7098,799581.07,249
2024-01-17,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,109.1,111.97,109.1,110.95,111.02,112.48,16477,1831356.0,418
2024-01-18,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,110.9,111.12,108.63,110.94,111.12,110.95,14115,1557471.1,287
2024-01-19,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,111.83,112.3,111.34,112.25,112.3,110.94,16721,1873724.81,181
2024-01-23,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.27,112.44,109.5,109.95,109.97,111.74,18291,2032541.63,494
2024-01-24,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,110.12,111.96,109.5,111.64,111.88,109.95,5122,566143.75,151
2024-01-25,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,113.25,113.25,110.6,111.38,111.44,111.64,21414,2381535.62,225
2024-01-29,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,114.7,114.7,111.39,112.84,112.84,111.38,13376,1501819.41,385
2024-01-30,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,114.35,114.35,112.06,112.36,112.4,112.84,29791,3363560.43,291
2024-01-31,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,112.41,114.24,112.41,114.0,113.79,112.36,12643,1436847.0,244
2024-02-01,CM,INF769K01IB1,MAKEINDIA,MIRAEAMC - MAMFGETF,114.2,114.56,113.46,113.71,113.74,114.0,20288,2315127.64,303
