TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,482.51,485.33,480.27,483.05,482.0,482.5,1317,635807.15,75
2024-01-02,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,484.57,489.41,478.0,480.67,489.41,483.05,1444,692839.47,141
2024-01-03,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,485.29,485.29,474.68,478.48,478.84,480.67,1692,807153.62,117
2024-01-04,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,478.51,482.9,478.51,482.89,482.9,478.48,1008,485627.64,70
2024-01-05,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,482.4,484.28,478.5,482.32,482.33,482.89,2589,1247412.0,96
2024-01-08,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,482.32,482.32,474.01,475.03,475.56,482.32,4807,2298064.36,151
2024-01-09,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,476.01,479.88,471.56,472.66,473.33,475.03,3554,1689144.71,139
2024-01-10,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,474.3,475.0,471.3,474.47,475.0,472.66,504,238672.44,54
2024-01-11,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,474.48,476.8,472.31,475.33,475.53,474.47,1074,510290.97,82
2024-01-12,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,475.3,479.43,475.2,477.99,478.4,475.33,606,289665.54,56
2024-01-15,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,481.08,483.28,478.59,482.38,483.23,477.99,3602,1731407.57,87
2024-01-16,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,482.16,483.88,480.02,481.99,482.1,482.38,809,390092.15,50
2024-01-17,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,479.0,479.0,460.05,461.83,465.01,481.99,41306,19214820.88,1422
2024-01-18,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,461.86,462.59,456.0,457.98,458.2,461.83,15858,7270178.02,478
2024-01-19,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,477.7,477.7,456.87,457.41,458.42,457.98,13421,6169488.85,312
2024-01-23,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.98,467.98,449.35,451.01,458.0,460.83,11669,5291646.33,683
2024-01-24,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,451.01,456.0,446.93,451.92,451.68,451.01,11279,5080998.24,595
2024-01-25,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,472.27,472.27,445.5,449.83,451.2,451.92,10522,4706645.12,499
2024-01-29,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.7,467.7,451.87,455.53,455.88,449.83,5889,2676236.45,296
2024-01-30,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,454.54,456.49,452.37,454.53,454.0,455.53,4084,1854295.9,240
2024-01-31,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,454.03,461.85,451.32,459.88,459.85,454.53,7190,3295304.95,301
2024-02-01,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,459.87,462.59,457.66,461.94,462.49,459.88,85513,39254304.67,211
2024-02-02,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,462.0,468.04,459.01,459.65,459.49,461.94,10771,4998852.38,379
2024-02-05,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,463.79,463.8,455.38,458.45,457.08,459.65,5316,2433331.52,219
2024-02-06,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.65,467.65,456.01,457.65,458.63,458.45,4314,1974430.81,167
2024-02-07,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,459.0,460.59,455.0,457.96,458.39,457.65,1941,889564.13,128
2024-02-08,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,458.54,461.0,449.38,450.83,451.67,457.96,7066,3202850.39,430
2024-02-09,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,448.57,457.57,445.0,457.01,457.57,450.83,4410,2005161.5,160
2024-02-12,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,456.3,456.89,446.98,449.56,455.16,457.01,7277,3280549.34,323
2024-02-13,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,446.01,457.99,446.01,455.82,454.87,449.56,3800,1724692.66,172
2024-02-14,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,452.0,462.2,450.0,459.4,458.91,455.82,31619,14352039.06,252
2024-02-15,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,459.4,463.0,457.0,461.64,462.95,459.4,4844,2231574.77,146
2024-02-16,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,461.99,466.59,461.68,463.78,464.4,461.64,5991,2780252.77,199
2024-02-19,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,473.1,473.1,463.0,464.85,464.95,463.78,5056,2355013.45,200
2024-02-20,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,464.85,472.0,463.0,470.68,471.99,464.85,5276,2472741.85,328
2024-02-21,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,472.69,472.69,468.39,469.88,469.24,470.68,7112,3350131.08,183
2024-02-22,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,469.01,470.07,464.13,467.97,469.92,469.88,2792,1303961.03,171
2024-02-23,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,474.16,474.16,466.82,467.98,467.9,467.97,1850,869049.31,140
2024-02-26,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.7,468.49,464.95,466.08,465.81,467.98,2037,951270.75,125
2024-02-27,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,469.07,469.07,463.08,466.49,466.5,466.08,3148,1463869.41,138
2024-02-28,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,466.3,467.56,459.83,460.27,459.83,466.49,8653,4006838.26,221
2024-02-29,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,451.06,464.5,451.06,461.07,463.72,460.27,5197,2393749.13,151
2024-03-01,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,461.99,474.09,461.99,472.04,471.51,461.07,11477,5394734.51,243
2024-03-04,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,472.47,476.13,470.3,475.71,475.0,472.45,19566,9288032.63,206
2024-03-05,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,475.3,478.4,472.88,476.79,476.5,475.71,8048,3834253.83,194
2024-03-06,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,476.28,481.42,475.33,480.26,480.0,476.79,8247,3954879.71,264
2024-03-07,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,480.53,480.53,476.48,476.94,478.1,480.26,3291,1575010.22,108
2024-03-11,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,481.94,481.94,471.0,472.98,473.76,476.94,4061,1928753.49,151
2024-03-12,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,474.08,477.9,470.71,472.74,472.22,472.98,4652,2198638.94,150
2024-03-13,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,473.05,474.94,468.19,469.88,469.6,472.74,28395,13348805.82,158
2024-03-14,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,470.45,471.99,464.94,469.21,469.21,469.88,1095,513103.48,89
2024-03-15,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,468.82,468.83,463.0,466.25,466.49,469.21,3325,1548701.21,121
2024-03-18,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,483.7,483.7,461.3,466.03,466.96,466.25,2191,1018590.05,132
2024-03-19,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,465.4,466.24,462.0,464.22,463.0,466.03,1224,568398.23,70
2024-03-20,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,464.01,465.9,459.3,463.83,463.83,464.22,1572,727870.83,125
2024-03-21,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,468.0,469.82,466.3,467.81,467.88,463.83,686,320914.94,46
2024-03-22,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.0,469.96,467.0,469.22,469.34,467.81,595,278981.53,65
2024-03-26,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,460.23,468.35,460.23,465.9,466.95,469.22,1587,741504.78,102
2024-03-27,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,467.99,469.9,467.18,468.51,469.65,465.9,3078,1441924.05,50
2024-03-28,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,469.5,474.53,466.47,471.15,470.83,468.51,15910,7516434.77,107
2024-04-01,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,462.23,476.47,462.23,476.14,476.47,471.15,1424,676733.28,101
2024-04-02,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,475.34,476.72,474.83,475.31,475.69,476.14,389,184994.03,75
2024-04-03,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,473.74,477.43,472.44,476.48,477.43,475.31,67108,31932159.48,89
2024-04-04,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,478.78,482.0,476.48,481.41,481.0,476.48,4581,2200076.95,143
2024-04-05,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,480.49,485.99,479.01,484.96,485.23,481.41,5516,2664580.54,153
2024-04-08,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,484.96,487.21,484.6,485.26,485.21,484.96,2481,1205451.68,111
2024-04-09,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,486.01,489.5,485.19,487.24,486.59,485.26,1283,625435.2,92
2024-04-10,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,488.5,490.0,488.0,489.06,488.0,487.24,1473,719720.78,82
2024-04-12,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,489.0,489.0,485.5,485.96,486.23,489.06,2621,1276347.01,151
2024-04-15,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,483.25,485.96,475.0,478.6,478.47,485.96,3528,1693877.7,202
2024-04-16,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,474.55,476.53,473.3,476.24,476.53,478.6,12563,5975664.88,130
2024-04-18,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,476.23,478.61,469.76,470.66,471.56,476.24,3352,1589407.68,134
2024-04-19,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,473.98,476.8,465.71,475.71,476.8,470.66,3040,1426219.12,154
2024-04-22,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,470.95,485.0,467.23,479.77,479.79,475.71,2170,1038502.82,120
2024-04-23,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,480.27,481.85,479.5,479.79,479.5,479.77,2252,1082407.59,110
2024-04-24,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,479.85,482.8,479.85,481.63,481.46,479.79,981,472724.33,63
2024-04-25,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,481.46,485.5,480.49,485.31,485.5,481.63,4958,2391109.18,133
2024-04-26,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,485.31,487.5,481.88,482.56,484.22,485.31,2977,1442065.61,119
2024-04-29,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,472.91,495.51,472.91,495.46,493.21,482.56,79066,39142496.43,284
2024-04-30,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,500.0,500.01,491.69,493.47,494.23,495.46,3283,1625236.25,153
2024-05-02,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,493.47,495.3,491.7,492.05,491.75,493.47,2904,1434158.36,91
2024-05-03,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,496.92,496.92,487.21,489.41,492.03,492.05,3053,1496133.42,170
2024-05-06,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,489.41,494.19,488.0,489.6,491.98,489.41,2333,1143161.11,94
2024-05-07,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,488.0,488.15,482.12,483.44,483.63,489.6,1764,854841.16,172
2024-05-08,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,483.53,483.54,476.94,481.31,481.72,483.44,5206,2496987.85,153
2024-05-09,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,481.95,482.04,475.01,475.65,475.01,481.31,2528,1206823.69,186
2024-05-10,CM,INF769K01KR3,BANKETF,MIRAEAMC - BANKETF,480.99,480.99,474.33,475.23,475.17,475.65,2334,1111035.66,154
