TradDt,Sgmt,ISIN,TckrSymb,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
2024-01-01,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,373.04,375.95,370.11,374.95,374.0,373.23,2068,772520.23,94
2024-01-02,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,375.14,375.14,367.84,370.75,371.5,374.95,3320,1230567.24,127
2024-01-03,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,369.81,374.69,361.21,365.35,373.4,370.75,8588,3130461.1,346
2024-01-04,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,369.59,369.59,359.45,361.82,368.0,365.35,14231,5140036.33,483
2024-01-05,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,363.8,367.45,362.25,365.97,367.32,361.82,4141,1506458.84,97
2024-01-08,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,365.97,370.45,361.81,364.6,363.5,365.97,2175,791526.55,171
2024-01-09,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,366.16,368.57,362.59,363.95,363.98,364.6,4092,1495376.52,98
2024-01-10,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,364.3,365.8,361.71,365.79,365.79,363.95,4402,1601410.49,109
2024-01-11,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,365.0,367.2,364.0,365.08,367.2,365.79,3813,1391877.87,112
2024-01-12,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,373.26,383.85,371.44,381.91,381.0,365.08,19278,7313127.37,374
2024-01-15,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,389.37,396.4,388.6,389.71,389.01,381.91,46133,18014346.61,212
2024-01-16,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,387.37,388.07,383.85,384.58,384.23,389.71,5266,2030666.81,194
2024-01-17,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,383.99,388.91,383.99,387.17,386.0,384.58,2720,1053063.91,88
2024-01-18,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,386.37,387.11,378.24,384.88,387.11,387.17,3775,1440883.15,105
2024-01-19,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,384.88,390.54,384.88,388.78,390.54,384.88,1451,562776.05,79
2024-01-23,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,390.11,391.73,383.01,383.37,385.0,385.1,4427,1715214.05,92
2024-01-24,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,385.95,389.95,382.05,388.53,382.13,383.37,9316,3606546.95,76
2024-01-25,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,386.55,386.56,382.0,383.01,384.06,388.53,85893,32896325.13,113
2024-01-29,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,394.5,394.5,382.31,384.5,383.93,383.01,2807,1076406.15,56
2024-01-30,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,387.42,388.5,380.98,382.95,381.0,384.5,4203,1615103.63,84
2024-01-31,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,381.56,384.68,381.48,384.29,384.68,382.95,1625,623699.23,41
2024-02-01,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,388.98,388.98,382.11,383.25,382.11,384.29,7356,2823203.86,61
2024-02-02,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,382.31,394.72,378.7,391.04,391.04,383.25,5545,2165135.46,84
2024-02-05,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,391.04,394.5,389.09,389.96,389.09,391.04,6047,2375411.54,93
2024-02-06,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,394.0,402.44,393.8,401.1,400.93,389.96,4057,1617048.06,152
2024-02-07,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,401.11,401.11,395.64,397.98,401.0,401.1,40528,16086035.55,116
2024-02-08,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,397.59,400.95,395.45,396.77,396.79,397.98,1886,749614.53,45
2024-02-09,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,396.8,399.99,393.58,396.39,396.98,396.77,2078,824413.33,54
2024-02-12,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,388.5,405.27,388.5,400.56,401.34,396.39,2327,928053.13,146
2024-02-13,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,396.83,402.65,395.78,401.35,402.65,400.56,7386,2960630.79,62
2024-02-14,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,393.93,399.0,391.31,397.17,399.0,401.35,5126,2022057.51,82
2024-02-15,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,402.48,402.48,397.18,398.44,398.39,397.17,1273,507577.68,67
2024-02-16,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,400.01,404.0,400.01,403.93,402.91,398.44,3182,1280226.74,97
2024-02-19,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,403.85,404.8,400.14,403.92,404.4,403.93,3675,1479318.81,109
2024-02-20,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,402.79,402.8,396.61,400.65,400.73,403.92,1773,707964.8,136
2024-02-21,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,404.0,404.0,392.01,393.43,402.0,400.65,4394,1737545.4,182
2024-02-22,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,386.05,401.0,386.05,400.39,401.0,393.43,2906,1147118.57,67
2024-02-23,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,401.99,403.72,399.28,400.53,400.7,400.39,1995,803418.18,78
2024-02-26,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,404.47,404.47,393.3,395.88,396.29,400.53,4202,1661426.16,139
2024-02-27,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,396.68,399.0,395.9,398.79,399.0,395.88,1834,727999.62,56
2024-02-28,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,398.3,400.0,395.39,397.94,396.76,398.79,2060,820971.53,70
2024-02-29,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,395.34,400.0,394.01,399.31,400.0,397.94,915,361861.61,62
2024-03-01,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,394.01,399.99,394.0,394.85,395.17,399.31,2160,855323.36,139
2024-03-04,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,400.97,400.98,391.26,393.0,398.65,396.43,7803,3069112.01,310
2024-03-05,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,390.14,391.08,385.9,386.8,390.0,393.0,9659,3736706.81,423
2024-03-06,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,387.01,392.5,380.48,389.31,392.5,386.8,7422,2848828.31,293
2024-03-07,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,390.99,392.49,387.0,391.02,391.65,389.31,2120,827430.52,108
2024-03-11,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,398.64,398.65,386.44,389.64,389.41,391.02,4679,1818733.31,169
2024-03-12,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,389.64,394.25,387.69,391.45,391.49,389.64,1448,567480.65,94
2024-03-13,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,392.5,393.8,385.77,387.84,388.73,391.45,4680,1819761.64,105
2024-03-14,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,388.95,395.7,385.64,395.47,395.55,387.84,2097,822364.58,104
2024-03-15,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,393.98,394.51,391.55,392.83,394.49,395.47,2233,877122.19,61
2024-03-18,CM,INF846K01Y96,AXISTECETF,AXISAMC - AXISTECETF,391.56,393.74,385.8,387.71,388.02,392.83,858,334894.33,84
