SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ADANIPORTS, EQ, 01-Jan-2020,366.0,368.0,379.25,366.0, 377.45,377.65,375.71,11377167,42744.59,89107, 1155555, 10.16,3.18
ADANIPORTS, EQ, 01-Jan-2021,483.75,485.0,508.0,482.55, 505.00,503.85,495.57,7815730,38732.34,79171, 834159, 10.67,4.16
ADANIPORTS, EQ, 01-Jan-2024,1024.35,1026.55,1057.95,1023.0, 1041.10,1047.85,1046.35,3989711,41746.43,100539, 975722, 24.46,2.29
ADANIPORTS, EQ, 01-Jan-2025,1231.1,1223.0,1231.8,1206.35,1218.3,1218.7,1219.35,1937930,23630.14,68696, 486715, 25.12,-1.01
ADANIPORTS, EQ, 01-Feb-2021,509.7,514.3,545.45,500.1, 543.80,542.75,521.81,10259084,53532.55,144291, 2226831, 21.71,6.48
ADANIPORTS, EQ, 01-Feb-2022,716.3,721.0,744.3,720.65,739.1,738.75,731.81,6052108,44289.88,90513, 1879242, 31.05,3.13
ADANIPORTS, EQ, 01-Feb-2023,612.65,627.0,629.0,459.5, 504.00,495.15,544.61,46557720,253558.72,594888, 10456721, 22.46,-19.18
ADANIPORTS, EQ, 01-Feb-2024,1207.65,1213.6,1239.5,1200.3, 1220.75,1218.85,1220.91,7433628,90757.86,274275, 2149960, 28.92,0.93
ADANIPORTS, EQ, 01-Mar-2021,675.9,684.6,704.65,673.3, 697.60,692.9,688.54,11600468,79874.22,179958, 2350242, 20.26,2.52
ADANIPORTS, EQ, 01-Mar-2023,592.45,598.0,616.0,594.6, 601.70,602.1,605.56,18661166,113005.28,265676, 2199370, 11.79,1.63
ADANIPORTS, EQ, 01-Mar-2024,1320.5,1335.0,1349.0,1312.4, 1324.70,1322.1,1327.28,3301090,43814.62,83641, 927713, 28.10,0.12
ADANIPORTS, EQ, 01-Apr-2020,251.3,246.05,247.8,235.05,246.1,244.8,240.63,4034211,9707.47,46902, 697312, 17.28,-2.59
ADANIPORTS, EQ, 01-Apr-2021,702.4,713.5,742.0,705.0, 733.55,736.25,725.68,15017049,108975.78,166679, 2293326, 15.27,4.82
ADANIPORTS, EQ, 01-Apr-2022,774.2,774.5,790.7,774.5, 783.50,785.75,784.47,6816743,53475.27,85048, 2146134, 31.48,1.49
ADANIPORTS, EQ, 01-Apr-2024,1341.85,1356.8,1381.75,1350.25, 1378.00,1375.9,1370.36,3251462,44556.61,92837, 873386, 26.86,2.54
ADANIPORTS, EQ, 01-Apr-2025,1182.95,1179.0,1202.0,1168.05,1176.5,1174.75,1183.25,1584541,18749.04,72638, 529261, 33.40,-0.69
ADANIPORTS, EQ, 01-Jun-2020,323.8,326.0,336.35,326.0, 329.55,329.35,332.52,2865760,9529.35,65567, 692811, 24.18,1.71
ADANIPORTS, EQ, 01-Jun-2021,769.55,773.1,801.8,764.3, 799.00,798.2,788.48,17847137,140720.38,237277, 3103167, 17.39,3.72
ADANIPORTS, EQ, 01-Jun-2022,739.85,739.8,743.7,729.05,737.4,736.9,735.86,3196984,23525.47,56865, 776443, 24.29,-0.4
ADANIPORTS, EQ, 01-Jun-2023,738.85,730.5,744.95,729.0, 733.00,732.05,736.11,3771760,27764.23,66793, 818395, 21.70,-0.92
ADANIPORTS, EQ, 01-Jul-2020,343.9,345.9,347.05,341.3, 344.45,343.8,344.36,1202080,4139.47,16762, 320499, 26.66,-0.03
ADANIPORTS, EQ, 01-Jul-2021,703.7,706.0,711.85,700.0, 705.00,703.1,704.35,8035542,56598.41,111500, 1725199, 21.47,-0.09
ADANIPORTS, EQ, 01-Jul-2022,672.05,670.0,680.0,656.0,678.3,677.9,668.17,3151179,21055.11,59519, 498229, 15.81,0.87
ADANIPORTS, EQ, 01-Jul-2024,1478.1,1483.0,1491.4,1471.6,1475.0,1474.5,1479.65,3372730,49904.55,81073, 1392207, 41.28,-0.24
ADANIPORTS, EQ, 01-Aug-2022,763.7,770.0,804.0,765.05, 801.00,801.25,792.65,6459641,51202.62,102039, 1429545, 22.13,4.92
ADANIPORTS, EQ, 01-Aug-2023,777.85,778.95,781.0,761.6, 765.05,765.35,769.42,2590545,19932.08,70270, 883264, 34.10,-1.61
ADANIPORTS, EQ, 01-Aug-2024,1569.9,1580.95,1604.95,1568.5,1588.95,1590.15,1588.0,7160588,113710.44,239326, 1858569, 25.96,1.29
ADANIPORTS, EQ, 01-Sep-2020,355.75,357.0,365.35,341.4, 351.00,348.8,353.73,6726316,23793.12,65666, 1277383, 18.99,-1.95
ADANIPORTS, EQ, 01-Sep-2021,748.3,750.05,751.85,737.6,744.4,744.75,744.38,5320381,39603.87,83876, 1397825, 26.27,-0.47
ADANIPORTS, EQ, 01-Sep-2022,842.15,841.8,846.55,831.35,836.5,837.8,839.74,3888408,32652.33,63796, 626618, 16.12,-0.52
ADANIPORTS, EQ, 01-Sep-2023,792.2,780.0,808.0,779.65, 799.00,799.5,798.21,11900199,94988.68,126390, 6051616, 50.85,0.92
ADANIPORTS, EQ, 01-Oct-2020,341.75,345.5,354.9,344.5, 353.95,353.3,350.87,3004005,10540.28,38850, 373035, 12.42,3.38
ADANIPORTS, EQ, 01-Oct-2021,737.9,735.85,738.25,722.0, 734.35,734.95,730.52,4008108,29280.04,57693, 533570, 13.31,-0.4
ADANIPORTS, EQ, 01-Oct-2024,1448.2,1448.2,1472.85,1448.0,1463.2,1467.5,1461.98,1687795,24675.16,99327, 808352, 47.89,1.33
ADANIPORTS, EQ, 01-Nov-2021,693.0,705.0,707.0,690.0, 706.95,704.4,699.45,3233662,22617.85,65929, 1041693, 32.21,1.65
