SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ADVENZYMES, EQ, 01-Jan-2020,165.5,165.5,166.4,164.1, 164.15,164.5,164.94,12150,20.04,546, 7411, 61.00,-0.6
ADVENZYMES, EQ, 01-Jan-2021,334.75,334.75,344.7,334.75, 338.50,336.7,339.39,239573,813.09,6641, 93736, 39.13,0.58
ADVENZYMES, EQ, 01-Jan-2024,375.35,376.2,377.65,370.0, 374.15,373.95,373.25,160256,598.15,5342, 83658, 52.20,-0.37
ADVENZYMES, EQ, 01-Jan-2025,348.35,348.95,354.55,346.8,350.45,350.65,350.24,100888,353.35,7638, 48617, 48.19,0.66
ADVENZYMES, EQ, 01-Feb-2021,316.6,317.55,318.0,310.65, 318.00,315.6,314.09,69356,217.84,2939, 27953, 40.30,-0.32
ADVENZYMES, EQ, 01-Feb-2022,315.2,316.9,319.55,314.2,317.9,317.85,317.49,54717,173.72,2115, 27049, 49.43,0.84
ADVENZYMES, EQ, 01-Feb-2023,280.65,277.75,287.25,270.0, 270.40,272.3,277.57,46630,129.43,3781, 20790, 44.59,-2.98
ADVENZYMES, EQ, 01-Feb-2024,380.7,384.9,384.9,373.25, 377.00,377.3,377.45,119314,450.35,7627, 59707, 50.04,-0.89
ADVENZYMES, EQ, 01-Mar-2021,357.25,358.0,365.1,344.0, 349.90,348.0,352.49,277052,976.57,10046, 123938, 44.73,-2.59
ADVENZYMES, EQ, 01-Mar-2023,279.25,280.65,280.65,274.5, 275.55,275.3,276.41,24941,68.94,1960, 14271, 57.22,-1.41
ADVENZYMES, EQ, 01-Mar-2024,385.05,386.0,391.1,380.2, 384.00,383.9,385.2,177304,682.98,6359, 128628, 72.55,-0.3
ADVENZYMES, EQ, 01-Apr-2020,142.5,144.3,145.8,135.6,138.9,138.35,138.87,78737,109.34,2091, 36724, 46.64,-2.91
ADVENZYMES, EQ, 01-Apr-2021,344.95,347.8,360.45,347.8, 353.10,353.1,354.59,156303,554.23,4511, 60329, 38.60,2.36
ADVENZYMES, EQ, 01-Apr-2022,282.1,283.6,293.95,283.6, 288.50,288.45,289.88,189872,550.4,4913, 101303, 53.35,2.25
ADVENZYMES, EQ, 01-Apr-2024,348.45,343.8,362.4,343.8, 359.95,359.75,355.59,153069,544.3,10785, 80058, 52.30,3.24
ADVENZYMES, EQ, 01-Apr-2025,279.45,278.95,294.8,277.5,287.5,288.15,289.76,153746,445.49,9482, 63031, 41.00,3.11
ADVENZYMES, EQ, 01-Jun-2020,150.0,153.0,154.35,149.0, 150.10,149.9,151.23,174228,263.48,3673, 113930, 65.39,-0.07
ADVENZYMES, EQ, 01-Jun-2021,427.85,429.0,435.6,405.5, 414.90,412.95,416.82,689414,2873.59,23170, 267776, 38.84,-3.48
ADVENZYMES, EQ, 01-Jun-2022,286.3,286.3,292.05,280.85,289.0,287.7,287.51,58814,169.1,3277, 29571, 50.28,0.49
ADVENZYMES, EQ, 01-Jun-2023,275.65,275.7,289.0,275.05, 288.05,285.6,282.71,159821,451.83,5395, 83285, 52.11,3.61
ADVENZYMES, EQ, 01-Jul-2020,170.65,172.9,175.0,168.85, 174.90,172.5,171.67,81534,139.97,2484, 33061, 40.55,1.08
ADVENZYMES, EQ, 01-Jul-2021,414.5,417.35,421.0,400.0, 411.00,409.25,406.95,648211,2637.91,9320, 441859, 68.17,-1.27
ADVENZYMES, EQ, 01-Jul-2022,266.2,266.2,268.7,258.4,264.0,263.65,263.25,40076,105.5,2159, 23840, 59.49,-0.96
ADVENZYMES, EQ, 01-Jul-2024,381.75,382.7,385.0,368.0,376.05,375.4,377.76,142892,539.79,12420, 70409, 49.27,-1.66
ADVENZYMES, EQ, 01-Aug-2022,287.05,293.5,296.0,285.5, 287.00,289.05,291.26,71357,207.84,5029, 22424, 31.43,0.7
ADVENZYMES, EQ, 01-Aug-2023,328.8,330.0,331.5,319.95, 322.00,322.55,326.54,214478,700.36,8401, 94993, 44.29,-1.9
ADVENZYMES, EQ, 01-Aug-2024,417.55,418.0,429.45,417.85,425.0,423.05,423.66,414672,1756.8,22826, 203534, 49.08,1.32
ADVENZYMES, EQ, 01-Sep-2020,199.0,200.65,218.45,200.05, 218.45,214.4,208.35,428194,892.13,12634, 154840, 36.16,7.74
ADVENZYMES, EQ, 01-Sep-2021,381.35,383.1,390.0,381.35,385.35,384.45,385.85,232718,897.94,9170, 96642, 41.53,0.81
ADVENZYMES, EQ, 01-Sep-2022,268.9,268.0,272.0,267.2,268.9,268.3,269.51,59947,161.56,2820, 29941, 49.95,-0.22
ADVENZYMES, EQ, 01-Sep-2023,328.05,328.0,329.9,323.0, 325.00,324.55,325.24,107349,349.14,6299, 62430, 58.16,-1.07
ADVENZYMES, EQ, 01-Oct-2020,330.3,329.8,344.4,322.0, 334.00,334.65,333.11,1491344,4967.75,39113, 461386, 30.94,1.32
ADVENZYMES, EQ, 01-Oct-2021,388.55,387.5,391.85,378.25, 385.50,384.05,384.43,306252,1177.32,11601, 117167, 38.26,-1.16
ADVENZYMES, EQ, 01-Oct-2024,502.9,506.0,525.6,502.5,522.8,522.2,518.11,479952,2486.68,30942, 150485, 31.35,3.84
ADVENZYMES, EQ, 01-Nov-2021,376.8,377.05,386.3,373.55, 383.80,384.5,382.17,109106,416.97,6258, 43141, 39.54,2.04
ADVENZYMES, EQ, 01-Nov-2022,284.2,285.65,286.7,282.6,284.5,284.0,284.15,52527,149.26,2286, 35877, 68.30,-0.07
ADVENZYMES, EQ, 01-Nov-2023,312.3,312.1,313.2,304.9, 310.45,308.35,310.45,55754,173.09,3182, 26421, 47.39,-1.26
ADVENZYMES, EQ, 01-Dec-2020,352.9,361.5,368.0,352.9,361.0,360.35,360.18,425057,1530.99,18197, 228891, 53.85,2.11
ADVENZYMES, EQ, 01-Dec-2021,327.45,330.65,331.65,320.0,321.6,322.6,325.27,59761,194.38,3361, 30957, 51.80,-1.48
ADVENZYMES, EQ, 01-Dec-2022,284.0,284.5,286.3,279.85,281.9,280.8,281.94,50098,141.25,3102, 29791, 59.47,-1.13
ADVENZYMES, EQ, 01-Dec-2023,330.15,332.65,336.4,327.0, 327.00,328.35,330.13,193441,638.61,8032, 106895, 55.26,-0.55
ADVENZYMES, EQ, 02-Jan-2020,164.5,164.55,169.7,164.5, 169.45,169.3,168.72,131523,221.9,2312, 67937, 51.65,2.92
ADVENZYMES, EQ, 02-Jan-2023,280.8,282.1,285.75,280.75, 285.20,284.15,283.27,40306,114.18,2556, 19065, 47.30,1.19
ADVENZYMES, EQ, 02-Jan-2024,373.95,374.6,383.15,368.5, 374.25,374.7,375.24,281351,1055.73,13462, 85370, 30.34,0.2
ADVENZYMES, EQ, 02-Jan-2025,350.65,351.9,361.9,345.6,360.0,355.8,350.64,130372,457.14,9423, 61329, 47.04,1.47
ADVENZYMES, EQ, 02-Feb-2021,315.6,317.1,330.0,316.1, 328.00,327.4,326.24,270784,883.4,6230, 117889, 43.54,3.74
ADVENZYMES, EQ, 02-Feb-2022,317.85,322.4,345.0,321.8, 335.20,336.1,337.74,710027,2398.04,22253, 249977, 35.21,5.74
ADVENZYMES, EQ, 02-Feb-2023,272.3,268.2,275.35,268.2, 270.85,270.8,272.01,24927,67.8,2444, 13353, 53.57,-0.55
ADVENZYMES, EQ, 02-Feb-2024,377.3,380.0,394.9,380.0, 388.00,387.3,387.8,658327,2552.97,22544, 257065, 39.05,2.65
ADVENZYMES, EQ, 02-Mar-2020,152.4,153.2,156.7,145.05, 146.75,147.05,151.41,89170,135.01,2000, 69732, 78.20,-3.51
ADVENZYMES, EQ, 02-Mar-2021,348.0,348.95,359.0,348.95,354.5,354.05,355.63,195177,694.11,6674, 72539, 37.17,1.74
ADVENZYMES, EQ, 02-Mar-2022,319.85,315.5,337.75,311.35, 321.45,321.85,325.87,640193,2086.21,21098, 91483, 14.29,0.63
ADVENZYMES, EQ, 02-Mar-2023,275.3,275.3,279.15,271.0, 272.90,272.0,274.33,53895,147.85,3114, 30802, 57.15,-1.2
ADVENZYMES, EQ, 02-Apr-2024,359.75,363.6,372.15,353.6, 366.50,364.85,364.52,286369,1043.87,20884, 132455, 46.25,1.42
