SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AKASH, EQ, 01-Jan-2020,65.0,64.0,71.5,62.0, 68.00,66.2,68.55,7490,5.13,129, 4956, 66.17,1.85
AKASH, EQ, 01-Jan-2021,233.8,234.9,244.5,225.5, 238.85,243.85,239.14,43973,105.16,234, 19536, 44.43,4.3
AKASH, EQ, 01-Jan-2024,36.85,37.0,44.2,36.2, 44.15,42.2,40.85,552577,225.73,1624, 401789, 72.71,14.52
AKASH, EQ, 01-Jan-2025,33.4,33.41,34.38,33.41,33.82,34.07,33.98,7121,2.42,146, 4634, 65.08,2.01
AKASH, EQ, 01-Feb-2021,226.55,232.0,237.85,228.0, 237.00,234.6,232.46,2974,6.91,277, 2681, 90.15,3.55
AKASH, EQ, 01-Feb-2023,26.1,27.0,27.0,25.0, 25.10,25.5,26.04,18230,4.75,338, 8699, 47.72,-2.3
AKASH, EQ, 01-Mar-2021,234.0,239.0,239.0,228.15, 232.00,231.45,233.04,17556,40.91,249, 16199, 92.27,-1.09
AKASH, EQ, 01-Mar-2023,29.5,29.4,30.0,28.7, 29.30,29.5,29.43,24702,7.27,497, 6552, 26.52,0.0
AKASH, EQ, 01-Apr-2021,210.35,220.0,220.0,200.0, 209.65,209.85,210.54,71857,151.29,880, 62275, 86.67,-0.24
AKASH, EQ, 01-Apr-2022,62.6,65.7,65.7,64.15, 65.70,65.7,65.69,71108,46.71,563, 63453, 89.23,4.95
AKASH, EQ, 01-Apr-2025,25.08,25.95,26.94,24.7,26.27,25.78,25.67,8667,2.22,213, 4261, 49.16,2.79
AKASH, EQ, 01-Jun-2021,211.65,215.05,222.5,209.75, 220.60,219.1,216.4,49551,107.23,459, 35546, 71.74,3.52
AKASH, EQ, 01-Jun-2022,36.9,36.9,38.3,35.1,35.8,35.65,36.24,50459,18.29,538, 29301, 58.07,-3.39
AKASH, EQ, 01-Jun-2023,23.85,24.4,24.9,23.5, 24.15,24.35,24.23,16663,4.04,240, 8946, 53.69,2.1
AKASH, EQ, 01-Jul-2021,219.7,222.5,250.0,217.75, 239.00,242.6,234.93,180696,424.5,2130, 83795, 46.37,10.42
AKASH, EQ, 01-Jul-2022,24.6,25.2,25.8,23.65,25.8,25.8,25.15,39718,9.99,348, 25832, 65.04,4.88
AKASH, EQ, 01-Jul-2024,33.35,34.0,34.0,33.35,33.65,33.6,33.53,44517,14.93,359, 24107, 54.15,0.75
AKASH, EQ, 01-Aug-2024,37.45,38.39,38.39,34.45,36.61,36.45,37.03,71583,26.51,706, 39387, 55.02,-2.67
AKASH, EQ, 01-Sep-2021,173.5,177.0,182.5,174.6,176.1,176.7,177.37,37745,66.95,634, 27506, 72.87,1.84
AKASH, EQ, 01-Sep-2023,27.7,28.3,28.3,26.5, 27.05,27.0,27.48,53527,14.71,806, 18559, 34.67,-2.53
AKASH, EQ, 01-Oct-2021,183.25,184.0,219.0,182.35, 212.50,215.1,205.07,146428,300.28,4291, 61094, 41.72,17.38
AKASH, EQ, 01-Oct-2024,39.17,39.95,39.95,38.15,38.6,38.52,38.96,35711,13.91,760, 17057, 47.76,-1.66
AKASH, EQ, 01-Nov-2021,223.85,228.8,267.1,220.1, 238.65,248.9,234.76,204277,479.55,1786, 154342, 75.56,11.19
AKASH, EQ, 01-Nov-2022,36.3,36.5,37.6,36.1,36.1,36.75,36.95,68408,25.27,223, 64537, 94.34,1.24
AKASH, EQ, 01-Nov-2023,29.2,29.2,29.9,28.5, 29.50,29.25,29.24,213453,62.42,2812, 15016, 7.03,0.17
AKASH, EQ, 01-Dec-2020,209.25,211.25,217.55,211.2,217.35,215.25,215.09,9990,21.49,114, 6346, 63.52,2.87
AKASH, EQ, 01-Dec-2021,164.05,180.0,180.0,168.15,173.5,174.4,175.41,68500,120.16,1331, 31708, 46.29,6.31
AKASH, EQ, 01-Dec-2022,33.15,33.9,33.9,32.8,33.2,33.15,33.16,17449,5.79,183, 10787, 61.82,0.0
AKASH, EQ, 01-Dec-2023,30.25,30.3,31.0,30.3, 30.50,30.6,30.66,54206,16.62,1216, 15564, 28.71,1.16
AKASH, EQ, 02-Jan-2020,66.2,62.1,72.8,62.0, 72.80,70.75,68.41,26301,17.99,127, 21353, 81.19,6.87
AKASH, EQ, 02-Jan-2023,30.7,30.05,32.5,30.05, 31.25,31.3,31.52,37139,11.7,446, 14273, 38.43,1.95
AKASH, EQ, 02-Jan-2024,42.2,48.9,50.6,47.15, 50.60,50.55,49.7,3642513,1810.28,12057, 895633, 24.59,19.79
AKASH, EQ, 02-Jan-2025,34.07,34.8,34.8,33.82,34.45,34.38,34.29,6596,2.26,240, 3959, 60.02,0.91
AKASH, EQ, 02-Feb-2021,234.6,246.1,246.1,232.5, 238.00,234.35,239.44,14815,35.47,177, 14199, 95.84,-0.11
AKASH, EQ, 02-Feb-2023,25.5,26.5,26.5,24.5, 24.55,24.65,24.72,154313,38.14,327, 145635, 94.38,-3.33
