SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AKG, EQ, 01-Jan-2024,24.95,25.25,25.25,24.75, 25.00,24.85,25.01,177194,44.32,252, 62421, 35.23,-0.4
AKG, EQ, 01-Jan-2025,17.88,18.36,19.4,18.15,18.48,18.45,18.5,328876,60.84,393, 275004, 83.62,3.19
AKG, EQ, 01-Feb-2022,46.5,47.0,47.9,44.25,46.4,45.8,46.78,77051,36.04,299, 71430, 92.70,-1.51
AKG, EQ, 01-Feb-2023,29.45,30.45,30.45,29.75, 30.15,30.1,30.09,91806,27.62,153, 83563, 91.02,2.21
AKG, EQ, 01-Feb-2024,23.45,24.1,24.4,22.8, 23.00,23.0,23.39,442782,103.57,702, 199152, 44.98,-1.92
AKG, EQ, 01-Mar-2021,91.5,91.55,96.05,91.55, 93.70,93.5,93.07,45510,42.36,139, 18345, 40.31,2.19
AKG, EQ, 01-Mar-2023,27.75,27.85,29.1,27.7, 28.55,28.9,28.6,95517,27.32,139, 80858, 84.65,4.14
AKG, EQ, 01-Mar-2024,23.35,23.9,23.9,23.35, 23.65,23.5,23.56,128436,30.26,710, 97868, 76.20,0.64
AKG, EQ, 01-Apr-2021,66.5,63.2,63.2,63.2, 63.20,63.2,63.2,2122,1.34,17, 2122, 100.00,-4.96
AKG, EQ, 01-Apr-2022,37.5,38.0,39.9,37.7, 39.00,39.1,39.07,17745,6.93,130, 15221, 85.78,4.27
AKG, EQ, 01-Apr-2024,17.9,18.2,19.75,18.2, 19.60,19.6,19.24,80186,15.43,496, 66535, 82.98,9.5
AKG, EQ, 01-Apr-2025,12.46,12.98,12.98,12.56,12.94,12.86,12.87,57476,7.4,364, 46188, 80.36,3.21
AKG, EQ, 01-Jun-2021,27.15,26.65,28.25,26.5, 26.70,26.95,27.06,5904,1.6,83, 3423, 57.98,-0.74
AKG, EQ, 01-Jun-2022,33.9,34.55,34.55,32.5,32.6,32.8,33.17,5803,1.92,107, 3425, 59.02,-3.24
AKG, EQ, 01-Jun-2023,27.85,27.8,28.25,27.15, 28.15,27.85,28.03,79190,22.2,224, 47298, 59.73,0.0
AKG, EQ, 01-Jul-2021,27.7,26.5,28.4,26.5, 26.65,26.9,26.97,22051,5.95,143, 17687, 80.21,-2.89
AKG, EQ, 01-Jul-2022,35.65,36.65,36.65,31.55,32.2,33.0,34.01,85132,28.95,529, 50841, 59.72,-7.43
AKG, EQ, 01-Jul-2024,22.65,22.37,22.37,21.9,22.1,22.04,22.17,30741,6.81,257, 19291, 62.75,-2.69
AKG, EQ, 01-Aug-2022,43.8,43.7,44.3,40.5, 41.40,41.4,42.23,47836,20.2,406, 36256, 75.79,-5.48
AKG, EQ, 01-Aug-2024,22.84,23.15,23.3,22.5,22.6,22.62,22.78,44137,10.06,278, 31310, 70.94,-0.96
AKG, EQ, 01-Sep-2021,25.25,26.8,26.8,24.5,25.95,25.65,25.38,14886,3.78,178, 7003, 47.04,1.58
AKG, EQ, 01-Sep-2022,47.0,48.65,51.7,47.1,51.7,51.7,49.72,209865,104.36,562, 142078, 67.70,10.0
AKG, EQ, 01-Oct-2021,24.9,24.9,25.45,24.3, 24.35,24.55,24.66,8131,2.0,81, 6715, 82.59,-1.41
AKG, EQ, 01-Oct-2024,20.1,20.69,20.69,19.95,20.25,20.05,20.07,229864,46.14,798, 183472, 79.82,-0.25
AKG, EQ, 01-Nov-2021,40.2,38.25,42.5,38.0, 42.00,40.95,40.53,70882,28.73,380, 22453, 31.68,1.87
AKG, EQ, 01-Nov-2023,24.35,24.3,24.95,23.6, 24.95,24.65,24.21,424486,102.76,1238, 303871, 71.59,1.23
AKG, EQ, 01-Dec-2021,35.2,35.55,36.25,34.1,35.1,35.05,35.48,20935,7.43,166, 13794, 65.89,-0.43
AKG, EQ, 01-Dec-2023,28.9,28.9,28.95,28.0, 28.05,28.15,28.4,184362,52.35,643, 30591, 16.59,-2.6
AKG, EQ, 02-Jan-2023,37.45,36.05,39.3,35.6, 39.30,38.65,37.66,224566,84.57,907, 115504, 51.43,3.2
AKG, EQ, 02-Jan-2024,24.85,25.0,25.5,23.8, 24.30,24.3,24.48,317616,77.75,810, 219459, 69.10,-2.21
AKG, EQ, 02-Jan-2025,18.45,19.0,19.0,18.16,18.4,18.26,18.49,50917,9.41,298, 33586, 65.96,-1.03
AKG, EQ, 02-Feb-2022,45.8,46.45,46.95,44.5, 45.20,44.9,45.25,13033,5.9,222, 10010, 76.81,-1.97
AKG, EQ, 02-Feb-2023,30.1,29.95,29.95,28.75, 29.10,29.05,29.26,29027,8.49,182, 22388, 77.13,-3.49
AKG, EQ, 02-Feb-2024,23.0,23.45,23.6,22.8, 23.00,22.85,23.04,280407,64.61,562, 196928, 70.23,-0.65
