SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AMIORG, EQ, 01-Jan-2024,1122.0,1134.8,1156.8,1125.15, 1145.00,1144.35,1144.98,225250,2579.06,16726, 103167, 45.80,1.99
AMIORG, EQ, 01-Jan-2025,2148.85,2170.35,2170.35,2075.0,2082.95,2085.25,2103.12,145554,3061.18,22241, 65839, 45.23,-2.96
AMIORG, EQ, 01-Feb-2022,992.65,999.9,1013.0,977.0,996.2,998.7,997.68,80065,798.79,5669, 27079, 33.82,0.61
AMIORG, EQ, 01-Feb-2023,893.7,904.0,904.0,847.35, 868.80,865.7,870.94,29765,259.23,3603, 16350, 54.93,-3.13
AMIORG, EQ, 01-Feb-2024,1163.35,1166.0,1166.75,1125.0, 1136.00,1137.85,1142.5,112977,1290.76,12641, 55395, 49.03,-2.19
AMIORG, EQ, 01-Mar-2023,907.3,910.2,918.95,904.45, 907.15,907.1,910.77,39755,362.08,3254, 26340, 66.26,-0.02
AMIORG, EQ, 01-Mar-2024,1114.9,1117.95,1121.95,1109.9, 1120.00,1118.35,1115.41,62874,701.3,6029, 32563, 51.79,0.31
AMIORG, EQ, 01-Apr-2022,1002.25,1001.8,1034.45,992.15, 1012.90,1011.95,1015.07,228841,2322.89,16487, 79777, 34.86,0.97
AMIORG, EQ, 01-Apr-2024,1093.7,1094.0,1133.7,1094.0, 1121.00,1113.95,1121.49,69213,776.21,8711, 39334, 56.83,1.85
AMIORG, EQ, 01-Apr-2025,2440.8,2441.0,2553.65,2440.9,2529.0,2527.65,2503.03,224049,5608.01,25627, 81525, 36.39,3.56
AMIORG, EQ, 01-Jun-2022,870.15,875.95,963.8,872.2,919.0,919.95,906.37,558273,5060.03,23037, 304527, 54.55,5.72
AMIORG, EQ, 01-Jun-2023,1216.55,1207.0,1225.05,1205.0, 1210.00,1209.2,1213.84,48005,582.7,2977, 23617, 49.20,-0.6
AMIORG, EQ, 01-Jul-2022,878.25,882.9,882.9,862.0,869.0,869.1,868.91,22597,196.35,2304, 5936, 26.27,-1.04
AMIORG, EQ, 01-Jul-2024,1292.45,1330.0,1330.0,1285.0,1313.0,1317.9,1310.94,127271,1668.44,12556, 62178, 48.85,1.97
AMIORG, EQ, 01-Aug-2022,1038.85,1031.0,1058.0,1031.0, 1040.00,1041.35,1042.57,60301,628.68,4571, 26438, 43.84,0.24
AMIORG, EQ, 01-Aug-2023,1143.9,1150.0,1166.0,1134.05, 1163.00,1153.25,1150.95,83775,964.21,7478, 45760, 54.62,0.82
AMIORG, EQ, 01-Aug-2024,1337.95,1347.95,1365.0,1340.0,1350.0,1350.15,1351.51,195159,2637.6,13069, 108599, 55.65,0.91
