SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ANGELBRKG, EQ, 01-Jan-2021,338.05,338.0,341.2,334.7, 338.00,336.65,337.33,125610,423.73,6175, 64062, 51.00,-0.41
ANGELBRKG, EQ, 01-Feb-2021,342.5,342.3,342.3,320.85, 338.00,335.15,329.08,378960,1247.08,11517, 122268, 32.26,-2.15
ANGELBRKG, EQ, 01-Mar-2021,330.8,334.75,334.75,326.65, 328.60,327.95,328.82,31062,102.14,1273, 15830, 50.96,-0.86
ANGELBRKG, EQ, 01-Apr-2021,291.2,291.3,301.5,291.3, 294.15,294.55,297.89,192526,573.51,2910, 126235, 65.57,1.15
ANGELBRKG, EQ, 01-Jun-2021,757.1,760.0,794.95,737.55, 740.00,746.15,775.88,1004113,7790.7,36174, 252013, 25.10,-1.45
ANGELBRKG, EQ, 01-Jul-2021,858.1,862.9,892.25,852.1, 879.00,875.05,873.02,311624,2720.54,13747, 138538, 44.46,1.98
ANGELBRKG, EQ, 01-Sep-2021,1207.4,1210.0,1221.05,1160.2,1179.0,1179.9,1186.6,148542,1762.59,11231, 68494, 46.11,-2.28
ANGELBRKG, EQ, 01-Oct-2021,1322.75,1310.0,1455.0,1308.0, 1455.00,1439.25,1393.91,1946393,27131.02,90228, 495087, 25.44,8.81
ANGELBRKG, EQ, 01-Nov-2021,1243.5,1243.5,1270.0,1211.0, 1215.00,1229.95,1237.74,326765,4044.49,23376, 148921, 45.57,-1.09
ANGELBRKG, EQ, 01-Dec-2020,357.8,353.1,356.9,350.25,350.95,350.55,352.02,153972,542.01,3224, 82362, 53.49,-2.03
ANGELBRKG, EQ, 02-Feb-2021,335.15,342.0,359.0,336.15, 339.00,338.5,342.2,500237,1711.8,12610, 272717, 54.52,1.0
ANGELBRKG, EQ, 02-Mar-2021,327.95,329.9,330.85,323.4,324.05,324.2,325.61,54875,178.68,1810, 36455, 66.43,-1.14
ANGELBRKG, EQ, 02-Jun-2021,746.15,746.0,770.0,737.7, 759.00,757.5,755.15,642375,4850.88,21708, 181498, 28.25,1.52
ANGELBRKG, EQ, 02-Jul-2021,875.05,880.4,906.0,866.75,875.0,877.05,886.09,288767,2558.74,11551, 105186, 36.43,0.23
ANGELBRKG, EQ, 02-Aug-2021,1187.25,1204.0,1305.95,1198.2,1305.95,1305.95,1295.28,1032947,13379.59,18688, 458361, 44.37,10.0
ANGELBRKG, EQ, 02-Sep-2021,1179.9,1189.8,1189.8,1155.05, 1162.00,1159.4,1163.83,132961,1547.44,10940, 73304, 55.13,-1.74
ANGELBRKG, EQ, 02-Nov-2020,353.35,353.65,354.0,314.3, 314.30,315.9,336.32,933339,3139.03,23676, 375715, 40.25,-10.6
ANGELBRKG, EQ, 02-Nov-2021,1229.95,1236.8,1261.9,1225.0, 1232.80,1231.0,1240.55,311803,3868.07,26669, 148490, 47.62,0.09
ANGELBRKG, EQ, 02-Dec-2020,350.55,351.45,353.95,348.75, 349.15,350.25,350.51,119345,418.31,3533, 64316, 53.89,-0.09
ANGELBRKG, EQ, 03-Feb-2021,338.5,343.5,356.0,343.05, 345.00,347.15,347.85,169887,590.96,4785, 59381, 34.95,2.56
ANGELBRKG, EQ, 03-Mar-2021,324.2,329.5,329.5,325.0,327.0,325.75,326.96,51978,169.95,1743, 19048, 36.65,0.48
ANGELBRKG, EQ, 03-May-2021,370.3,371.0,383.75,371.0,379.4,380.95,376.94,493969,1861.97,10115, 278213, 56.32,2.88
ANGELBRKG, EQ, 03-Jun-2021,757.5,763.0,795.35,761.3, 795.35,795.35,783.42,590878,4629.05,15421, 307520, 52.04,5.0
ANGELBRKG, EQ, 03-Aug-2021,1305.95,1351.0,1395.95,1311.1,1321.0,1320.1,1344.74,717973,9654.85,45948, 315714, 43.97,1.08
ANGELBRKG, EQ, 03-Sep-2021,1159.4,1168.75,1260.0,1168.75, 1234.00,1234.0,1233.49,569454,7024.15,32759, 214216, 37.62,6.43
ANGELBRKG, EQ, 03-Nov-2020,315.9,312.5,328.9,296.5,297.0,298.9,308.16,848752,2615.5,21871, 253879, 29.91,-5.38
ANGELBRKG, EQ, 03-Nov-2021,1231.0,1241.6,1244.95,1215.2, 1233.00,1225.15,1230.09,226161,2781.97,13174, 110268, 48.76,-0.48
ANGELBRKG, EQ, 03-Dec-2020,350.25,351.65,353.1,347.5,348.6,348.9,348.65,119037,415.02,2451, 84538, 71.02,-0.39
ANGELBRKG, EQ, 04-Jan-2021,336.65,342.0,356.7,336.95,347.0,345.0,346.74,644292,2233.99,35172, 210803, 32.72,2.48
ANGELBRKG, EQ, 04-Feb-2021,347.15,350.0,360.0,348.0, 349.05,348.9,352.67,132227,466.33,4109, 58835, 44.50,0.5
ANGELBRKG, EQ, 04-Mar-2021,325.75,330.0,346.35,328.0, 340.20,335.95,337.15,303488,1023.2,8336, 103224, 34.01,3.13
ANGELBRKG, EQ, 04-May-2021,380.95,384.6,457.1,384.05, 424.65,428.05,432.51,5032797,21767.11,108117, 831344, 16.52,12.36
ANGELBRKG, EQ, 04-Jun-2021,795.35,835.1,835.1,804.0, 808.00,812.35,824.56,1142004,9416.48,30602, 412345, 36.11,2.14
ANGELBRKG, EQ, 04-Aug-2021,1320.1,1335.0,1356.0,1249.65,1280.0,1273.55,1305.4,367764,4800.78,23131, 155130, 42.18,-3.53
ANGELBRKG, EQ, 04-Oct-2021,1439.25,1460.0,1492.75,1375.0, 1382.95,1384.7,1423.32,1259131,17921.52,72679, 378643, 30.07,-3.79
ANGELBRKG, EQ, 04-Nov-2020,298.9,299.05,322.8,290.65,308.5,309.7,311.02,768906,2391.44,20793, 197383, 25.67,3.61
ANGELBRKG, EQ, 04-Dec-2020,348.9,349.1,352.0,347.15, 347.20,347.85,348.78,126982,442.89,4425, 83025, 65.38,-0.3
ANGELBRKG, EQ, 05-Jan-2021,345.0,344.95,357.7,339.3, 355.20,354.35,351.59,843235,2964.74,30070, 530808, 62.95,2.71
ANGELBRKG, EQ, 05-Feb-2021,348.9,344.0,353.1,337.15, 338.90,339.2,342.95,176012,603.64,5026, 84915, 48.24,-2.78
ANGELBRKG, EQ, 05-Mar-2021,335.95,342.0,342.7,327.6,332.5,329.35,335.26,119155,399.48,3640, 54167, 45.46,-1.96
ANGELBRKG, EQ, 05-Apr-2021,294.55,300.5,303.0,286.6,294.95,291.85,292.67,460068,1346.48,5099, 341095, 74.14,-0.92
ANGELBRKG, EQ, 05-May-2021,428.05,434.3,460.0,406.65, 426.90,426.85,430.07,2979183,12812.61,62128, 346842, 11.64,-0.28
