SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ANIKINDS, EQ, 01-Jan-2020,7.6,7.4,7.95,7.4, 7.95,7.95,7.66,1500,0.11,23, 1400, 93.33,4.61
ANIKINDS, EQ, 01-Feb-2022,37.75,38.25,38.3,35.9,35.9,35.9,36.66,38724,14.2,443, 26634, 68.78,-4.9
ANIKINDS, EQ, 01-Feb-2023,37.15,37.55,37.75,35.3, 36.65,36.45,36.76,32207,11.84,514, 18207, 56.53,-1.88
ANIKINDS, EQ, 01-Mar-2021,17.25,17.25,17.9,16.65, 17.25,17.15,17.28,27997,4.84,143, 18450, 65.90,-0.58
ANIKINDS, EQ, 01-Mar-2023,32.95,32.2,34.8,32.2, 33.75,33.75,33.64,21119,7.1,297, 12431, 58.86,2.43
ANIKINDS, EQ, 01-Apr-2020,6.55,6.55,6.65,6.25,6.6,6.6,6.5,689,0.04,21, 679, 98.55,0.76
ANIKINDS, EQ, 01-Apr-2021,14.3,14.7,15.0,14.15, 15.00,15.0,14.55,33762,4.91,140, 19575, 57.98,4.9
ANIKINDS, EQ, 01-Apr-2022,28.65,28.7,29.95,28.7, 29.65,29.55,29.41,27964,8.22,305, 17784, 63.60,3.14
ANIKINDS, EQ, 01-Apr-2024,42.45,44.0,44.55,42.1, 44.55,44.55,44.27,6837,3.03,126, 6483, 94.82,4.95
ANIKINDS, EQ, 01-Apr-2025,122.02,126.0,128.12,122.23,128.12,127.73,126.29,53438,67.49,743, 34490, 64.54,4.68
ANIKINDS, EQ, 01-Jun-2020,9.9,9.5,10.35,9.45, 10.15,10.15,10.15,6396,0.65,47, 5225, 81.69,2.53
ANIKINDS, EQ, 01-Jun-2021,16.85,17.65,17.65,16.8, 17.40,17.25,17.38,305606,53.12,701, 150471, 49.24,2.37
ANIKINDS, EQ, 01-Jun-2022,28.5,28.15,29.2,27.8,28.05,28.4,28.23,39852,11.25,230, 19410, 48.71,-0.35
ANIKINDS, EQ, 01-Jun-2023,31.7,32.4,32.8,31.15, 31.45,31.3,31.85,30435,9.69,348, 19100, 62.76,-1.26
ANIKINDS, EQ, 01-Jul-2020,13.55,14.2,14.2,14.2, 14.20,14.2,14.2,8412,1.19,48, 8392, 99.76,4.8
ANIKINDS, EQ, 01-Jul-2021,23.6,24.75,24.75,23.5, 24.75,24.75,24.36,245216,59.73,698, 142222, 58.00,4.87
ANIKINDS, EQ, 01-Jul-2022,28.2,28.6,31.0,27.75,30.9,30.1,29.71,38493,11.44,457, 26116, 67.85,6.74
ANIKINDS, EQ, 01-Jul-2024,50.25,50.0,53.51,49.81,50.75,51.25,51.96,31338,16.28,1239, 13399, 42.76,1.99
ANIKINDS, EQ, 01-Aug-2022,28.5,29.1,29.5,28.25, 29.00,29.1,28.99,27838,8.07,256, 14789, 53.13,2.11
ANIKINDS, EQ, 01-Aug-2023,30.15,30.4,32.0,30.25, 31.10,31.15,30.96,54294,16.81,593, 25422, 46.82,3.32
ANIKINDS, EQ, 01-Sep-2020,14.25,13.55,13.55,13.55, 13.55,13.55,13.55,2336,0.32,27, 2336, 100.00,-4.91
ANIKINDS, EQ, 01-Sep-2021,18.9,19.3,19.3,18.3,18.95,18.8,18.85,11805,2.23,73, 10315, 87.38,-0.53
ANIKINDS, EQ, 01-Sep-2022,46.45,46.5,47.9,43.65,45.4,45.2,45.78,258392,118.3,1818, 151604, 58.67,-2.69
ANIKINDS, EQ, 01-Oct-2020,12.7,12.6,13.05,12.3, 12.60,12.45,12.56,3360,0.42,21, 3320, 98.81,-1.97
ANIKINDS, EQ, 01-Oct-2021,17.7,18.15,18.15,17.5, 17.90,17.8,17.84,4604,0.82,55, 2779, 60.36,0.56
ANIKINDS, EQ, 01-Nov-2021,19.45,18.8,20.4,18.8, 20.40,20.4,20.09,53823,10.81,74, 42428, 78.83,4.88
ANIKINDS, EQ, 01-Nov-2022,41.55,41.4,42.35,41.25,41.25,41.4,41.79,42990,17.96,418, 27430, 63.81,-0.36
ANIKINDS, EQ, 01-Dec-2020,11.7,11.7,12.75,11.1,12.75,12.55,12.0,44001,5.28,319, 30403, 69.10,7.26
ANIKINDS, EQ, 01-Dec-2021,20.3,20.9,20.9,19.65,20.35,20.2,20.19,19053,3.85,108, 16930, 88.86,-0.49
