SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ANUP, EQ, 01-Jan-2020,482.85,483.1,502.0,477.8, 501.90,499.15,492.62,8497,41.86,542, 5688, 66.94,3.38
ANUP, EQ, 01-Jan-2021,742.35,740.0,740.05,718.3, 718.50,721.95,728.98,11091,80.85,1367, 7613, 68.64,-2.75
ANUP, EQ, 01-Jan-2024,2720.1,2702.0,2725.0,2645.05, 2680.00,2699.25,2673.47,22279,595.62,5089, 12805, 57.48,-0.77
ANUP, EQ, 01-Jan-2025,3498.65,3529.0,3549.95,3480.0,3498.1,3491.75,3509.45,17299,607.1,4086, 7288, 42.13,-0.2
ANUP, EQ, 01-Feb-2021,708.85,667.0,668.8,570.4, 602.00,595.15,591.76,311432,1842.93,11971, 139355, 44.75,-16.04
ANUP, EQ, 01-Feb-2022,919.65,924.1,977.0,920.2,926.0,926.8,945.82,73470,694.9,5598, 34912, 47.52,0.78
ANUP, EQ, 01-Feb-2023,1050.45,1050.0,1119.1,1050.0, 1090.10,1086.25,1089.64,148537,1618.52,16270, 54655, 36.80,3.41
ANUP, EQ, 01-Feb-2024,2942.7,2950.0,2974.95,2890.0, 2967.00,2944.7,2925.52,7396,216.37,2741, 3084, 41.70,0.07
ANUP, EQ, 01-Mar-2021,650.8,650.8,654.85,637.4, 641.45,639.65,644.3,56192,362.05,1957, 38956, 69.33,-1.71
ANUP, EQ, 01-Mar-2023,1168.2,1178.9,1181.25,1105.0, 1119.90,1111.7,1128.88,34292,387.12,4871, 17066, 49.77,-4.84
ANUP, EQ, 01-Mar-2024,2814.55,2785.05,2866.9,2720.0, 2774.00,2779.1,2778.58,12714,353.27,3164, 6806, 53.53,-1.26
ANUP, EQ, 01-Apr-2020,325.95,320.0,329.95,309.7,312.0,314.85,313.43,6439,20.18,196, 5834, 90.60,-3.41
ANUP, EQ, 01-Apr-2021,570.25,585.0,609.0,573.0, 589.00,583.65,586.84,32645,191.57,2155, 18097, 55.44,2.35
ANUP, EQ, 01-Apr-2022,794.35,804.7,834.0,802.95, 829.70,824.7,819.59,13196,108.15,1452, 8941, 67.76,3.82
ANUP, EQ, 01-Apr-2024,3158.55,3248.0,3258.55,3150.0, 3152.30,3160.1,3171.76,12052,382.26,2574, 7474, 62.01,0.05
ANUP, EQ, 01-Apr-2025,3475.5,3504.15,3546.6,3375.0,3405.0,3393.05,3434.43,45385,1558.72,12313, 20846, 45.93,-2.37
ANUP, EQ, 01-Jun-2020,295.1,309.0,309.5,295.0, 303.30,306.55,303.32,17839,54.11,474, 15486, 86.81,3.88
ANUP, EQ, 01-Jun-2021,793.25,798.0,845.0,786.55, 843.55,838.0,821.05,229670,1885.72,12568, 92236, 40.16,5.64
ANUP, EQ, 01-Jun-2022,768.3,756.0,775.95,743.0,745.05,746.9,751.48,18202,136.78,1895, 13573, 74.57,-2.79
ANUP, EQ, 01-Jun-2023,1548.8,1556.75,1556.75,1501.2, 1548.90,1544.1,1535.4,24435,375.18,4958, 11987, 49.06,-0.3
ANUP, EQ, 01-Jul-2020,383.1,394.0,394.0,375.0, 390.00,384.7,380.19,91487,347.82,472, 89253, 97.56,0.42
ANUP, EQ, 01-Jul-2021,865.0,870.0,879.9,859.85, 865.00,866.45,867.8,16210,140.67,1348, 9243, 57.02,0.17
ANUP, EQ, 01-Jul-2022,747.4,753.0,763.2,720.35,763.0,759.0,743.12,17205,127.85,2236, 9505, 55.25,1.55
ANUP, EQ, 01-Jul-2024,1819.55,1823.2,1835.7,1797.15,1825.0,1819.2,1817.36,20176,366.67,4227, 11531, 57.15,-0.02
ANUP, EQ, 01-Aug-2022,868.45,860.0,874.45,857.0, 859.50,859.4,865.33,7475,64.68,983, 5372, 71.87,-1.04
ANUP, EQ, 01-Aug-2023,2095.3,2129.0,2299.0,2115.55, 2235.00,2239.3,2229.24,177619,3959.56,21255, 49454, 27.84,6.87
ANUP, EQ, 01-Aug-2024,1789.7,1807.95,1820.95,1765.2,1775.15,1789.35,1788.71,36566,654.06,5273, 17108, 46.79,-0.02
ANUP, EQ, 01-Sep-2020,553.9,559.9,559.9,532.0, 544.10,547.7,541.08,8497,45.98,987, 3930, 46.25,-1.12
