SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AONELIQUID, EQ, 01-Apr-2025,1001.5,1000.0,1001.51,1000.0,1001.49,1001.49,1001.49,437,4.38,102, 325, 74.37,-0.0
AONELIQUID, EQ, 02-Apr-2025,1001.49,1001.65,1001.67,1001.65,1001.66,1001.66,1001.67,21320,213.56,72, 21299, 99.90,0.02
AONELIQUID, EQ, 03-Apr-2025,1001.66,1001.8,1001.82,1001.8,1001.82,1001.81,1001.82,35346,354.1,60, 35198, 99.58,0.01
AONELIQUID, EQ, 04-Apr-2025,1001.81,1002.25,1002.27,1002.25,1002.25,1002.26,1002.27,5382,53.94,57, 5130, 95.32,0.04
AONELIQUID, EQ, 07-Apr-2025,1002.26,1002.26,1002.42,1002.26,1002.4,1002.4,1002.4,895,8.97,86, 714, 79.78,0.01
AONELIQUID, EQ, 08-Apr-2025,1002.4,1002.56,1002.58,1002.56,1002.57,1002.57,1002.58,81836,820.47,73, 81718, 99.86,0.02
AONELIQUID, EQ, 09-Apr-2025,1002.57,1002.85,1002.87,1002.85,1002.87,1002.86,1002.87,533963,5354.95,175, 527796, 98.85,0.03
AONELIQUID, EQ, 11-Apr-2025,1002.86,1002.86,1003.45,1002.86,1003.44,1003.43,1003.44,3131,31.42,43, 3035, 96.93,0.06
AONELIQUID, EQ, 15-Apr-2025,1003.43,1003.57,1003.59,1003.57,1003.59,1003.58,1003.57,45657,458.2,103, 45015, 98.59,0.01
AONELIQUID, EQ, 16-Apr-2025,1003.58,1003.58,1003.73,1003.58,1003.72,1003.72,1003.71,549,5.51,42, 461, 83.97,0.01
AONELIQUID, EQ, 17-Apr-2025,1003.72,1004.31,1004.33,1004.31,1004.31,1004.31,1004.33,565,5.67,50, 528, 93.45,0.06
AONELIQUID, EQ, 21-Apr-2025,1004.31,1004.46,1004.48,1004.46,1004.47,1004.47,1004.48,7821,78.56,716, 7768, 99.32,0.02
AONELIQUID, EQ, 22-Apr-2025,1004.47,1004.6,1004.63,1004.6,1004.61,1004.62,1004.63,4382,44.02,282, 4313, 98.43,0.01
AONELIQUID, EQ, 23-Apr-2025,1004.62,1004.62,1004.78,1004.48,1004.76,1004.77,1004.77,1091,10.96,152, 834, 76.44,0.01
AONELIQUID, EQ, 24-Apr-2025,1004.77,1004.92,1004.94,1004.91,1004.93,1004.92,1004.93,52291,525.49,116, 52209, 99.84,0.01
AONELIQUID, EQ, 25-Apr-2025,1004.92,999.9,1009.94,999.9,1005.38,1005.37,1005.38,6021,60.53,173, 5436, 90.28,0.04
AONELIQUID, EQ, 28-Mar-2025,1000.0,1001.51,1001.51,1001.49,1001.51,1001.5,1001.51,1269,12.71,117, 1053, 82.98,0.15
