SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
APARINDS, EQ, 01-Jan-2020,389.8,392.0,392.0,389.0, 390.00,389.85,389.85,10997,42.87,222, 8788, 79.91,0.01
APARINDS, EQ, 01-Jan-2021,349.0,350.7,355.15,346.25, 347.85,347.9,350.52,21542,75.51,751, 14951, 69.40,-0.32
APARINDS, EQ, 01-Jan-2024,6053.4,6053.4,6133.0,6000.05, 6041.95,6058.25,6065.01,70761,4291.66,15424, 23838, 33.69,0.08
APARINDS, EQ, 01-Jan-2025,10317.6,10318.0,10509.75,10300.55,10406.0,10406.3,10412.26,55008,5727.57,12784, 23338, 42.43,0.86
APARINDS, EQ, 01-Feb-2021,363.7,369.8,369.8,362.0, 367.90,367.35,366.5,53608,196.48,2177, 27042, 50.44,1.0
APARINDS, EQ, 01-Feb-2022,698.6,701.0,709.95,675.45,697.0,694.55,689.18,298782,2059.16,17326, 95178, 31.86,-0.58
APARINDS, EQ, 01-Feb-2023,1686.8,1770.0,1999.9,1748.95, 1950.00,1946.15,1907.79,1735259,33105.17,106234, 264776, 15.26,15.38
APARINDS, EQ, 01-Feb-2024,6321.3,6350.0,6401.0,6185.4, 6300.00,6301.95,6285.62,139425,8763.72,27122, 48718, 34.94,-0.31
APARINDS, EQ, 01-Mar-2021,461.65,465.9,479.05,465.0, 474.70,475.0,470.67,51419,242.01,3565, 25380, 49.36,2.89
APARINDS, EQ, 01-Mar-2023,2299.7,2320.0,2384.35,2309.0, 2342.00,2368.5,2351.36,117767,2769.12,13552, 43470, 36.91,2.99
APARINDS, EQ, 01-Mar-2024,6253.65,6260.05,6520.0,6250.05, 6273.10,6302.45,6348.89,128952,8187.02,32207, 48147, 37.34,0.78
APARINDS, EQ, 01-Apr-2020,288.2,297.5,308.8,282.0,291.45,295.15,296.84,15837,47.01,713, 8952, 56.53,2.41
APARINDS, EQ, 01-Apr-2021,475.3,480.0,489.3,478.0, 482.90,483.15,485.11,71352,346.13,3112, 36854, 51.65,1.65
APARINDS, EQ, 01-Apr-2022,649.25,652.5,682.65,650.5, 676.50,676.55,674.14,32003,215.74,2997, 21721, 67.87,4.2
APARINDS, EQ, 01-Apr-2024,6978.9,7060.0,7144.95,6915.0, 6954.00,6950.1,6990.18,97099,6787.4,20077, 36659, 37.75,-0.41
APARINDS, EQ, 01-Apr-2025,5539.95,5535.0,5576.25,5440.1,5479.5,5483.3,5507.99,93647,5158.06,15185, 35046, 37.42,-1.02
APARINDS, EQ, 01-Jun-2020,309.65,318.9,322.3,310.25, 320.00,319.45,318.51,18103,57.66,836, 10288, 56.83,3.16
APARINDS, EQ, 01-Jun-2021,533.75,535.0,546.0,515.3, 522.85,523.95,527.43,164575,868.02,7447, 68091, 41.37,-1.84
APARINDS, EQ, 01-Jun-2022,723.55,720.0,739.5,710.05,726.0,719.6,726.97,62865,457.01,6955, 19667, 31.28,-0.55
APARINDS, EQ, 01-Jun-2023,2779.35,2789.0,2789.0,2712.0, 2724.00,2719.0,2725.04,75540,2058.49,9708, 44005, 58.25,-2.17
APARINDS, EQ, 01-Jul-2020,321.85,320.0,332.45,315.0, 329.00,328.3,321.45,21556,69.29,1815, 8795, 40.80,2.0
APARINDS, EQ, 01-Jul-2021,516.5,520.0,534.0,515.05, 527.00,529.05,529.43,84329,446.47,3819, 48160, 57.11,2.43
APARINDS, EQ, 01-Jul-2022,926.0,928.0,987.0,906.15,974.0,971.1,961.54,446492,4293.19,27551, 105472, 23.62,4.87
APARINDS, EQ, 01-Jul-2024,8473.45,8500.0,8599.0,8437.0,8490.0,8480.7,8497.03,52307,4444.54,16496, 30184, 57.71,0.09
APARINDS, EQ, 01-Aug-2022,1123.6,1136.0,1250.0,1120.6, 1240.00,1227.4,1182.76,836315,9891.58,38805, 222422, 26.60,9.24
APARINDS, EQ, 01-Aug-2023,3782.3,3801.95,3965.0,3700.0, 3729.00,3711.95,3817.95,128474,4905.07,21279, 52082, 40.54,-1.86
APARINDS, EQ, 01-Aug-2024,9229.4,9299.85,9329.95,8730.0,8829.8,8807.3,9013.24,176948,15948.75,32597, 51528, 29.12,-4.57
APARINDS, EQ, 01-Sep-2020,321.45,327.0,328.9,318.0, 320.00,319.7,320.8,38779,124.4,1785, 27997, 72.20,-0.54
APARINDS, EQ, 01-Sep-2021,656.85,660.0,661.05,640.2,643.75,643.5,647.59,61219,396.45,5175, 27937, 45.63,-2.03
APARINDS, EQ, 01-Sep-2022,1335.1,1330.0,1335.0,1301.0,1309.8,1306.45,1312.11,68854,903.44,6198, 33473, 48.61,-2.15
APARINDS, EQ, 01-Sep-2023,5008.45,5010.95,5034.9,4900.0, 4967.00,4957.4,4951.24,106316,5263.96,23521, 45731, 43.01,-1.02
APARINDS, EQ, 01-Oct-2020,292.8,294.3,295.7,286.85, 289.80,289.15,290.06,26347,76.42,764, 19785, 75.09,-1.25
APARINDS, EQ, 01-Oct-2021,644.55,644.55,647.8,637.0, 639.00,639.95,641.27,19307,123.81,2952, 8525, 44.15,-0.71
APARINDS, EQ, 01-Oct-2024,9528.6,9500.0,9711.0,9430.0,9663.6,9671.8,9555.78,130755,12494.66,18647, 76730, 58.68,1.5
APARINDS, EQ, 01-Nov-2021,676.85,678.1,694.7,671.55, 680.40,681.05,685.25,110655,758.27,7076, 32523, 29.39,0.62
APARINDS, EQ, 01-Nov-2022,1502.85,1510.0,1519.3,1380.0,1421.0,1421.25,1444.85,118345,1709.91,12832, 69655, 58.86,-5.43
APARINDS, EQ, 01-Nov-2023,5179.45,5187.9,5198.7,5011.0, 5049.95,5054.1,5110.85,81855,4183.48,15010, 27763, 33.92,-2.42
APARINDS, EQ, 01-Dec-2020,349.0,352.0,356.25,350.6,355.55,354.9,354.49,34986,124.02,2699, 24130, 68.97,1.69
APARINDS, EQ, 01-Dec-2021,677.5,684.0,690.0,666.6,669.1,670.3,677.94,19523,132.35,3189, 11153, 57.13,-1.06
APARINDS, EQ, 01-Dec-2022,1467.8,1489.0,1574.0,1479.95,1561.75,1558.75,1522.61,468013,7126.01,25582, 297570, 63.58,6.2
APARINDS, EQ, 01-Dec-2023,5581.4,5640.0,5680.8,5511.0, 5530.00,5531.0,5550.35,95447,5297.64,21101, 37629, 39.42,-0.9
APARINDS, EQ, 02-Jan-2020,389.85,395.0,406.45,392.0, 397.00,397.3,398.12,64618,257.25,2050, 39509, 61.14,1.91
APARINDS, EQ, 02-Jan-2023,1793.1,1800.0,1835.0,1796.05, 1829.95,1824.2,1817.79,85504,1554.29,11623, 29949, 35.03,1.73
APARINDS, EQ, 02-Jan-2024,6058.25,6058.0,6077.1,5885.95, 6000.00,6028.9,5989.72,89835,5380.86,16033, 28688, 31.93,-0.48
APARINDS, EQ, 02-Jan-2025,10406.3,10487.1,10566.05,10340.05,10510.0,10519.85,10502.79,60707,6375.93,12524, 32204, 53.05,1.09
APARINDS, EQ, 02-Feb-2021,367.35,367.0,384.0,367.0, 372.00,373.0,376.05,102017,383.63,2579, 65632, 64.33,1.54
APARINDS, EQ, 02-Feb-2022,694.55,698.05,720.4,691.2, 697.00,699.5,701.98,128720,903.58,8371, 50167, 38.97,0.71
APARINDS, EQ, 02-Feb-2023,1946.15,1952.85,2047.95,1885.0, 2027.00,2015.95,1978.18,714320,14130.54,54244, 136666, 19.13,3.59
APARINDS, EQ, 02-Feb-2024,6301.95,6265.15,6419.9,6243.25, 6305.00,6323.5,6329.2,111350,7047.56,21569, 40352, 36.24,0.34
