SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ARCOTECH, EQ, 01-Apr-2020,0.85,0.85,0.9,0.8,0.9,0.9,0.89,52439,0.47,53, 48306, 92.12,5.88
ARCOTECH, EQ, 01-Dec-2020,1.95,1.9,2.0,1.9,1.95,1.95,1.97,82872,1.63,230, 72618, 87.63,0.0
ARCOTECH, EQ, 02-Dec-2020,1.95,2.0,2.0,1.9, 2.00,2.0,1.96,58122,1.14,261, 50645, 87.14,2.56
ARCOTECH, EQ, 03-Apr-2020,0.9,0.95,0.95,0.85, 0.90,0.9,0.86,130062,1.12,92, 108660, 83.54,0.0
ARCOTECH, EQ, 03-Dec-2020,2.0,2.0,2.05,1.95,2.0,1.95,1.99,56618,1.12,116, 55507, 98.04,-2.5
ARCOTECH, EQ, 04-Mar-2020,1.2,1.15,1.15,1.15, 1.15,1.15,1.15,31858,0.37,23, 31858, 100.00,-4.17
ARCOTECH, EQ, 04-May-2020,1.6,1.6,1.65,1.55, 1.65,1.65,1.61,161057,2.6,200, 112620, 69.93,3.12
ARCOTECH, EQ, 04-Dec-2020,1.95,2.0,2.0,1.95, 1.95,2.0,1.99,69620,1.38,203, 51415, 73.85,2.56
ARCOTECH, EQ, 05-Mar-2020,1.15,1.1,1.1,1.1, 1.10,1.1,1.1,9567,0.11,20, 9567, 100.00,-4.35
ARCOTECH, EQ, 05-May-2020,1.65,1.65,1.7,1.65, 1.70,1.7,1.7,30174,0.51,48, 28900, 95.78,3.03
ARCOTECH, EQ, 06-Mar-2020,1.1,1.05,1.05,1.05, 1.05,1.05,1.05,39294,0.41,35, 39294, 100.00,-4.55
