SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ARE&M, EQ, 01-Jan-2024,816.0,819.65,827.6,816.65, 825.10,825.05,822.77,527034,4336.3,21058, 284296, 53.94,1.11
ARE&M, EQ, 01-Jan-2025,1199.95,1202.8,1220.05,1195.6,1213.5,1210.5,1203.98,362201,4360.82,20720, 163187, 45.05,0.88
ARE&M, EQ, 01-Feb-2024,889.05,900.0,900.0,875.05, 880.50,880.3,886.42,843309,7475.25,38312, 365868, 43.38,-0.98
ARE&M, EQ, 01-Mar-2024,838.95,842.95,848.95,840.5, 846.75,846.3,844.2,205415,1734.12,17686, 119031, 57.95,0.88
ARE&M, EQ, 01-Apr-2024,760.4,773.0,798.4,768.3, 793.05,795.0,791.03,374397,2961.61,29328, 157837, 42.16,4.55
ARE&M, EQ, 01-Apr-2025,1003.3,1000.0,1029.75,993.75,1019.0,1014.75,1013.17,535316,5423.66,34174, 159943, 29.88,1.14
ARE&M, EQ, 01-Jul-2024,1663.15,1660.0,1729.8,1621.75,1707.0,1714.95,1688.36,3120622,52687.37,122804, 908381, 29.11,3.11
ARE&M, EQ, 01-Aug-2024,1626.3,1650.7,1666.0,1595.15,1608.5,1604.65,1624.17,791602,12856.97,59438, 399382, 50.45,-1.33
ARE&M, EQ, 01-Oct-2024,1425.95,1438.0,1444.0,1398.3,1417.0,1411.85,1419.56,805767,11438.36,53663, 322794, 40.06,-0.99
ARE&M, EQ, 01-Nov-2023,613.2,628.0,635.5,616.0, 618.40,617.9,623.75,676585,4220.18,25540, 311585, 46.05,0.77
ARE&M, EQ, 01-Dec-2023,710.05,716.2,799.45,716.0, 764.20,769.2,762.41,7991523,60928.5,169311, 2606327, 32.61,8.33
ARE&M, EQ, 02-Jan-2024,825.05,828.95,833.8,807.4, 814.90,815.5,817.81,579382,4738.27,26027, 264960, 45.73,-1.16
ARE&M, EQ, 02-Jan-2025,1210.5,1210.0,1218.55,1190.05,1199.95,1200.15,1201.56,441644,5306.62,37995, 250533, 56.73,-0.86
ARE&M, EQ, 02-Feb-2024,880.3,885.1,903.55,876.3, 892.45,895.3,889.95,785482,6990.36,35980, 350489, 44.62,1.7
ARE&M, EQ, 02-Apr-2024,795.0,795.0,803.9,788.3, 798.90,794.95,797.2,271242,2162.34,20145, 122447, 45.14,-0.01
ARE&M, EQ, 02-Apr-2025,1014.75,1015.3,1033.3,998.55,1025.0,1031.4,1019.13,443314,4517.93,30263, 156320, 35.26,1.64
ARE&M, EQ, 02-May-2024,1099.7,1091.0,1130.0,1091.0, 1109.50,1115.7,1110.24,846621,9399.5,34222, 322751, 38.12,1.45
ARE&M, EQ, 02-Jul-2024,1714.95,1717.0,1726.6,1672.2,1691.0,1680.95,1692.68,1651061,27947.2,73369, 720708, 43.65,-1.98
ARE&M, EQ, 02-Aug-2024,1604.65,1598.0,1621.95,1575.45,1613.0,1612.35,1603.6,679802,10901.31,54728, 306010, 45.01,0.48
ARE&M, EQ, 02-Sep-2024,1521.25,1528.25,1530.0,1500.0,1507.0,1503.85,1504.58,363096,5463.06,33826, 228765, 63.00,-1.14
ARE&M, EQ, 02-Nov-2023,617.9,621.0,625.1,617.1, 617.80,618.0,619.07,229449,1420.46,13422, 125518, 54.70,0.02
