SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ASAL, EQ, 01-Jan-2020,31.0,31.4,32.05,30.6, 31.35,31.15,31.19,11382,3.55,78, 8450, 74.24,0.48
ASAL, EQ, 01-Jan-2021,26.0,26.0,26.8,25.7, 26.40,26.7,26.73,3928,1.05,82, 3146, 80.09,2.69
ASAL, EQ, 01-Jan-2024,419.5,421.6,423.15,415.15, 421.00,418.55,418.65,23340,97.71,3160, 10210, 43.74,-0.23
ASAL, EQ, 01-Jan-2025,654.8,654.8,668.9,654.8,662.0,664.65,664.04,9274,61.58,1135, 4960, 53.48,1.5
ASAL, EQ, 01-Feb-2021,36.1,36.8,37.9,35.45, 36.20,36.25,36.72,16805,6.17,236, 12576, 74.83,0.42
ASAL, EQ, 01-Feb-2023,349.7,355.0,365.0,336.05, 339.90,340.2,350.66,34693,121.66,2201, 14835, 42.76,-2.72
ASAL, EQ, 01-Feb-2024,466.9,470.0,472.0,456.5, 460.00,458.9,461.27,39735,183.29,3517, 22224, 55.93,-1.71
ASAL, EQ, 01-Mar-2023,292.4,293.25,300.2,290.6, 298.00,296.55,296.1,24653,73.0,1598, 13036, 52.88,1.42
ASAL, EQ, 01-Mar-2024,575.35,579.3,632.85,579.3, 632.85,632.85,620.57,167196,1037.56,6049, 65892, 39.41,9.99
ASAL, EQ, 01-Apr-2020,13.0,12.35,13.6,12.35,13.05,13.0,13.03,4354,0.57,52, 3943, 90.56,0.0
ASAL, EQ, 01-Apr-2024,573.95,582.9,600.95,582.55, 593.90,594.55,592.93,32205,190.95,2333, 14627, 45.42,3.59
ASAL, EQ, 01-Apr-2025,472.85,473.45,499.0,473.0,488.0,492.05,491.15,30683,150.7,3056, 12591, 41.04,4.06
ASAL, EQ, 01-Jun-2020,14.0,14.0,14.7,14.0, 14.70,14.7,14.65,5734,0.84,38, 5524, 96.34,5.0
ASAL, EQ, 01-Jun-2021,38.7,39.85,40.0,38.3, 38.30,38.45,39.04,7920,3.09,130, 6045, 76.33,-0.65
ASAL, EQ, 01-Jun-2023,316.7,321.0,321.45,316.3, 319.00,319.3,319.24,12344,39.41,1200, 6694, 54.23,0.82
ASAL, EQ, 01-Jul-2022,462.0,469.0,485.1,444.0,485.1,485.1,471.54,121912,574.86,4664, 58545, 48.02,5.0
ASAL, EQ, 01-Jul-2024,1025.95,1032.6,1033.7,1013.85,1025.0,1025.0,1023.34,51736,529.44,6242, 23172, 44.79,-0.09
ASAL, EQ, 01-Aug-2022,453.35,461.9,476.0,455.25, 476.00,476.0,473.29,22503,106.5,466, 18793, 83.51,5.0
ASAL, EQ, 01-Aug-2023,409.8,413.7,428.0,401.75, 408.50,406.65,413.77,81748,338.25,5717, 31998, 39.14,-0.77
ASAL, EQ, 01-Aug-2024,1000.55,1007.8,1069.9,1004.0,1018.05,1011.45,1038.28,226789,2354.69,23515, 58928, 25.98,1.09
ASAL, EQ, 01-Sep-2020,21.35,21.2,21.45,20.6, 20.85,20.9,20.91,5766,1.21,87, 5090, 88.28,-2.11
ASAL, EQ, 01-Sep-2022,422.1,430.05,430.05,417.35,419.0,419.2,421.25,25448,107.2,2068, 15077, 59.25,-0.69
ASAL, EQ, 01-Sep-2023,413.25,416.0,416.0,403.15, 406.90,405.35,406.18,53824,218.62,4292, 23564, 43.78,-1.91
ASAL, EQ, 01-Oct-2020,21.2,20.6,21.15,20.55, 20.55,20.85,20.79,613,0.13,12, 561, 91.52,-1.65
ASAL, EQ, 01-Oct-2024,787.4,791.0,804.0,774.0,777.75,781.95,786.81,34202,269.11,2806, 14875, 43.49,-0.69
ASAL, EQ, 01-Nov-2021,91.15,92.3,95.7,91.3, 95.70,95.7,95.14,39398,37.48,383, 33342, 84.63,4.99
ASAL, EQ, 01-Nov-2022,371.15,374.45,442.8,374.45,410.8,408.35,421.63,254024,1071.05,11518, 59181, 23.30,10.02
ASAL, EQ, 01-Nov-2023,388.45,390.0,395.4,387.05, 391.95,388.0,389.41,9882,38.48,1176, 4462, 45.15,-0.12
ASAL, EQ, 01-Dec-2020,25.45,24.6,26.2,24.6,26.2,26.2,26.12,12497,3.26,81, 9824, 78.61,2.95
ASAL, EQ, 01-Dec-2022,391.0,395.9,399.35,391.25,392.5,395.25,396.5,31169,123.59,1612, 18860, 60.51,1.09
ASAL, EQ, 01-Dec-2023,428.15,430.95,439.7,420.3, 431.00,428.6,428.64,25542,109.48,3528, 11134, 43.59,0.11
ASAL, EQ, 02-Jan-2020,31.15,31.0,34.6,31.0, 34.50,33.85,33.16,28788,9.55,288, 22771, 79.10,8.67
ASAL, EQ, 02-Jan-2023,366.55,368.9,374.9,364.85, 374.40,372.1,371.16,13907,51.62,773, 5759, 41.41,1.51
ASAL, EQ, 02-Jan-2024,418.55,421.7,422.0,408.3, 414.10,413.35,413.76,29513,122.11,2661, 15004, 50.84,-1.24
ASAL, EQ, 02-Jan-2025,664.65,661.0,678.25,661.0,669.95,670.15,672.02,10068,67.66,1177, 4672, 46.40,0.83
ASAL, EQ, 02-Feb-2023,340.2,345.3,350.0,335.4, 340.00,340.1,341.98,11889,40.66,1116, 6414, 53.95,-0.03
ASAL, EQ, 02-Feb-2024,458.9,464.4,466.25,448.5, 451.00,450.1,453.97,46828,212.59,5137, 28916, 61.75,-1.92
ASAL, EQ, 02-Mar-2020,19.8,19.8,21.0,17.4, 19.00,18.5,18.78,16560,3.11,201, 8272, 49.95,-6.57
ASAL, EQ, 02-Mar-2023,296.55,296.85,325.95,292.1, 304.20,305.75,313.6,61809,193.83,4059, 18050, 29.20,3.1
