SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ASALCBR, EQ, 01-Jan-2021,321.4,323.0,330.0,321.6, 325.45,325.6,325.59,93027,302.89,3286, 55151, 59.28,1.31
ASALCBR, EQ, 01-Jan-2024,484.05,487.9,506.0,484.55, 497.90,499.65,496.24,96496,478.85,8062, 47186, 48.90,3.22
ASALCBR, EQ, 01-Jan-2025,1103.25,1111.0,1129.9,1105.5,1115.0,1121.75,1121.51,55256,619.7,4127, 25503, 46.15,1.68
ASALCBR, EQ, 01-Feb-2021,308.9,309.9,313.05,305.0, 311.50,310.0,309.52,62565,193.65,2522, 37028, 59.18,0.36
ASALCBR, EQ, 01-Feb-2022,493.8,498.45,502.1,489.0,495.6,494.75,494.74,20380,100.83,1713, 9669, 47.44,0.19
ASALCBR, EQ, 01-Feb-2023,402.4,409.9,409.9,380.2, 397.30,391.05,397.55,31480,125.15,3767, 10689, 33.95,-2.82
ASALCBR, EQ, 01-Feb-2024,487.65,489.0,492.2,476.1, 477.00,479.35,483.43,60079,290.44,5980, 28482, 47.41,-1.7
ASALCBR, EQ, 01-Mar-2021,349.85,359.7,359.7,350.15, 351.10,352.65,353.68,41059,145.22,1660, 20905, 50.91,0.8
ASALCBR, EQ, 01-Mar-2023,355.6,360.95,363.3,354.1, 359.80,358.8,359.7,20651,74.28,1736, 12814, 62.05,0.9
ASALCBR, EQ, 01-Mar-2024,536.7,539.0,553.45,531.05, 545.00,543.05,542.54,133351,723.48,13161, 57420, 43.06,1.18
ASALCBR, EQ, 01-Apr-2020,157.9,160.0,162.9,152.1,155.45,155.35,157.53,8214,12.94,517, 5908, 71.93,-1.61
ASALCBR, EQ, 01-Apr-2021,420.7,422.0,449.5,420.0, 439.00,441.1,431.79,82531,356.36,3499, 35869, 43.46,4.85
ASALCBR, EQ, 01-Apr-2022,472.85,472.0,482.55,472.0, 479.60,479.4,479.73,30658,147.07,2369, 18649, 60.83,1.39
ASALCBR, EQ, 01-Apr-2024,472.1,472.1,500.8,472.05, 496.50,497.75,494.19,126964,627.44,5779, 79603, 62.70,5.43
ASALCBR, EQ, 01-Apr-2025,1392.25,1395.0,1429.0,1365.0,1390.0,1383.45,1400.77,34604,484.72,4657, 12225, 35.33,-0.63
ASALCBR, EQ, 01-Jun-2020,219.25,220.0,228.0,213.55, 216.00,215.05,219.88,214694,472.06,6052, 93940, 43.76,-1.92
ASALCBR, EQ, 01-Jun-2021,431.2,432.0,439.9,428.1, 428.10,429.95,432.98,96978,419.89,5090, 53655, 55.33,-0.29
ASALCBR, EQ, 01-Jun-2022,434.65,439.0,439.0,415.0,415.0,417.55,420.28,73689,309.7,4405, 53412, 72.48,-3.93
ASALCBR, EQ, 01-Jun-2023,390.1,392.8,399.85,386.1, 388.25,389.35,392.95,42020,165.12,2838, 20734, 49.34,-0.19
