SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ASKAUTOLTD, EQ, 01-Jan-2024,290.5,290.35,290.5,285.15, 285.85,285.75,287.2,133432,383.22,3932, 81623, 61.17,-1.64
ASKAUTOLTD, EQ, 01-Jan-2025,475.55,479.85,479.85,469.2,471.15,472.2,473.24,113074,535.12,6924, 63002, 55.72,-0.7
ASKAUTOLTD, EQ, 01-Feb-2024,301.05,303.65,325.55,301.15, 321.90,321.15,316.68,2449328,7756.56,45372, 1138918, 46.50,6.68
ASKAUTOLTD, EQ, 01-Mar-2024,292.55,294.65,297.3,293.0, 294.70,294.95,294.72,238277,702.25,6225, 146518, 61.49,0.82
ASKAUTOLTD, EQ, 01-Apr-2024,284.6,284.65,288.45,276.0, 284.00,283.05,282.91,256785,726.48,3439, 195489, 76.13,-0.54
ASKAUTOLTD, EQ, 01-Apr-2025,445.7,450.0,456.8,438.0,445.1,449.05,447.62,82086,367.44,3080, 36496, 44.46,0.75
ASKAUTOLTD, EQ, 01-Jul-2024,362.65,363.95,380.0,363.95,377.7,377.65,373.82,644833,2410.55,15040, 318541, 49.40,4.14
ASKAUTOLTD, EQ, 01-Aug-2024,396.65,402.0,413.8,393.55,403.0,401.65,403.27,489554,1974.21,12494, 202488, 41.36,1.26
ASKAUTOLTD, EQ, 01-Oct-2024,439.1,439.7,441.5,432.0,434.0,436.45,437.85,387273,1695.68,7562, 179072, 46.24,-0.6
ASKAUTOLTD, EQ, 01-Dec-2023,294.8,297.8,298.0,293.45, 296.00,295.9,295.91,421481,1247.2,7668, 264311, 62.71,0.37
ASKAUTOLTD, EQ, 02-Jan-2024,285.75,289.45,289.5,281.05, 283.90,284.2,284.87,315195,897.91,11683, 185572, 58.88,-0.54
ASKAUTOLTD, EQ, 02-Jan-2025,472.2,469.55,496.0,469.55,494.5,494.2,488.57,293724,1435.04,9216, 160847, 54.76,4.66
ASKAUTOLTD, EQ, 02-Feb-2024,321.15,329.0,331.0,312.35, 313.00,315.35,319.44,1114022,3558.66,23181, 518031, 46.50,-1.81
ASKAUTOLTD, EQ, 02-Apr-2024,283.05,288.0,288.0,282.0, 283.10,284.1,284.37,88615,251.99,2580, 44062, 49.72,0.37
ASKAUTOLTD, EQ, 02-Apr-2025,449.05,449.05,449.05,440.5,443.95,442.45,443.58,43862,194.56,2835, 25632, 58.44,-1.47
ASKAUTOLTD, EQ, 02-May-2024,309.45,314.5,314.5,306.55, 311.15,309.85,309.79,121686,376.97,2167, 74864, 61.52,0.13
ASKAUTOLTD, EQ, 02-Jul-2024,377.65,378.35,391.9,372.1,390.05,389.85,383.59,676417,2594.66,17121, 404171, 59.75,3.23
ASKAUTOLTD, EQ, 02-Aug-2024,401.65,396.0,404.0,392.95,395.0,396.75,397.93,261521,1040.68,8690, 121299, 46.38,-1.22
ASKAUTOLTD, EQ, 02-Sep-2024,461.6,460.0,467.35,455.05,462.5,461.7,460.64,154567,711.99,6757, 68349, 44.22,0.02
ASKAUTOLTD, EQ, 02-Dec-2024,454.95,450.1,453.9,445.05,450.0,449.25,451.4,138281,624.2,6024, 84446, 61.07,-1.25
ASKAUTOLTD, EQ, 03-Jan-2024,284.2,283.6,291.5,282.05, 289.00,288.7,286.11,255648,731.45,7070, 176367, 68.99,1.58
ASKAUTOLTD, EQ, 03-Jan-2025,494.2,494.2,499.2,490.7,493.05,493.8,494.97,180776,894.79,8772, 94295, 52.16,-0.08
ASKAUTOLTD, EQ, 03-Feb-2025,435.85,436.0,444.0,434.0,438.9,438.55,438.91,73354,321.96,5205, 34308, 46.77,0.62
ASKAUTOLTD, EQ, 03-Mar-2025,363.3,346.55,357.75,333.3,340.85,340.35,341.11,489324,1669.13,36602, 237299, 48.50,-6.32
ASKAUTOLTD, EQ, 03-Apr-2024,284.1,284.0,292.0,282.2, 290.40,289.45,286.82,166265,476.89,3178, 102814, 61.84,1.88
ASKAUTOLTD, EQ, 03-Apr-2025,442.45,434.65,439.75,431.5,436.15,435.65,435.08,71092,309.31,6721, 37539, 52.80,-1.54
ASKAUTOLTD, EQ, 03-May-2024,309.85,318.95,318.95,307.4, 311.70,311.1,311.11,126852,394.65,3755, 72332, 57.02,0.4
ASKAUTOLTD, EQ, 03-Jun-2024,300.3,308.0,311.7,302.1,309.0,308.95,306.67,189139,580.03,4014, 131096, 69.31,2.88
ASKAUTOLTD, EQ, 03-Jul-2024,389.85,389.0,400.1,387.35,392.4,393.15,394.41,866712,3418.37,20139, 596873, 68.87,0.85
ASKAUTOLTD, EQ, 03-Sep-2024,461.7,460.0,461.0,445.95,450.0,448.75,454.69,306712,1394.58,9671, 216530, 70.60,-2.8
ASKAUTOLTD, EQ, 03-Oct-2024,436.45,429.0,434.95,414.8,415.95,417.05,424.5,510633,2167.66,16657, 273682, 53.60,-4.44
ASKAUTOLTD, EQ, 03-Dec-2024,449.25,452.9,460.0,449.0,452.0,451.9,454.64,172551,784.49,5344, 80605, 46.71,0.59
ASKAUTOLTD, EQ, 04-Jan-2024,288.7,289.5,291.5,284.2, 288.00,287.9,289.32,215782,624.29,5663, 130325, 60.40,-0.28
ASKAUTOLTD, EQ, 04-Feb-2025,438.55,438.85,448.0,438.85,445.8,444.15,443.97,94307,418.69,6607, 50549, 53.60,1.28
ASKAUTOLTD, EQ, 04-Mar-2024,295.75,295.65,299.7,287.25, 288.60,288.25,290.9,243096,707.16,6804, 158452, 65.18,-2.54
ASKAUTOLTD, EQ, 04-Mar-2025,340.35,340.95,357.35,340.95,357.35,357.35,355.4,244489,868.91,3531, 93111, 38.08,4.99
ASKAUTOLTD, EQ, 04-Apr-2024,289.45,291.45,299.75,283.55, 296.00,297.4,292.38,335311,980.38,6046, 175813, 52.43,2.75
ASKAUTOLTD, EQ, 04-Apr-2025,435.65,430.05,437.55,413.9,413.9,413.9,418.05,91085,380.78,6172, 59503, 65.33,-4.99
ASKAUTOLTD, EQ, 04-Jun-2024,308.95,309.65,309.65,284.35,293.5,293.3,298.95,489122,1462.21,12426, 310026, 63.38,-5.07
ASKAUTOLTD, EQ, 04-Jul-2024,393.15,392.0,397.0,385.5,395.85,395.25,392.97,396929,1559.81,10583, 204769, 51.59,0.53
ASKAUTOLTD, EQ, 04-Sep-2024,448.75,444.95,457.8,442.0,455.15,455.7,452.58,476467,2156.4,6001, 383079, 80.40,1.55
ASKAUTOLTD, EQ, 04-Oct-2024,417.05,417.5,423.55,406.1,411.5,412.15,415.16,611898,2540.35,16187, 324557, 53.04,-1.17
ASKAUTOLTD, EQ, 04-Nov-2024,441.7,445.0,451.8,438.55,445.65,446.45,445.84,529496,2360.71,13502, 261439, 49.38,1.08
ASKAUTOLTD, EQ, 04-Dec-2023,295.9,292.3,294.45,286.0, 289.90,289.5,289.94,1145440,3321.14,27391, 584327, 51.01,-2.16
ASKAUTOLTD, EQ, 04-Dec-2024,451.9,453.0,468.5,453.0,468.0,466.3,461.98,610520,2820.49,15001, 361273, 59.17,3.19
ASKAUTOLTD, EQ, 05-Jan-2024,287.9,285.55,294.9,285.05, 288.70,288.35,290.14,416101,1207.29,8616, 200119, 48.09,0.16
ASKAUTOLTD, EQ, 05-Feb-2024,315.35,315.35,323.45,303.0, 304.70,306.65,314.8,617512,1943.96,13337, 320821, 51.95,-2.76
ASKAUTOLTD, EQ, 05-Feb-2025,444.15,454.0,454.0,440.25,444.0,443.65,446.46,68199,304.48,6509, 38061, 55.81,-0.11
ASKAUTOLTD, EQ, 05-Mar-2024,288.25,288.0,293.5,285.5, 286.75,286.45,287.42,213041,612.31,5723, 131604, 61.77,-0.62
ASKAUTOLTD, EQ, 05-Mar-2025,357.35,365.0,375.2,364.7,375.2,375.2,372.18,70703,263.14,1310, 42721, 60.42,5.0
ASKAUTOLTD, EQ, 05-Apr-2024,297.4,297.25,300.85,291.55, 300.85,298.9,296.4,219260,649.9,4102, 137130, 62.54,0.5
ASKAUTOLTD, EQ, 05-Jun-2024,293.3,300.0,311.5,286.35,308.05,309.75,301.81,230957,697.06,6127, 144354, 62.50,5.61
ASKAUTOLTD, EQ, 05-Jul-2024,395.25,392.7,399.6,388.2,392.5,392.3,394.08,245999,969.42,10736, 121527, 49.40,-0.75
ASKAUTOLTD, EQ, 05-Aug-2024,396.75,390.95,390.95,370.55,373.6,374.0,378.87,323073,1224.03,12278, 179833, 55.66,-5.73
ASKAUTOLTD, EQ, 05-Sep-2024,455.7,455.0,463.8,452.0,456.0,456.0,457.05,207769,949.61,4897, 139964, 67.37,0.07
ASKAUTOLTD, EQ, 05-Nov-2024,446.45,446.0,450.9,443.25,449.45,448.7,448.21,337196,1511.34,9542, 178318, 52.88,0.5
ASKAUTOLTD, EQ, 05-Dec-2023,289.5,291.0,292.45,284.55, 285.90,285.75,286.27,574264,1643.92,17404, 410194, 71.43,-1.3
ASKAUTOLTD, EQ, 05-Dec-2024,466.3,472.1,472.9,458.5,459.0,460.25,465.11,299032,1390.83,7512, 155381, 51.96,-1.3
ASKAUTOLTD, EQ, 06-Jan-2025,493.8,494.05,496.35,467.25,473.95,470.7,477.58,234541,1120.12,13235, 116987, 49.88,-4.68
ASKAUTOLTD, EQ, 06-Feb-2024,306.65,322.0,331.0,311.2, 317.75,317.5,323.88,1880448,6090.36,37237, 719114, 38.24,3.54
ASKAUTOLTD, EQ, 06-Feb-2025,443.65,440.0,444.15,435.3,441.0,438.95,439.94,111018,488.42,9953, 58808, 52.97,-1.06
ASKAUTOLTD, EQ, 06-Mar-2024,286.45,288.0,288.0,275.0, 278.00,278.0,278.61,340359,948.29,16875, 206878, 60.78,-2.95
ASKAUTOLTD, EQ, 06-Mar-2025,375.2,393.95,393.95,393.95,393.95,393.95,393.95,16143,63.6,423, 16143, 100.00,5.0
ASKAUTOLTD, EQ, 06-May-2024,311.1,315.0,315.0,304.95,305.5,306.35,307.41,65938,202.7,1871, 41047, 62.25,-1.53
ASKAUTOLTD, EQ, 06-Jun-2024,309.75,308.0,315.0,308.0,313.95,313.4,312.32,279053,871.53,4587, 195425, 70.03,1.18
ASKAUTOLTD, EQ, 06-Aug-2024,374.0,380.2,397.8,374.0,375.0,375.65,385.0,352951,1358.85,11032, 144104, 40.83,0.44
ASKAUTOLTD, EQ, 06-Sep-2024,456.0,458.0,463.0,450.05,454.55,453.8,455.34,143221,652.14,7323, 63395, 44.26,-0.48
ASKAUTOLTD, EQ, 06-Nov-2024,448.7,453.85,458.0,449.75,455.0,455.7,454.42,412833,1875.98,10117, 284057, 68.81,1.56
ASKAUTOLTD, EQ, 06-Dec-2023,285.75,287.0,291.45,285.25, 286.15,286.5,288.34,658851,1899.7,12190, 372054, 56.47,0.26
ASKAUTOLTD, EQ, 06-Dec-2024,460.25,463.2,466.9,452.0,464.0,464.65,460.56,245820,1132.15,7725, 113428, 46.14,0.96
ASKAUTOLTD, EQ, 07-Jan-2025,470.7,473.95,485.95,471.05,478.2,477.85,478.48,158723,759.46,8885, 82589, 52.03,1.52
ASKAUTOLTD, EQ, 07-Feb-2024,317.5,321.5,329.0,318.8, 326.00,326.2,324.46,1026349,3330.09,23062, 584008, 56.90,2.74
ASKAUTOLTD, EQ, 07-Feb-2025,438.95,439.0,440.95,429.75,433.5,431.1,433.06,95212,412.33,6742, 56159, 58.98,-1.79
ASKAUTOLTD, EQ, 07-Mar-2024,278.0,280.0,283.35,277.0, 280.50,280.2,280.63,125858,353.19,3094, 61841, 49.14,0.79
ASKAUTOLTD, EQ, 07-Mar-2025,393.95,413.6,413.6,405.35,413.6,413.6,413.25,201215,831.52,1193, 109860, 54.60,4.99
ASKAUTOLTD, EQ, 07-Apr-2025,413.9,372.55,408.9,372.55,403.0,402.15,394.15,214972,847.32,15126, 109013, 50.71,-2.84
ASKAUTOLTD, EQ, 07-May-2024,306.35,306.2,309.8,296.1,299.9,301.3,301.56,126899,382.68,3949, 65449, 51.58,-1.65
