SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ASTRAZEN, EQ, 01-Jan-2020,2616.6,2634.8,2659.9,2616.05, 2620.00,2618.8,2630.92,14045,369.51,2902, 6522, 46.44,0.08
ASTRAZEN, EQ, 01-Jan-2021,4619.2,4639.0,4675.0,4613.35, 4632.00,4628.4,4638.78,133878,6210.31,12359, 53391, 39.88,0.2
ASTRAZEN, EQ, 01-Jan-2024,5526.6,5500.0,5690.0,5500.0, 5639.70,5645.4,5619.52,30202,1697.21,7539, 7289, 24.13,2.15
ASTRAZEN, EQ, 01-Jan-2025,7305.15,7225.0,7391.65,7150.1,7209.9,7195.85,7253.1,25064,1817.92,7475, 2928, 11.68,-1.5
ASTRAZEN, EQ, 01-Feb-2021,3625.45,3650.35,3699.0,3601.0, 3661.95,3653.35,3649.94,31764,1159.37,6135, 8253, 25.98,0.77
ASTRAZEN, EQ, 01-Feb-2022,2796.35,2817.3,2835.0,2790.35,2807.0,2799.35,2809.8,7800,219.16,1923, 3926, 50.33,0.11
ASTRAZEN, EQ, 01-Feb-2023,3361.05,3361.05,3398.2,3354.1, 3396.70,3386.7,3381.34,3036,102.66,1206, 1896, 62.45,0.76
ASTRAZEN, EQ, 01-Feb-2024,6616.6,6616.6,6648.7,6405.0, 6480.00,6497.75,6528.98,6032,393.83,1458, 4070, 67.47,-1.8
ASTRAZEN, EQ, 01-Mar-2021,3436.25,3472.0,3500.0,3440.15, 3469.00,3455.85,3458.74,22118,765.0,3836, 6162, 27.86,0.57
ASTRAZEN, EQ, 01-Mar-2023,3344.65,3312.0,3410.0,3312.0, 3362.60,3380.35,3362.84,2908,97.79,732, 1650, 56.74,1.07
ASTRAZEN, EQ, 01-Mar-2024,5516.55,5521.25,5542.95,5425.0, 5450.00,5449.2,5469.27,5777,315.96,1901, 2667, 46.17,-1.22
ASTRAZEN, EQ, 01-Apr-2020,2403.85,2419.0,2435.0,2345.5,2405.0,2409.2,2396.41,11193,268.23,2263, 5342, 47.73,0.22
ASTRAZEN, EQ, 01-Apr-2021,3009.3,3040.0,3548.0,3030.05, 3460.00,3429.85,3300.25,378308,12485.1,40145, 59525, 15.73,13.98
ASTRAZEN, EQ, 01-Apr-2022,2551.85,2552.0,2609.95,2552.0, 2601.15,2597.4,2582.63,10306,266.17,2022, 4795, 46.53,1.78
ASTRAZEN, EQ, 01-Apr-2024,5328.45,5256.3,5400.0,5150.0, 5200.00,5200.6,5277.06,9793,516.78,3024, 4538, 46.34,-2.4
ASTRAZEN, EQ, 01-Apr-2025,8607.65,8602.0,8748.5,8463.25,8470.0,8492.65,8600.82,22139,1904.13,8391, 9638, 43.53,-1.34
ASTRAZEN, EQ, 01-Jun-2020,3053.0,3097.0,3144.75,3031.9, 3089.00,3089.6,3098.2,41633,1289.87,4765, 15083, 36.23,1.2
ASTRAZEN, EQ, 01-Jun-2021,3777.95,3797.0,3812.0,3740.0, 3760.00,3759.8,3768.78,15252,574.81,3110, 6286, 41.21,-0.48
ASTRAZEN, EQ, 01-Jun-2022,3007.55,3010.0,3025.0,2940.1,2950.0,2944.6,2983.51,14685,438.13,2657, 4634, 31.56,-2.09
ASTRAZEN, EQ, 01-Jun-2023,3562.45,3585.0,3585.0,3480.0, 3519.80,3502.5,3521.42,20424,719.21,4098, 7645, 37.43,-1.68
ASTRAZEN, EQ, 01-Jul-2020,3547.7,3555.0,3588.1,3470.0, 3535.00,3552.4,3511.46,55715,1956.41,6425, 10988, 19.72,0.13
ASTRAZEN, EQ, 01-Jul-2021,3611.2,3611.0,3628.25,3591.0, 3605.95,3599.15,3608.16,17784,641.67,3265, 7515, 42.26,-0.33
ASTRAZEN, EQ, 01-Jul-2022,2705.2,2700.0,2727.0,2664.0,2724.0,2719.85,2695.54,4613,124.35,1106, 2743, 59.46,0.54
ASTRAZEN, EQ, 01-Jul-2024,6250.75,6225.0,6482.0,6150.0,6398.0,6393.4,6326.9,9894,625.98,3435, 3760, 38.00,2.28
ASTRAZEN, EQ, 01-Aug-2022,3064.75,3067.0,3119.7,3061.0, 3102.00,3106.0,3096.37,13794,427.11,3151, 7302, 52.94,1.35
ASTRAZEN, EQ, 01-Aug-2023,3866.0,3866.0,3899.9,3808.0, 3826.00,3828.7,3832.36,5712,218.9,1650, 3445, 60.31,-0.96
ASTRAZEN, EQ, 01-Aug-2024,7036.45,7108.05,7123.7,6968.85,7090.0,7044.45,7034.89,7379,519.1,2833, 2482, 33.64,0.11
ASTRAZEN, EQ, 01-Sep-2020,3549.75,3549.75,3615.0,3503.85, 3605.00,3589.45,3555.88,29871,1062.18,5194, 10831, 36.26,1.12
ASTRAZEN, EQ, 01-Sep-2021,3106.45,3110.0,3186.9,3110.0,3155.0,3147.65,3148.27,19729,621.12,4003, 7200, 36.49,1.33
ASTRAZEN, EQ, 01-Sep-2022,3075.9,3075.0,3122.0,3021.6,3062.6,3051.55,3072.04,6828,209.76,2172, 2689, 39.38,-0.79
ASTRAZEN, EQ, 01-Sep-2023,4259.3,4260.05,4348.0,4252.05, 4320.00,4323.8,4307.18,11217,483.14,2973, 6454, 57.54,1.51
ASTRAZEN, EQ, 01-Oct-2020,4303.75,4337.8,4339.95,4278.95, 4305.00,4294.15,4295.64,22473,965.36,3806, 9482, 42.19,-0.22
ASTRAZEN, EQ, 01-Oct-2021,3089.6,3091.0,3144.3,3080.0, 3093.00,3097.85,3114.08,14420,449.05,2909, 5856, 40.61,0.27
ASTRAZEN, EQ, 01-Oct-2024,7970.05,7735.05,7925.0,7685.0,7716.0,7734.5,7816.23,152228,11898.48,22378, 10608, 6.97,-2.96
ASTRAZEN, EQ, 01-Nov-2021,3007.1,3025.8,3073.55,2985.85, 3038.00,3042.5,3024.87,19303,583.89,3828, 5639, 29.21,1.18
ASTRAZEN, EQ, 01-Nov-2022,3299.55,3305.0,3477.0,3304.45,3422.0,3434.45,3412.37,64035,2185.11,10362, 27116, 42.35,4.09
ASTRAZEN, EQ, 01-Nov-2023,4674.5,4627.75,4697.9,4627.75, 4651.60,4669.3,4661.72,3534,164.75,992, 1922, 54.39,-0.11
ASTRAZEN, EQ, 01-Dec-2020,4538.9,4550.0,4578.0,4505.2,4523.0,4528.45,4541.23,37577,1706.46,6344, 16338, 43.48,-0.23
ASTRAZEN, EQ, 01-Dec-2021,3137.15,3170.0,3232.0,3090.0,3100.2,3103.8,3128.48,22582,706.47,4324, 7142, 31.63,-1.06
ASTRAZEN, EQ, 01-Dec-2022,3373.8,3370.9,3381.4,3320.0,3323.9,3329.75,3345.14,5696,190.54,1487, 3430, 60.22,-1.31
ASTRAZEN, EQ, 01-Dec-2023,4765.8,4750.25,4886.15,4735.0, 4754.00,4763.35,4774.0,6761,322.77,2313, 3535, 52.29,-0.05
ASTRAZEN, EQ, 02-Jan-2020,2618.8,2619.0,2655.25,2615.05, 2629.90,2632.2,2635.01,8590,226.35,2209, 5342, 62.19,0.51
ASTRAZEN, EQ, 02-Jan-2023,3297.15,3253.0,3599.0,3253.0, 3352.00,3344.75,3355.81,6205,208.23,1682, 2067, 33.31,1.44
ASTRAZEN, EQ, 02-Jan-2024,5645.4,5612.1,5759.0,5523.0, 5715.00,5698.05,5655.59,30876,1746.22,7148, 5103, 16.53,0.93
ASTRAZEN, EQ, 02-Jan-2025,7195.85,7248.65,7271.3,7103.05,7110.0,7134.5,7154.8,11626,831.82,2480, 1421, 12.22,-0.85
ASTRAZEN, EQ, 02-Feb-2021,3653.35,3671.95,3715.05,3612.3, 3635.90,3634.95,3642.88,29463,1073.3,6013, 10300, 34.96,-0.5
ASTRAZEN, EQ, 02-Feb-2022,2799.35,2801.0,2840.0,2801.0, 2822.05,2830.25,2823.74,9448,266.79,1723, 4328, 45.81,1.1
ASTRAZEN, EQ, 02-Feb-2023,3386.7,3335.9,3397.45,3335.9, 3370.00,3367.5,3373.78,2415,81.48,778, 1657, 68.61,-0.57
ASTRAZEN, EQ, 02-Feb-2024,6497.75,6425.0,6561.6,6401.55, 6460.00,6475.4,6472.23,4032,260.96,1456, 2040, 50.60,-0.34
ASTRAZEN, EQ, 02-Mar-2020,2578.2,2585.0,2698.0,2580.2, 2669.00,2653.65,2650.66,24053,637.56,5401, 11385, 47.33,2.93
ASTRAZEN, EQ, 02-Mar-2021,3455.85,3472.0,3493.85,3441.0,3480.0,3470.15,3465.77,24051,833.55,4527, 8488, 35.29,0.41
ASTRAZEN, EQ, 02-Mar-2022,2609.55,2609.55,2664.0,2591.95, 2661.25,2652.35,2629.8,11176,293.91,2360, 5948, 53.22,1.64
ASTRAZEN, EQ, 02-Mar-2023,3380.35,3380.0,3466.95,3360.7, 3385.05,3408.6,3393.8,5359,181.87,1419, 2144, 40.01,0.84
