SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AUSOMENT, EQ, 01-Jan-2021,52.05,53.0,53.75,51.7, 53.75,53.55,52.52,7726,4.06,126, 6282, 81.31,2.88
AUSOMENT, EQ, 01-Feb-2021,48.25,49.55,49.55,48.0, 49.00,48.55,48.59,1439,0.7,40, 718, 49.90,0.62
AUSOMENT, EQ, 01-Feb-2022,74.3,74.0,76.65,72.0,76.2,76.05,74.52,5725,4.27,255, 3971, 69.36,2.36
AUSOMENT, EQ, 01-Feb-2023,68.05,67.7,69.5,67.25, 67.25,67.85,68.13,2904,1.98,91, 1624, 55.92,-0.29
AUSOMENT, EQ, 01-Feb-2024,91.85,91.85,92.8,83.35, 85.50,86.15,87.16,49965,43.55,950, 24775, 49.58,-6.21
AUSOMENT, EQ, 01-Mar-2021,47.3,47.0,50.5,47.0, 49.00,49.35,48.78,8943,4.36,98, 5273, 58.96,4.33
AUSOMENT, EQ, 01-Mar-2023,61.8,62.95,63.4,61.6, 62.95,62.8,62.43,236,0.15,51, 172, 72.88,1.62
AUSOMENT, EQ, 01-Mar-2024,89.45,88.5,92.4,87.3, 88.80,88.8,89.55,9683,8.67,241, 4089, 42.23,-0.73
AUSOMENT, EQ, 01-Apr-2020,26.35,26.0,26.05,26.0,26.0,26.0,26.01,798,0.21,6, 798, 100.00,-1.33
AUSOMENT, EQ, 01-Apr-2021,46.05,47.55,49.0,46.25, 49.00,48.95,47.96,8789,4.22,103, 7517, 85.53,6.3
AUSOMENT, EQ, 01-Apr-2022,65.05,66.0,67.75,64.4, 66.25,66.25,66.12,10052,6.65,353, 6994, 69.58,1.84
AUSOMENT, EQ, 01-Apr-2024,92.1,92.1,96.2,92.0, 94.80,94.2,93.79,14617,13.71,279, 9539, 65.26,2.28
AUSOMENT, EQ, 01-Apr-2025,78.01,79.98,81.69,79.06,81.6,81.59,80.49,3346,2.69,127, 2345, 70.08,4.59
AUSOMENT, EQ, 01-Jun-2020,23.55,24.6,24.65,24.6, 24.65,24.65,24.64,106,0.03,8, 106, 100.00,4.67
AUSOMENT, EQ, 01-Jun-2021,65.95,66.5,66.85,64.0, 64.50,65.8,65.34,6248,4.08,106, 4247, 67.97,-0.23
AUSOMENT, EQ, 01-Jun-2022,69.95,70.15,70.15,67.8,69.0,69.1,69.38,1349,0.94,40, 1073, 79.54,-1.22
AUSOMENT, EQ, 01-Jun-2023,61.5,62.55,62.65,60.5, 60.70,61.05,61.32,1582,0.97,73, 1080, 68.27,-0.73
AUSOMENT, EQ, 01-Jul-2020,34.6,31.3,32.0,31.15, 31.15,31.15,31.22,11196,3.5,84, 8845, 79.00,-9.97
AUSOMENT, EQ, 01-Jul-2021,78.05,77.2,90.5,75.55, 89.75,88.7,87.4,237848,207.87,3758, 55910, 23.51,13.65
AUSOMENT, EQ, 01-Jul-2022,63.65,63.75,65.6,61.6,65.0,64.55,63.1,1643,1.04,61, 1493, 90.87,1.41
AUSOMENT, EQ, 01-Aug-2022,72.25,74.05,78.3,72.55, 76.50,76.6,75.35,17711,13.35,444, 12792, 72.23,6.02
AUSOMENT, EQ, 01-Aug-2023,66.05,66.25,69.0,66.05, 67.15,67.9,67.78,12699,8.61,270, 8703, 68.53,2.8
AUSOMENT, EQ, 01-Sep-2020,35.55,35.15,39.95,35.0, 38.00,37.95,36.45,5239,1.91,344, 3997, 76.29,6.75
AUSOMENT, EQ, 01-Sep-2022,77.85,79.8,83.0,75.9,81.45,80.95,81.28,32532,26.44,406, 18977, 58.33,3.98
AUSOMENT, EQ, 01-Sep-2023,77.7,77.7,79.6,77.7, 78.90,79.25,78.75,23649,18.62,916, 9643, 40.78,1.99
AUSOMENT, EQ, 01-Oct-2020,51.6,50.85,52.0,44.9, 47.50,47.65,47.49,58952,27.99,921, 22420, 38.03,-7.66
AUSOMENT, EQ, 01-Nov-2021,60.0,60.0,61.7,58.35, 59.00,59.0,59.3,6702,3.97,259, 4077, 60.83,-1.67
AUSOMENT, EQ, 01-Nov-2022,68.3,68.5,71.0,66.65,69.6,69.35,69.37,8129,5.64,230, 5591, 68.78,1.54
AUSOMENT, EQ, 01-Dec-2020,55.3,56.95,56.95,52.55,52.75,52.95,53.48,18779,10.04,300, 12751, 67.90,-4.25
AUSOMENT, EQ, 01-Dec-2021,58.0,60.9,60.9,59.15,59.75,59.6,60.15,2190,1.32,50, 1159, 52.92,2.76
AUSOMENT, EQ, 01-Dec-2022,74.15,76.85,76.85,72.6,74.05,74.0,73.82,5501,4.06,126, 3792, 68.93,-0.2
AUSOMENT, EQ, 02-Jan-2023,74.55,76.6,76.6,71.55, 72.00,72.1,73.01,14702,10.73,407, 9892, 67.28,-3.29
AUSOMENT, EQ, 02-Feb-2021,48.55,49.3,49.5,47.5, 48.45,48.5,48.93,2529,1.24,63, 2230, 88.18,-0.1
AUSOMENT, EQ, 02-Feb-2022,76.05,75.5,76.95,72.25, 74.05,74.55,74.15,21989,16.3,777, 5715, 25.99,-1.97
AUSOMENT, EQ, 02-Feb-2023,67.85,66.0,68.95,64.6, 67.20,67.2,67.24,562,0.38,25, 486, 86.48,-0.96
AUSOMENT, EQ, 02-Feb-2024,86.15,87.9,88.2,82.5, 83.60,83.35,85.3,24214,20.65,524, 13636, 56.31,-3.25
AUSOMENT, EQ, 02-Mar-2021,49.35,49.15,52.1,49.1,51.35,51.5,51.29,18350,9.41,313, 13330, 72.64,4.36
AUSOMENT, EQ, 02-Mar-2022,66.1,66.95,69.75,64.15, 67.85,66.7,67.01,16747,11.22,660, 6571, 39.24,0.91
AUSOMENT, EQ, 02-Mar-2023,62.8,61.2,63.5,59.1, 60.30,60.7,61.43,3967,2.44,224, 2577, 64.96,-3.34
AUSOMENT, EQ, 02-Apr-2024,94.2,95.6,99.9,92.15, 98.50,97.15,97.24,47992,46.67,1054, 20709, 43.15,3.13
AUSOMENT, EQ, 02-Apr-2025,81.59,83.63,84.95,77.61,83.98,83.2,82.28,5971,4.91,148, 3563, 59.67,1.97
AUSOMENT, EQ, 02-May-2022,80.65,82.55,82.55,77.0,77.95,77.4,78.85,8840,6.97,263, 6804, 76.97,-4.03
AUSOMENT, EQ, 02-May-2023,62.05,63.2,63.25,61.45, 61.75,61.75,62.01,674,0.42,26, 459, 68.10,-0.48
AUSOMENT, EQ, 02-May-2024,92.85,94.25,97.7,92.0, 94.15,92.95,94.43,10366,9.79,302, 6784, 65.44,0.11
