SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
AUTOLITIND, EQ, 01-Jan-2020,21.5,21.35,21.85,21.1, 21.60,21.45,21.54,2289,0.49,58, 1365, 59.63,-0.23
AUTOLITIND, EQ, 01-Jan-2021,24.95,26.3,26.3,24.5, 25.00,24.95,25.12,11775,2.96,182, 7818, 66.39,0.0
AUTOLITIND, EQ, 01-Apr-2020,11.45,11.55,12.55,11.4,12.55,12.55,12.22,14046,1.72,164, 9222, 65.66,9.61
AUTOLITIND, EQ, 01-Jun-2020,17.05,17.85,17.85,16.75, 17.10,16.8,17.15,12021,2.06,112, 8835, 73.50,-1.47
AUTOLITIND, EQ, 01-Jul-2020,16.8,17.5,17.5,16.45, 16.95,16.8,16.83,2376,0.4,66, 1392, 58.59,0.0
AUTOLITIND, EQ, 01-Sep-2020,22.3,21.5,22.7,20.45, 21.50,21.4,21.16,7858,1.66,174, 5043, 64.18,-4.04
AUTOLITIND, EQ, 01-Oct-2020,19.55,20.25,20.3,19.3, 20.05,19.75,19.71,3813,0.75,53, 2606, 68.35,1.02
AUTOLITIND, EQ, 01-Dec-2020,21.0,21.0,21.0,19.2,20.0,20.25,19.92,22171,4.42,198, 13242, 59.73,-3.57
AUTOLITIND, EQ, 02-Jan-2020,21.45,21.9,22.8,21.35, 22.40,22.4,21.98,9550,2.1,175, 6666, 69.80,4.43
AUTOLITIND, EQ, 02-Mar-2020,18.2,17.55,19.8,17.15, 18.00,17.8,17.99,2888,0.52,90, 1294, 44.81,-2.2
AUTOLITIND, EQ, 02-Jun-2020,16.8,16.9,17.6,16.9,17.45,17.5,17.51,6351,1.11,65, 4806, 75.67,4.17
AUTOLITIND, EQ, 02-Jul-2020,16.8,17.15,17.6,16.55, 17.60,17.55,17.23,13358,2.3,132, 5341, 39.98,4.46
AUTOLITIND, EQ, 02-Sep-2020,21.4,20.0,22.45,20.0, 22.35,22.35,21.48,4318,0.93,95, 3138, 72.67,4.44
AUTOLITIND, EQ, 02-Nov-2020,18.45,18.05,19.0,18.0, 18.00,18.05,18.03,2769,0.5,81, 2259, 81.58,-2.17
AUTOLITIND, EQ, 02-Dec-2020,20.25,21.0,21.0,19.55, 20.85,20.85,20.32,10105,2.05,99, 7029, 69.56,2.96
AUTOLITIND, EQ, 03-Jan-2020,22.4,22.5,22.75,21.75, 22.35,22.15,22.29,4830,1.08,154, 3816, 79.01,-1.12
AUTOLITIND, EQ, 03-Feb-2020,23.45,23.45,24.5,22.7, 23.30,22.95,23.28,3800,0.88,146, 2404, 63.26,-2.13
AUTOLITIND, EQ, 03-Mar-2020,17.8,17.7,19.6,17.7, 18.65,18.85,18.6,6816,1.27,142, 4227, 62.02,5.9
AUTOLITIND, EQ, 03-Apr-2020,12.55,13.55,13.55,12.25, 13.45,13.3,13.17,6073,0.8,132, 3575, 58.87,5.98
AUTOLITIND, EQ, 03-Jun-2020,17.5,18.35,18.35,16.8,17.0,17.3,17.63,12335,2.17,110, 6567, 53.24,-1.14
AUTOLITIND, EQ, 03-Jul-2020,17.55,17.1,18.0,16.75, 17.00,17.15,17.21,8750,1.51,162, 4849, 55.42,-2.28
AUTOLITIND, EQ, 03-Aug-2020,18.9,19.45,19.5,18.65,19.4,19.4,19.16,16521,3.17,289, 9389, 56.83,2.65
AUTOLITIND, EQ, 03-Sep-2020,22.35,21.1,24.5,21.1, 22.40,22.05,22.86,8596,1.97,135, 6655, 77.42,-1.34
AUTOLITIND, EQ, 03-Nov-2020,18.05,18.85,18.85,17.8,18.0,18.0,17.88,3178,0.57,58, 2865, 90.15,-0.28
