SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BAFNAPH, EQ, 01-Feb-2022,140.1,147.0,147.1,140.5,147.1,147.0,146.47,11502,16.85,260, 9435, 82.03,4.93
BAFNAPH, EQ, 01-Mar-2021,124.0,121.55,126.45,118.1, 118.10,120.75,122.54,2321,2.84,82, 1921, 82.77,-2.62
BAFNAPH, EQ, 01-Apr-2020,13.3,13.95,13.95,13.95,13.95,13.95,13.95,224,0.03,6, 224, 100.00,4.89
BAFNAPH, EQ, 01-Apr-2022,126.65,124.65,131.7,124.65, 131.65,131.1,129.42,1367,1.77,118, 814, 59.55,3.51
BAFNAPH, EQ, 01-Jun-2021,134.5,137.2,137.2,130.0, 133.00,133.05,133.13,7412,9.87,317, 3907, 52.71,-1.08
BAFNAPH, EQ, 01-Jul-2021,140.85,139.0,145.55,134.6, 139.50,138.35,139.84,9092,12.71,507, 4443, 48.87,-1.77
BAFNAPH, EQ, 01-Sep-2021,133.15,135.9,137.4,128.3,130.0,129.6,132.87,17454,23.19,332, 11306, 64.78,-2.67
BAFNAPH, EQ, 01-Oct-2020,41.75,43.8,43.8,43.8, 43.80,43.8,43.8,1255,0.55,10, 1255, 100.00,4.91
BAFNAPH, EQ, 01-Oct-2021,128.45,131.05,131.05,127.0, 127.55,127.65,128.66,1638,2.11,70, 958, 58.49,-0.62
BAFNAPH, EQ, 01-Nov-2021,121.8,125.7,125.7,123.0, 125.50,125.3,124.13,1249,1.55,131, 644, 51.56,2.87
BAFNAPH, EQ, 01-Dec-2021,117.15,117.0,121.35,114.0,117.5,115.7,117.44,3438,4.04,115, 2751, 80.02,-1.24
BAFNAPH, EQ, 02-Feb-2021,125.85,123.0,132.0,120.0, 122.00,123.15,126.28,3538,4.47,88, 2514, 71.06,-2.15
BAFNAPH, EQ, 02-Feb-2022,147.0,147.35,149.8,146.2, 146.35,146.35,147.08,7053,10.37,208, 5209, 73.86,-0.44
BAFNAPH, EQ, 02-Mar-2021,120.75,125.95,126.0,119.1,120.1,120.4,121.71,1981,2.41,104, 900, 45.43,-0.29
BAFNAPH, EQ, 02-Mar-2022,121.0,119.5,124.95,119.5, 124.90,124.8,121.26,9373,11.37,295, 6047, 64.52,3.14
BAFNAPH, EQ, 02-May-2022,135.55,139.7,139.7,132.05,133.1,133.7,133.93,894,1.2,55, 522, 58.39,-1.36
BAFNAPH, EQ, 02-Jun-2021,133.05,131.0,135.95,131.0, 131.85,134.0,133.74,5617,7.51,303, 3584, 63.81,0.71
BAFNAPH, EQ, 02-Jul-2021,138.35,144.0,144.0,138.75,139.0,140.1,140.09,4020,5.63,254, 1825, 45.40,1.26
BAFNAPH, EQ, 02-Aug-2021,154.0,161.7,161.7,150.2,159.0,159.8,159.53,12739,20.32,488, 8352, 65.56,3.77
BAFNAPH, EQ, 02-Sep-2021,129.6,135.4,135.4,126.0, 129.00,128.9,129.27,9854,12.74,417, 5289, 53.67,-0.54
BAFNAPH, EQ, 02-Nov-2021,125.3,128.0,130.0,124.0, 129.90,128.4,126.98,1867,2.37,93, 1419, 76.00,2.47
BAFNAPH, EQ, 02-Dec-2021,115.7,116.5,118.95,116.5, 118.95,117.7,117.97,1916,2.26,106, 1409, 73.54,1.73
BAFNAPH, EQ, 03-Jan-2022,152.55,155.6,160.15,149.0, 149.40,151.3,155.5,23882,37.14,909, 11583, 48.50,-0.82
BAFNAPH, EQ, 03-Feb-2021,123.15,123.6,126.2,118.1, 120.15,121.3,120.89,4016,4.85,158, 3079, 76.67,-1.5
BAFNAPH, EQ, 03-Feb-2022,146.35,142.3,151.0,142.3, 148.45,147.3,146.79,3667,5.38,147, 2311, 63.02,0.65
BAFNAPH, EQ, 03-Mar-2021,120.4,125.95,125.95,121.65,123.45,122.95,123.13,2733,3.37,84, 2428, 88.84,2.12
BAFNAPH, EQ, 03-Mar-2022,124.8,125.05,129.3,124.95,125.6,127.5,126.37,3710,4.69,128, 2444, 65.88,2.16
BAFNAPH, EQ, 03-Apr-2020,13.95,14.6,14.6,14.6, 14.60,14.6,14.6,225,0.03,8, 225, 100.00,4.66
BAFNAPH, EQ, 03-May-2021,130.8,125.5,132.95,124.3,128.4,127.05,127.1,12634,16.06,674, 8017, 63.46,-2.87
BAFNAPH, EQ, 03-Jun-2021,134.0,138.05,138.05,132.0, 134.85,134.4,134.34,4711,6.33,168, 2956, 62.75,0.3
BAFNAPH, EQ, 03-Aug-2021,159.8,159.8,165.0,152.65,154.35,155.65,159.38,12622,20.12,463, 7678, 60.83,-2.6
BAFNAPH, EQ, 03-Sep-2021,128.9,132.0,132.0,127.1, 131.00,131.5,130.24,2934,3.82,117, 2467, 84.08,2.02
BAFNAPH, EQ, 03-Nov-2021,128.4,130.0,130.0,126.5, 128.00,127.8,128.72,2779,3.58,187, 1997, 71.86,-0.47
BAFNAPH, EQ, 03-Dec-2021,117.7,120.0,123.55,118.0, 123.55,122.7,122.6,5076,6.22,275, 4115, 81.07,4.25
BAFNAPH, EQ, 04-Jan-2022,151.3,149.4,155.0,146.1, 146.20,147.1,148.42,6279,9.32,340, 4221, 67.22,-2.78
BAFNAPH, EQ, 04-Feb-2021,121.3,123.0,123.0,116.1, 118.95,118.45,118.72,4870,5.78,175, 4532, 93.06,-2.35
BAFNAPH, EQ, 04-Feb-2022,147.3,143.5,154.0,143.5, 153.50,152.8,150.8,18825,28.39,473, 14144, 75.13,3.73
BAFNAPH, EQ, 04-Mar-2021,122.95,123.35,126.9,120.0, 125.65,122.2,122.09,4092,5.0,128, 2368, 57.87,-0.61
BAFNAPH, EQ, 04-Mar-2022,127.5,132.5,132.5,121.15, 124.40,123.95,122.87,8396,10.32,215, 5354, 63.77,-2.78
BAFNAPH, EQ, 04-Apr-2022,131.1,134.6,134.6,127.05,131.0,131.05,130.01,5281,6.87,232, 3551, 67.24,-0.04
BAFNAPH, EQ, 04-May-2021,127.05,133.4,133.4,133.4, 133.40,133.4,133.4,13016,17.36,124, 12772, 98.13,5.0
BAFNAPH, EQ, 04-May-2022,133.7,131.05,132.35,131.0,131.1,131.1,131.17,576,0.76,31, 431, 74.83,-1.94
BAFNAPH, EQ, 04-Jun-2021,134.4,138.0,138.0,133.65, 135.00,135.4,135.24,9453,12.78,511, 5874, 62.14,0.74
BAFNAPH, EQ, 04-Aug-2021,155.65,157.55,161.85,155.0,155.0,155.25,156.93,4410,6.92,207, 2481, 56.26,-0.26
BAFNAPH, EQ, 04-Oct-2021,127.65,128.9,129.55,127.5, 128.00,128.0,128.32,4050,5.2,119, 3210, 79.26,0.27
BAFNAPH, EQ, 05-Jan-2022,147.1,152.0,152.0,143.0, 145.00,144.55,146.26,3723,5.45,218, 2354, 63.23,-1.73
BAFNAPH, EQ, 05-Feb-2021,118.45,122.45,122.5,117.1, 119.50,118.85,119.8,4493,5.38,148, 3338, 74.29,0.34
BAFNAPH, EQ, 05-Mar-2021,122.2,125.05,125.05,119.75,122.9,122.0,121.15,2433,2.95,74, 1752, 72.01,-0.16
BAFNAPH, EQ, 05-Apr-2022,131.05,132.95,132.95,129.1, 130.00,131.5,130.5,3725,4.86,263, 2270, 60.94,0.34
BAFNAPH, EQ, 05-May-2021,133.4,140.05,140.05,140.05, 140.05,140.05,140.05,8069,11.3,120, 8065, 99.95,4.99
BAFNAPH, EQ, 05-May-2022,131.1,132.05,132.05,126.6, 129.00,128.6,129.68,2145,2.78,128, 1639, 76.41,-1.91
BAFNAPH, EQ, 05-Jul-2021,140.1,143.05,143.05,138.85, 140.00,140.3,140.12,6428,9.01,231, 4119, 64.08,0.14
BAFNAPH, EQ, 05-Aug-2021,155.25,160.95,160.95,147.6,152.5,152.0,155.25,12708,19.73,477, 4800, 37.77,-2.09
BAFNAPH, EQ, 05-Oct-2020,43.8,45.95,45.95,45.95, 45.95,45.95,45.95,177,0.08,4, 177, 100.00,4.91
BAFNAPH, EQ, 05-Oct-2021,128.0,128.0,129.5,127.25, 129.00,128.4,128.61,2958,3.8,67, 1945, 65.75,0.31
BAFNAPH, EQ, 06-Jan-2022,144.55,140.5,146.9,137.35, 137.35,137.35,139.38,12873,17.94,326, 10325, 80.21,-4.98
BAFNAPH, EQ, 06-Apr-2022,131.5,132.8,134.0,130.1, 133.90,133.85,132.31,5439,7.2,345, 3192, 58.69,1.79
BAFNAPH, EQ, 06-May-2021,140.05,147.05,147.05,147.05, 147.05,147.05,147.05,2623,3.86,46, 2623, 100.00,5.0
BAFNAPH, EQ, 06-May-2022,128.6,126.0,134.2,126.0,129.75,131.15,131.76,5718,7.53,277, 4795, 83.86,1.98
BAFNAPH, EQ, 06-Jul-2021,140.3,143.95,143.95,138.0, 138.00,138.35,139.63,3172,4.43,163, 1813, 57.16,-1.39
BAFNAPH, EQ, 06-Aug-2021,152.0,154.45,154.5,147.05, 149.80,148.6,150.79,5959,8.99,366, 3957, 66.40,-2.24
BAFNAPH, EQ, 06-Sep-2021,131.5,134.15,134.15,127.0,130.75,129.6,129.46,6200,8.03,169, 4380, 70.65,-1.44
BAFNAPH, EQ, 06-Oct-2020,45.95,48.2,48.2,48.2,48.2,48.2,48.2,152,0.07,7, 152, 100.00,4.9
BAFNAPH, EQ, 06-Oct-2021,128.4,127.0,131.55,127.0, 129.50,128.75,129.28,2800,3.62,135, 1668, 59.57,0.27
BAFNAPH, EQ, 06-Dec-2021,122.7,126.6,128.8,121.6, 128.80,128.5,128.4,5534,7.11,217, 4677, 84.51,4.73
BAFNAPH, EQ, 07-Jan-2022,137.35,139.0,143.4,133.25,141.15,140.85,139.31,9608,13.38,300, 6093, 63.42,2.55
BAFNAPH, EQ, 07-Feb-2022,152.8,153.05,168.05,147.1, 168.05,167.05,165.41,53587,88.64,986, 37238, 69.49,9.33
BAFNAPH, EQ, 07-Mar-2022,123.95,121.4,122.1,117.8, 118.90,118.0,119.21,5497,6.55,173,4055,73.77,-4.8
BAFNAPH, EQ, 07-Apr-2020,14.6,15.3,15.3,15.3, 15.30,15.3,15.3,109,0.02,7, 109, 100.00,4.79
BAFNAPH, EQ, 07-Apr-2022,133.85,132.0,133.8,131.0,133.7,133.45,133.0,1461,1.94,101, 975, 66.74,-0.3
BAFNAPH, EQ, 07-May-2021,147.05,154.4,154.4,141.05, 144.55,147.15,149.45,90381,135.08,2817, 38051, 42.10,0.07
BAFNAPH, EQ, 07-Jun-2021,135.4,137.7,140.65,137.0, 140.15,140.05,138.97,15383,21.38,384, 11829, 76.90,3.43
BAFNAPH, EQ, 07-Jul-2021,138.35,141.0,141.0,136.65, 137.00,137.7,138.64,3700,5.13,190, 1425, 38.51,-0.47
BAFNAPH, EQ, 07-Sep-2021,129.6,128.0,132.5,128.0, 131.00,130.4,130.75,1278,1.67,92, 840, 65.73,0.62
BAFNAPH, EQ, 07-Oct-2020,48.2,50.6,50.6,50.6,50.6,50.6,50.6,202,0.1,12, 202, 100.00,4.98
BAFNAPH, EQ, 07-Oct-2021,128.75,130.85,132.5,128.75, 132.50,131.45,130.62,7005,9.15,150, 4859, 69.36,2.1
BAFNAPH, EQ, 07-Dec-2021,128.5,134.3,134.3,129.4,131.0,130.25,131.83,3056,4.03,302, 1570, 51.37,1.36
BAFNAPH, EQ, 08-Feb-2021,118.85,119.5,122.0,114.5, 118.80,118.6,117.12,3413,4.0,136, 2691, 78.85,-0.21
BAFNAPH, EQ, 08-Feb-2022,167.05,167.0,167.0,154.0,156.1,159.55,159.57,14701,23.46,519, 9128, 62.09,-4.49
BAFNAPH, EQ, 08-Mar-2021,122.0,117.05,124.75,117.05, 119.70,120.65,121.21,4240,5.14,132, 1325, 31.25,-1.11
BAFNAPH, EQ, 08-Mar-2022,118.0,114.5,123.0,114.5, 123.00,122.55,120.05,6558,7.87,178, 4197, 64.00,3.86
BAFNAPH, EQ, 08-Apr-2020,15.3,16.05,16.05,16.05, 16.05,16.05,16.05,272,0.04,8, 272, 100.00,4.9
BAFNAPH, EQ, 08-Apr-2022,133.45,132.0,135.0,130.1, 132.60,134.7,132.89,1784,2.37,171, 1148, 64.35,0.94
BAFNAPH, EQ, 08-Jun-2021,140.05,153.9,153.9,140.2, 142.65,142.85,144.79,22429,32.47,697, 12730, 56.76,2.0
BAFNAPH, EQ, 08-Jul-2021,137.7,137.25,140.95,137.0, 137.00,137.4,138.69,3809,5.28,326, 1431, 37.57,-0.22
BAFNAPH, EQ, 08-Sep-2021,130.4,131.0,132.0,128.45, 129.25,130.25,129.85,3849,5.0,103, 3063, 79.58,-0.12
BAFNAPH, EQ, 08-Oct-2021,131.45,134.8,134.8,127.0, 130.00,129.3,129.75,4142,5.37,178, 3040, 73.39,-1.64
BAFNAPH, EQ, 08-Nov-2021,129.45,126.35,132.9,126.35, 130.50,129.9,129.97,3735,4.85,277, 2745, 73.49,0.35
BAFNAPH, EQ, 08-Dec-2021,130.25,133.95,136.65,129.8,131.05,132.95,132.94,4791,6.37,259, 3056, 63.79,2.07
BAFNAPH, EQ, 09-Feb-2021,118.6,116.5,118.85,115.0, 115.95,116.05,116.23,4666,5.42,153, 3057, 65.52,-2.15
BAFNAPH, EQ, 09-Feb-2022,159.55,156.15,175.5,156.15, 175.50,175.5,168.93,39045,65.96,476, 22771, 58.32,10.0
BAFNAPH, EQ, 09-Mar-2021,120.65,124.3,126.65,120.0, 126.65,126.65,125.86,11146,14.03,315, 9918, 88.98,4.97
BAFNAPH, EQ, 09-Mar-2022,122.55,127.95,128.65,124.0, 128.65,128.65,128.64,104010,133.79,131, 102781, 98.82,4.98
BAFNAPH, EQ, 09-May-2022,131.15,126.65,133.45,125.2, 132.45,129.25,127.83,1699,2.17,95, 1101, 64.80,-1.45
BAFNAPH, EQ, 09-Jun-2021,142.85,143.0,147.3,135.4,138.9,137.1,140.36,10249,14.39,388, 7571, 73.87,-4.03
BAFNAPH, EQ, 09-Jul-2021,137.4,138.95,141.7,137.0,139.0,139.2,139.32,3674,5.12,202, 2025, 55.12,1.31
BAFNAPH, EQ, 09-Aug-2021,148.6,153.7,153.7,145.1, 145.10,146.05,148.0,3702,5.48,226, 2382, 64.34,-1.72
BAFNAPH, EQ, 09-Sep-2021,130.25,128.4,132.0,127.95, 129.75,128.6,128.85,4229,5.45,163, 2725, 64.44,-1.27
BAFNAPH, EQ, 09-Nov-2021,129.9,132.0,133.3,128.9,133.0,132.45,131.7,13299,17.51,343, 12635, 95.01,1.96
BAFNAPH, EQ, 09-Dec-2021,132.95,135.45,136.0,132.9, 136.00,133.75,133.59,2579,3.45,145, 2059, 79.84,0.6
BAFNAPH, EQ, 10-Jan-2022,140.85,143.4,147.15,141.05,141.05,142.5,143.17,4588,6.57,150, 3536, 77.07,1.17
