SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BAGFILMS, EQ, 01-Jan-2024,8.85,8.85,9.35,8.85, 9.15,9.2,9.16,1343435,123.05,1789, 543067, 40.42,3.95
BAGFILMS, EQ, 01-Feb-2023,4.5,4.5,4.7,4.4, 4.55,4.55,4.54,478127,21.68,389, 237062, 49.58,1.11
BAGFILMS, EQ, 01-Mar-2021,2.6,2.6,2.7,2.6, 2.70,2.7,2.66,64457,1.72,127, 49915, 77.44,3.85
BAGFILMS, EQ, 01-Mar-2023,4.45,4.45,4.6,4.4, 4.50,4.5,4.5,45482,2.04,291, 42970, 94.48,1.12
BAGFILMS, EQ, 01-Apr-2021,2.05,2.0,2.15,2.0, 2.05,2.05,2.05,580967,11.9,235, 472380, 81.31,0.0
BAGFILMS, EQ, 01-Apr-2022,5.55,5.6,5.8,5.45, 5.80,5.8,5.77,183337,10.58,321, 154437, 84.24,4.5
BAGFILMS, EQ, 01-Apr-2025,5.35,5.34,5.61,5.34,5.61,5.61,5.53,52355,2.89,161, 39206, 74.88,4.86
BAGFILMS, EQ, 01-Jun-2020,1.65,1.6,1.7,1.6, 1.65,1.65,1.67,107086,1.79,68, 99770, 93.17,0.0
BAGFILMS, EQ, 01-Jun-2023,4.0,4.1,4.1,4.0, 4.05,4.05,4.04,79661,3.22,157, 47150, 59.19,1.25
BAGFILMS, EQ, 01-Jul-2022,5.4,5.55,5.55,5.15,5.3,5.25,5.17,316850,16.38,316, 212089, 66.94,-2.78
BAGFILMS, EQ, 01-Aug-2022,5.65,5.75,5.9,5.65, 5.90,5.85,5.8,239147,13.88,392, 146261, 61.16,3.54
BAGFILMS, EQ, 01-Aug-2023,4.7,4.7,5.1,4.65, 4.90,4.85,4.83,289461,13.98,320, 210368, 72.68,3.19
BAGFILMS, EQ, 01-Sep-2020,2.7,2.6,2.65,2.6, 2.60,2.6,2.6,37045,0.96,41, 25823, 69.71,-3.7
BAGFILMS, EQ, 01-Sep-2021,2.5,2.5,2.55,2.4,2.5,2.45,2.48,831957,20.65,325, 708994, 85.22,-2.0
BAGFILMS, EQ, 01-Sep-2022,7.6,7.6,7.95,7.3,7.95,7.95,7.71,717102,55.29,645, 426043, 59.41,4.61
BAGFILMS, EQ, 01-Oct-2020,2.65,2.65,2.65,2.55, 2.55,2.55,2.59,107636,2.79,52, 99110, 92.08,-3.77
BAGFILMS, EQ, 01-Oct-2024,10.9,11.16,11.99,11.0,11.99,11.99,11.81,2334124,275.57,3960, 1172229, 50.22,10.0
BAGFILMS, EQ, 01-Dec-2020,2.5,2.4,2.6,2.4,2.6,2.55,2.52,52212,1.32,77, 38258, 73.27,2.0
BAGFILMS, EQ, 02-Jan-2023,5.1,5.3,5.3,5.0, 5.05,5.0,5.05,135831,6.86,256, 107106, 78.85,-1.96
BAGFILMS, EQ, 02-Jan-2024,9.2,9.3,11.0,9.15, 11.00,11.0,10.32,8256397,852.02,7064, 4087174, 49.50,19.57
BAGFILMS, EQ, 02-Feb-2021,2.65,2.6,2.75,2.55, 2.75,2.75,2.7,74682,2.02,218, 59236, 79.32,3.77
BAGFILMS, EQ, 02-Feb-2023,4.55,4.6,4.6,4.4, 4.55,4.45,4.47,178395,7.97,205, 121085, 67.87,-2.2
BAGFILMS, EQ, 02-Mar-2021,2.7,2.8,2.8,2.6,2.65,2.7,2.68,142807,3.82,121, 82894, 58.05,0.0
BAGFILMS, EQ, 02-Mar-2023,4.5,4.55,4.6,4.45, 4.50,4.5,4.48,47244,2.12,139, 34599, 73.23,0.0
BAGFILMS, EQ, 02-Apr-2025,5.61,5.61,5.89,5.61,5.89,5.89,5.88,43648,2.57,68, 42303, 96.92,4.99
BAGFILMS, EQ, 02-May-2023,4.1,4.15,4.25,4.05, 4.20,4.15,4.17,189845,7.91,289, 129231, 68.07,1.22
BAGFILMS, EQ, 02-Jun-2020,1.65,1.7,1.7,1.65,1.7,1.7,1.69,54249,0.92,74, 43373, 79.95,3.03
BAGFILMS, EQ, 02-Jun-2023,4.05,4.05,4.15,4.0, 4.15,4.15,4.1,100630,4.13,202, 62176, 61.79,2.47
BAGFILMS, EQ, 02-Aug-2021,3.7,3.75,3.85,3.7,3.85,3.85,3.82,123509,4.72,134, 96223, 77.91,4.05
BAGFILMS, EQ, 02-Aug-2022,5.85,5.9,6.1,5.8,5.95,5.9,5.94,210661,12.52,316, 129903, 61.66,0.85
BAGFILMS, EQ, 02-Aug-2023,4.85,4.9,5.0,4.65, 4.75,4.7,4.8,322670,15.5,380, 205825, 63.79,-3.09
BAGFILMS, EQ, 02-Sep-2020,2.6,2.6,2.6,2.5, 2.55,2.5,2.51,48226,1.21,91, 42208, 87.52,-3.85
BAGFILMS, EQ, 02-Sep-2021,2.45,2.55,2.55,2.45, 2.55,2.45,2.52,689270,17.34,325, 515658, 74.81,0.0
BAGFILMS, EQ, 02-Sep-2022,7.95,8.15,8.3,7.6,7.6,7.6,7.92,1833206,145.21,1498, 648178, 35.36,-4.4
BAGFILMS, EQ, 02-Sep-2024,10.09,10.08,10.1,9.41,9.54,9.48,9.64,511546,49.34,1557, 264160, 51.64,-6.05
BAGFILMS, EQ, 02-Nov-2020,2.5,2.4,2.6,2.4, 2.60,2.6,2.49,27683,0.69,35, 24127, 87.15,4.0
BAGFILMS, EQ, 02-Dec-2020,2.55,2.5,2.7,2.45, 2.60,2.55,2.56,132236,3.39,155, 87597, 66.24,0.0
BAGFILMS, EQ, 02-Dec-2024,9.75,9.94,9.94,9.4,9.77,9.72,9.67,293359,28.38,908, 203726, 69.45,-0.31
BAGFILMS, EQ, 03-Jan-2023,5.0,5.0,5.1,4.95, 5.05,5.0,5.02,80918,4.06,222, 56328, 69.61,0.0
BAGFILMS, EQ, 03-Jan-2024,11.0,11.25,13.2,10.6, 13.20,13.2,12.42,10347957,1284.83,10338, 4596702, 44.42,20.0
BAGFILMS, EQ, 03-Feb-2021,2.75,2.85,2.85,2.75, 2.85,2.85,2.84,90671,2.58,113, 83296, 91.87,3.64
BAGFILMS, EQ, 03-Feb-2023,4.45,4.4,4.55,4.4, 4.45,4.4,4.45,77785,3.46,172, 39068, 50.23,-1.12
BAGFILMS, EQ, 03-Mar-2021,2.7,2.65,2.75,2.65,2.75,2.7,2.68,146126,3.92,193, 110287, 75.47,0.0
BAGFILMS, EQ, 03-Mar-2023,4.5,4.55,4.55,4.4, 4.45,4.45,4.47,104965,4.69,572, 64270, 61.23,-1.11
BAGFILMS, EQ, 03-Apr-2023,3.7,3.8,4.05,3.7, 4.05,4.05,3.98,73042,2.9,151, 52453, 71.81,9.46
BAGFILMS, EQ, 03-Apr-2025,5.89,6.17,6.18,6.17,6.18,6.18,6.18,46810,2.89,47, 43396, 92.71,4.92
BAGFILMS, EQ, 03-May-2021,2.65,2.75,2.75,2.6,2.75,2.75,2.73,204442,5.59,219, 185808, 90.89,3.77
BAGFILMS, EQ, 03-May-2023,4.15,4.1,4.3,4.1,4.25,4.15,4.22,245971,10.39,143, 135262, 54.99,0.0
BAGFILMS, EQ, 03-Jun-2020,1.7,1.75,1.75,1.7,1.75,1.7,1.72,102595,1.76,86, 85389, 83.23,0.0
BAGFILMS, EQ, 03-Jul-2023,4.45,4.5,4.6,4.4, 4.50,4.45,4.5,273680,12.32,230, 240354, 87.82,0.0
BAGFILMS, EQ, 03-Aug-2021,3.85,4.0,4.0,3.8,3.95,3.85,3.98,332053,13.2,309, 254472, 76.64,0.0
BAGFILMS, EQ, 03-Aug-2022,5.9,5.9,6.1,5.65, 5.65,5.65,5.69,519535,29.56,418, 340130, 65.47,-4.24
BAGFILMS, EQ, 03-Aug-2023,4.7,4.75,4.75,4.6, 4.65,4.65,4.67,137814,6.44,212, 104584, 75.89,-1.06
BAGFILMS, EQ, 03-Sep-2020,2.5,2.5,2.6,2.5, 2.60,2.6,2.57,54814,1.41,61, 46898, 85.56,4.0
BAGFILMS, EQ, 03-Sep-2021,2.45,2.5,2.55,2.4, 2.45,2.4,2.47,562934,13.93,360, 423163, 75.17,-2.04
BAGFILMS, EQ, 03-Sep-2024,9.48,9.5,10.39,9.44,9.6,9.69,9.97,780921,77.89,2270, 361298, 46.27,2.22
BAGFILMS, EQ, 03-Oct-2024,11.99,11.65,13.18,11.46,13.18,13.15,12.91,7440732,960.48,10053, 2748723, 36.94,9.67
BAGFILMS, EQ, 03-Nov-2020,2.6,2.6,2.65,2.35,2.4,2.4,2.44,76731,1.88,92, 57104, 74.42,-7.69
BAGFILMS, EQ, 03-Dec-2020,2.55,2.6,2.65,2.5,2.6,2.6,2.58,130323,3.37,128, 97513, 74.82,1.96
BAGFILMS, EQ, 03-Dec-2024,9.72,9.85,10.69,9.83,10.69,10.68,10.51,1072815,112.71,2216, 556948, 51.91,9.88
BAGFILMS, EQ, 04-Jan-2023,5.0,5.05,5.1,4.9, 5.05,5.0,5.0,80712,4.03,190, 57637, 71.41,0.0
BAGFILMS, EQ, 04-Jan-2024,13.2,14.0,14.5,14.0, 14.50,14.5,14.41,4545109,654.85,3251, 2622759, 57.71,9.85
BAGFILMS, EQ, 04-Feb-2021,2.85,2.9,2.95,2.75, 2.85,2.85,2.8,179273,5.02,301, 89582, 49.97,0.0
BAGFILMS, EQ, 04-Mar-2020,1.45,1.45,1.5,1.4, 1.50,1.5,1.49,197465,2.95,79, 145840, 73.86,3.45
BAGFILMS, EQ, 04-Mar-2021,2.7,2.75,2.8,2.65, 2.70,2.65,2.68,56908,1.52,80, 42710, 75.05,-1.85
BAGFILMS, EQ, 04-Apr-2022,5.8,5.95,6.05,5.9,6.05,6.05,6.04,225008,13.59,426, 184015, 81.78,4.31
BAGFILMS, EQ, 04-Apr-2025,6.18,6.48,6.48,6.3,6.42,6.36,6.43,302033,19.41,566, 193111, 63.94,2.91
BAGFILMS, EQ, 04-May-2021,2.75,2.85,2.85,2.7, 2.75,2.75,2.8,201868,5.65,159, 140042, 69.37,0.0
BAGFILMS, EQ, 04-May-2023,4.15,4.25,4.3,4.15, 4.30,4.25,4.23,116609,4.93,167, 89637, 76.87,2.41
BAGFILMS, EQ, 04-Jun-2020,1.7,1.75,1.75,1.65,1.65,1.7,1.72,144253,2.48,66, 101153, 70.12,0.0
BAGFILMS, EQ, 04-Jul-2022,5.25,5.25,5.5,5.1,5.5,5.5,5.47,782728,42.82,263, 650830, 83.15,4.76
BAGFILMS, EQ, 04-Jul-2023,4.45,4.5,4.5,4.35, 4.50,4.45,4.43,124689,5.52,282, 67903, 54.46,0.0
BAGFILMS, EQ, 04-Aug-2021,3.85,3.9,3.95,3.7,3.7,3.7,3.79,250922,9.5,280, 160888, 64.12,-3.9
BAGFILMS, EQ, 04-Aug-2022,5.65,5.5,5.9,5.4,5.8,5.75,5.8,471166,27.31,517, 270356, 57.38,1.77
BAGFILMS, EQ, 04-Aug-2023,4.65,4.65,4.8,4.65, 4.75,4.75,4.74,97426,4.62,246, 60059, 61.65,2.15
BAGFILMS, EQ, 04-Sep-2020,2.6,2.6,2.65,2.5,2.5,2.5,2.54,85994,2.18,102, 69695, 81.05,-3.85
BAGFILMS, EQ, 04-Sep-2024,9.69,9.61,10.65,9.33,10.64,10.6,10.51,2578749,271.06,3296, 1452951, 56.34,9.39
BAGFILMS, EQ, 04-Oct-2024,13.15,13.47,13.99,12.42,12.63,12.66,13.31,4319257,574.73,8681, 1757955, 40.70,-3.73
BAGFILMS, EQ, 04-Nov-2020,2.4,2.45,2.45,2.35,2.35,2.35,2.39,29912,0.71,54, 29607, 98.98,-2.08
BAGFILMS, EQ, 04-Nov-2024,11.24,11.3,11.3,10.5,10.73,10.73,10.75,447780,48.15,1469, 225894, 50.45,-4.54
BAGFILMS, EQ, 04-Dec-2020,2.6,2.6,2.6,2.55, 2.60,2.6,2.58,59570,1.54,87, 43937, 73.76,0.0
BAGFILMS, EQ, 04-Dec-2024,10.68,10.68,11.15,10.5,10.6,10.6,10.77,662723,71.41,2113, 321820, 48.56,-0.75
BAGFILMS, EQ, 05-Jan-2023,5.0,5.05,5.1,4.95,5.05,5.05,5.06,237069,11.99,184, 212045, 89.44,1.0
BAGFILMS, EQ, 05-Jan-2024,14.5,15.2,15.4,13.05, 14.40,14.35,14.13,12865368,1818.37,15419, 5315777, 41.32,-1.03
BAGFILMS, EQ, 05-Feb-2021,2.85,2.85,2.95,2.75, 2.80,2.75,2.8,85233,2.39,1390, 57554, 67.53,-3.51
BAGFILMS, EQ, 05-Mar-2020,1.5,1.55,1.55,1.5, 1.55,1.55,1.55,74311,1.15,60, 61519, 82.79,3.33
BAGFILMS, EQ, 05-Mar-2021,2.65,2.65,2.7,2.6,2.6,2.6,2.64,65879,1.74,123, 45915, 69.70,-1.89
BAGFILMS, EQ, 05-Apr-2021,2.05,2.05,2.05,2.0,2.05,2.05,2.03,99789,2.03,123, 70430, 70.58,0.0
BAGFILMS, EQ, 05-Apr-2022,6.05,6.35,6.35,6.1, 6.35,6.35,6.32,694441,43.92,576, 565358, 81.41,4.96
BAGFILMS, EQ, 05-Apr-2023,4.05,4.15,4.45,4.15, 4.45,4.45,4.4,313152,13.79,244, 179238, 57.24,9.88
BAGFILMS, EQ, 05-May-2021,2.75,2.85,2.85,2.7, 2.80,2.75,2.81,220185,6.18,196, 161868, 73.51,0.0
BAGFILMS, EQ, 05-May-2023,4.25,4.25,4.25,4.15, 4.25,4.25,4.22,50572,2.14,118, 28082, 55.53,0.0
BAGFILMS, EQ, 05-Jun-2020,1.7,1.7,1.85,1.65, 1.85,1.85,1.82,377669,6.86,147, 154040, 40.79,8.82
BAGFILMS, EQ, 05-Jun-2023,4.15,4.2,4.25,4.05, 4.10,4.1,4.15,53410,2.21,127, 45580, 85.34,-1.2
BAGFILMS, EQ, 05-Jul-2022,5.5,5.75,5.75,5.45,5.75,5.75,5.71,771731,44.04,434, 265896, 34.45,4.55
BAGFILMS, EQ, 05-Jul-2023,4.45,4.45,4.65,4.35,4.65,4.6,4.57,412097,18.81,424, 266217, 64.60,3.37
BAGFILMS, EQ, 05-Aug-2021,3.7,3.7,3.8,3.55,3.8,3.75,3.64,161695,5.88,177, 117467, 72.65,1.35
BAGFILMS, EQ, 05-Aug-2022,5.75,6.0,6.0,5.7,5.8,5.8,5.85,119293,6.98,278, 85613, 71.77,0.87
BAGFILMS, EQ, 05-Aug-2024,8.79,8.69,8.69,8.01,8.3,8.28,8.3,377382,31.33,1597, 278717, 73.86,-5.8
BAGFILMS, EQ, 05-Sep-2022,7.6,7.8,7.85,7.25, 7.25,7.25,7.37,596371,43.93,710, 332391, 55.74,-4.61
BAGFILMS, EQ, 05-Sep-2024,10.6,10.66,10.8,10.2,10.27,10.25,10.47,1063148,111.29,2540, 655444, 61.65,-3.3
BAGFILMS, EQ, 05-Oct-2020,2.55,2.65,2.65,2.5, 2.60,2.6,2.58,64022,1.65,81, 50301, 78.57,1.96
BAGFILMS, EQ, 05-Nov-2020,2.35,2.35,2.45,2.35, 2.40,2.45,2.4,41469,0.99,31, 25622, 61.79,4.26
BAGFILMS, EQ, 05-Nov-2024,10.73,10.7,11.05,10.12,10.7,10.76,10.82,404083,43.74,1155, 158008, 39.10,0.28
BAGFILMS, EQ, 05-Dec-2024,10.6,10.66,10.74,10.28,10.44,10.43,10.43,225737,23.54,946, 155253, 68.78,-1.6
BAGFILMS, EQ, 06-Jan-2023,5.05,5.1,5.15,4.95,5.15,5.05,5.03,58865,2.96,186, 36348, 61.75,0.0
BAGFILMS, EQ, 06-Feb-2023,4.4,4.5,4.5,4.35, 4.50,4.45,4.45,56564,2.52,170, 46510, 82.23,1.14
BAGFILMS, EQ, 06-Mar-2020,1.55,1.6,1.6,1.5, 1.60,1.55,1.56,202886,3.17,191, 172795, 85.17,0.0
BAGFILMS, EQ, 06-Mar-2023,4.45,4.55,4.55,4.4, 4.45,4.45,4.46,97112,4.33,127, 78447, 80.78,0.0
BAGFILMS, EQ, 06-Apr-2021,2.05,2.05,2.05,1.95,2.0,2.0,2.02,171395,3.46,137, 126925, 74.05,-2.44
BAGFILMS, EQ, 06-Apr-2022,6.35,6.55,6.65,6.5, 6.65,6.65,6.62,529055,35.0,546, 459381, 86.83,4.72
BAGFILMS, EQ, 06-Apr-2023,4.45,4.6,4.6,4.05, 4.10,4.15,4.24,552729,23.42,422, 354314, 64.10,-6.74
BAGFILMS, EQ, 06-Jun-2023,4.1,4.1,4.1,4.05,4.1,4.05,4.08,138002,5.64,154, 105423, 76.39,-1.22
BAGFILMS, EQ, 06-Jul-2022,5.75,5.95,6.0,5.8,6.0,6.0,5.98,305817,18.29,229, 289756, 94.75,4.35
BAGFILMS, EQ, 06-Jul-2023,4.6,4.7,5.25,4.55,4.95,4.85,4.91,1151748,56.55,1081, 700709, 60.84,5.43
BAGFILMS, EQ, 06-Aug-2021,3.75,3.75,4.0,3.65, 3.70,3.7,3.78,262251,9.92,282, 179337, 68.38,-1.33
BAGFILMS, EQ, 06-Aug-2024,8.28,8.4,9.1,8.29,9.1,9.1,9.04,1168746,105.62,1082, 552643, 47.29,9.9
BAGFILMS, EQ, 06-Sep-2021,2.4,2.4,2.5,2.3,2.4,2.35,2.39,710699,16.96,375, 537894, 75.69,-2.08
BAGFILMS, EQ, 06-Sep-2022,7.25,7.1,7.3,6.9, 6.90,6.9,7.01,1332230,93.39,1060, 707116, 53.08,-4.83
BAGFILMS, EQ, 06-Sep-2024,10.25,10.25,10.8,10.22,10.34,10.36,10.56,963564,101.71,2658, 564592, 58.59,1.07
BAGFILMS, EQ, 06-Oct-2020,2.6,2.55,2.6,2.5,2.55,2.55,2.56,39701,1.02,48, 21002, 52.90,-1.92
BAGFILMS, EQ, 06-Nov-2020,2.45,2.4,2.6,2.4, 2.55,2.5,2.48,29590,0.73,58, 13012, 43.97,2.04
BAGFILMS, EQ, 06-Nov-2024,10.76,10.88,11.39,10.76,11.25,11.23,11.14,566047,63.09,1388, 237104, 41.89,4.37
BAGFILMS, EQ, 06-Dec-2022,5.05,5.15,5.3,5.1, 5.25,5.2,5.21,212193,11.06,209, 176042, 82.96,2.97
BAGFILMS, EQ, 06-Dec-2024,10.43,10.82,10.93,10.51,10.75,10.63,10.66,428515,45.66,1304, 257650, 60.13,1.92
BAGFILMS, EQ, 07-Feb-2023,4.45,4.55,4.55,4.45, 4.55,4.5,4.51,75428,3.4,140, 69089, 91.60,1.12
BAGFILMS, EQ, 07-Apr-2021,2.0,2.0,2.05,1.95,2.0,2.0,2.0,245683,4.91,146, 233054, 94.86,0.0
BAGFILMS, EQ, 07-Apr-2022,6.65,7.3,7.3,7.05,7.3,7.3,7.27,874466,63.58,1288, 658184, 75.27,9.77
BAGFILMS, EQ, 07-Apr-2025,6.36,5.82,6.27,5.76,6.05,6.05,5.94,144138,8.57,618, 77734, 53.93,-4.87
BAGFILMS, EQ, 07-Jun-2023,4.05,4.1,4.15,4.05, 4.15,4.1,4.09,203507,8.32,216, 162194, 79.70,1.23
BAGFILMS, EQ, 07-Jul-2022,6.0,6.3,6.3,6.3, 6.30,6.3,6.3,178788,11.26,127, 164246, 91.87,5.0
BAGFILMS, EQ, 07-Jul-2023,4.85,5.0,5.15,4.8, 4.95,5.0,4.99,342585,17.09,384, 217348, 63.44,3.09
BAGFILMS, EQ, 07-Aug-2023,4.75,4.75,4.9,4.65, 4.70,4.7,4.77,101376,4.83,204, 79288, 78.21,-1.05
BAGFILMS, EQ, 07-Aug-2024,9.1,9.1,9.4,8.85,9.1,8.99,9.0,602080,54.19,1243, 408010, 67.77,-1.21
BAGFILMS, EQ, 07-Sep-2020,2.5,2.55,2.6,2.4, 2.60,2.45,2.47,52033,1.29,110, 41750, 80.24,-2.0
BAGFILMS, EQ, 07-Sep-2021,2.35,2.35,2.45,2.3, 2.45,2.45,2.35,751552,17.67,245, 650100, 86.50,4.26
BAGFILMS, EQ, 07-Sep-2022,6.9,6.7,7.0,6.6, 6.60,6.6,6.74,711897,48.01,477, 602231, 84.60,-4.35
BAGFILMS, EQ, 07-Oct-2020,2.55,2.55,2.55,2.5,2.55,2.55,2.54,28215,0.72,25, 22318, 79.10,0.0
BAGFILMS, EQ, 07-Oct-2024,12.66,12.7,13.24,11.39,11.75,11.72,11.83,2546082,301.24,4872, 928208, 36.46,-7.42
BAGFILMS, EQ, 07-Nov-2024,11.23,11.24,11.24,10.97,11.07,11.03,11.09,230103,25.52,1025, 134620, 58.50,-1.78
