SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BALAJEE, EQ, 01-Jan-2025,70.41,70.01,71.61,70.01,70.52,70.67,71.11,127650,90.77,1172, 99684, 78.09,0.37
BALAJEE, EQ, 01-Apr-2025,44.27,44.27,44.74,43.36,44.0,43.99,43.99,312580,137.5,4822, 146110, 46.74,-0.63
BALAJEE, EQ, 01-Oct-2024,80.58,81.8,84.16,80.75,82.15,82.18,82.18,610956,502.08,4189, 242691, 39.72,1.99
BALAJEE, EQ, 02-Jan-2025,70.67,71.25,71.84,70.11,70.65,70.62,70.85,187302,132.71,2635, 108137, 57.73,-0.07
BALAJEE, EQ, 02-Apr-2025,43.99,44.49,45.7,43.02,45.0,44.65,44.08,239514,105.59,3086, 102023, 42.60,1.5
BALAJEE, EQ, 02-Dec-2024,71.45,71.45,80.75,71.44,80.3,79.85,75.67,1589419,1202.68,12935, 836998, 52.66,11.76
BALAJEE, EQ, 03-Jan-2025,70.62,71.29,71.29,70.1,70.15,70.41,70.7,113758,80.42,1710, 65450, 57.53,-0.3
BALAJEE, EQ, 03-Feb-2025,65.67,65.67,66.0,64.68,65.65,65.17,65.23,78195,51.01,1733, 43169, 55.21,-0.76
BALAJEE, EQ, 03-Mar-2025,52.18,53.0,53.36,48.27,49.9,49.75,50.09,104651,52.42,3384, 52362, 50.03,-4.66
BALAJEE, EQ, 03-Apr-2025,44.65,44.0,46.2,44.0,45.72,45.8,45.27,212138,96.04,2214, 110574, 52.12,2.58
BALAJEE, EQ, 03-Oct-2024,82.18,80.0,81.41,77.71,78.49,78.4,78.99,830723,656.18,6512, 479633, 57.74,-4.6
BALAJEE, EQ, 03-Dec-2024,79.85,80.3,81.8,78.5,80.5,80.45,80.26,613565,492.42,7683, 310938, 50.68,0.75
BALAJEE, EQ, 04-Feb-2025,65.17,67.0,67.0,64.6,65.03,65.06,65.31,68875,44.98,1480, 38548, 55.97,-0.17
BALAJEE, EQ, 04-Mar-2025,49.75,49.65,51.29,48.62,49.0,49.17,49.53,137588,68.15,2521, 81632, 59.33,-1.17
BALAJEE, EQ, 04-Apr-2025,45.8,46.4,47.33,44.69,45.18,45.06,45.96,534829,245.81,9254, 217036, 40.58,-1.62
BALAJEE, EQ, 04-Oct-2024,78.4,78.7,79.6,76.94,78.75,78.68,78.25,448756,351.15,4710, 181383, 40.42,0.36
BALAJEE, EQ, 04-Nov-2024,75.39,75.0,75.0,72.52,73.75,73.49,73.45,205467,150.91,1688, 164768, 80.19,-2.52
BALAJEE, EQ, 04-Dec-2024,80.45,80.0,83.0,80.0,81.48,81.28,81.95,501767,411.21,5241, 239615, 47.75,1.03
BALAJEE, EQ, 05-Feb-2025,65.06,65.06,66.4,65.03,65.44,65.25,65.67,58711,38.56,1772, 28833, 49.11,0.29
BALAJEE, EQ, 05-Mar-2025,49.17,50.0,51.7,49.63,50.47,50.23,50.52,823360,415.94,2616, 710532, 86.30,2.16
BALAJEE, EQ, 05-Nov-2024,73.49,73.49,73.66,72.06,73.0,72.33,72.64,92558,67.23,1662, 58014, 62.68,-1.58
BALAJEE, EQ, 05-Dec-2024,81.28,81.0,82.48,80.34,82.25,82.0,81.47,281584,229.4,3182, 147807, 52.49,0.89
