SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BANKIETF, EQ, 01-Jan-2024,48.72,50.2,50.92,48.5, 48.50,48.71,48.73,782840,381.44,1060, 688187, 87.91,-0.02
BANKIETF, EQ, 01-Jan-2025,51.78,51.78,52.18,51.3,52.03,51.89,51.72,610560,315.76,1208, 321457, 52.65,0.21
BANKIETF, EQ, 01-Feb-2024,46.42,47.8,47.8,46.03, 46.51,46.53,46.45,2456941,1141.29,983, 2238316, 91.10,0.24
BANKIETF, EQ, 01-Mar-2024,46.54,47.35,47.8,46.78, 47.59,47.71,47.54,1486875,706.84,1539, 985093, 66.25,2.51
BANKIETF, EQ, 01-Apr-2024,47.52,48.95,48.95,47.52, 48.06,48.0,47.95,177848,85.28,960, 90221, 50.73,1.01
BANKIETF, EQ, 01-Apr-2025,52.5,52.4,52.53,51.49,52.0,51.74,51.79,2055991,1064.81,2303, 1656289, 80.56,-1.45
BANKIETF, EQ, 01-Jul-2024,53.22,54.13,54.13,52.98,53.49,53.43,53.35,210938,112.54,1022, 175279, 83.10,0.39
BANKIETF, EQ, 01-Aug-2024,52.35,53.9,53.9,52.1,52.47,52.41,52.49,110921,58.22,936, 74882, 67.51,0.11
BANKIETF, EQ, 01-Oct-2024,53.96,55.6,55.6,53.8,54.05,53.9,53.94,221925,119.71,1323, 87427, 39.39,-0.11
BANKIETF, EQ, 02-Jan-2024,48.71,49.14,49.14,48.14, 48.45,48.25,48.42,138368,67.0,995, 84415, 61.01,-0.94
BANKIETF, EQ, 02-Jan-2025,51.89,51.94,52.47,51.87,52.46,52.35,52.19,228615,119.32,1287, 60532, 26.48,0.89
BANKIETF, EQ, 02-Feb-2024,46.53,45.53,47.49,45.53, 46.42,46.4,46.82,470371,220.24,1464, 222764, 47.36,-0.28
BANKIETF, EQ, 02-Apr-2024,48.0,47.95,48.15,47.86, 47.90,47.97,48.03,1537614,738.58,927, 1114427, 72.48,-0.06
BANKIETF, EQ, 02-Apr-2025,51.74,52.02,52.29,50.0,52.11,52.13,52.03,350401,182.31,1100, 268651, 76.67,0.75
BANKIETF, EQ, 02-May-2024,49.76,51.25,51.25,49.55, 49.76,49.69,49.62,709670,352.13,1239, 541393, 76.29,-0.14
BANKIETF, EQ, 02-Jul-2024,53.43,54.4,54.4,52.69,53.05,53.04,52.92,935281,494.94,1793, 524232, 56.05,-0.73
BANKIETF, EQ, 02-Aug-2024,52.41,53.45,54.0,51.92,52.23,52.06,52.15,1397192,728.62,1424, 1249635, 89.44,-0.67
BANKIETF, EQ, 02-Sep-2024,52.32,52.66,52.66,52.1,52.16,52.3,52.22,234198,122.29,1282, 152476, 65.11,-0.04
BANKIETF, EQ, 02-Dec-2024,53.01,53.25,53.25,52.55,53.01,52.87,52.58,2164184,1138.01,1448, 2028457, 93.73,-0.26
BANKIETF, EQ, 03-Jan-2024,48.25,48.7,48.7,47.95, 48.70,48.14,48.13,145720,70.14,651, 57734, 39.62,-0.23
BANKIETF, EQ, 03-Jan-2025,52.35,52.35,52.47,51.73,51.89,51.81,52.02,589347,306.55,1628, 404487, 68.63,-1.03
BANKIETF, EQ, 03-Feb-2025,50.21,50.45,50.45,49.72,49.99,50.01,49.99,338056,168.98,2303, 225081, 66.58,-0.4
BANKIETF, EQ, 03-Mar-2025,49.22,50.18,50.18,48.64,49.06,48.96,48.99,2310473,1131.9,1981, 2146357, 92.90,-0.53
BANKIETF, EQ, 03-Apr-2024,47.97,48.18,48.18,47.67, 48.00,48.09,47.91,304776,146.01,1801, 230309, 75.57,0.25
BANKIETF, EQ, 03-Apr-2025,52.13,51.9,52.52,51.59,52.52,52.49,52.35,385045,201.57,878, 287670, 74.71,0.69
BANKIETF, EQ, 03-May-2024,49.69,50.5,50.5,49.15, 49.39,49.39,49.45,285451,141.15,1568, 226150, 79.23,-0.6
BANKIETF, EQ, 03-Jun-2024,49.73,51.2,51.96,50.41,51.79,51.8,51.32,2389609,1226.4,3006, 1511851, 63.27,4.16
BANKIETF, EQ, 03-Jul-2024,53.04,54.3,54.3,53.07,53.71,53.82,53.8,2236238,1203.17,1319, 1908917, 85.36,1.47
BANKIETF, EQ, 03-Sep-2024,52.3,52.66,52.66,52.01,52.55,52.5,52.33,77226,40.41,844, 51323, 66.46,0.38
BANKIETF, EQ, 03-Oct-2024,53.9,55.5,55.5,52.67,53.05,52.9,53.09,1013067,537.83,3785, 647540, 63.92,-1.86
BANKIETF, EQ, 03-Dec-2024,52.87,53.53,53.59,52.88,53.54,53.48,53.42,472364,252.32,844, 355050, 75.16,1.15
BANKIETF, EQ, 04-Jan-2024,48.14,48.65,48.7,48.13, 48.70,48.61,48.49,88489,42.91,630, 50479, 57.05,0.98
BANKIETF, EQ, 04-Feb-2025,50.01,50.42,50.95,50.32,50.9,50.85,50.69,2927718,1484.1,2828, 2324233, 79.39,1.68
BANKIETF, EQ, 04-Mar-2024,47.65,48.33,48.33,47.63, 47.94,47.87,47.81,201027,96.1,874, 153440, 76.33,0.46
BANKIETF, EQ, 04-Mar-2025,48.96,50.45,50.45,48.71,49.4,49.12,49.07,132251,64.9,716, 61836, 46.76,0.33
BANKIETF, EQ, 04-Apr-2024,48.09,48.52,48.58,48.16, 48.51,48.49,48.44,267157,129.42,666, 143820, 53.83,0.83
BANKIETF, EQ, 04-Apr-2025,52.49,52.89,52.89,52.21,52.25,52.37,52.46,417147,218.84,1207, 212411, 50.92,-0.23
BANKIETF, EQ, 04-Jun-2024,51.8,53.35,53.35,46.97,50.12,49.41,48.97,1817869,890.14,5879, 1117138, 61.45,-4.61
BANKIETF, EQ, 04-Jul-2024,53.82,54.2,54.5,53.61,53.98,53.87,53.82,151125,81.33,997, 87425, 57.85,0.09
BANKIETF, EQ, 04-Sep-2024,52.5,52.53,52.53,52.05,52.3,52.23,52.18,390337,203.7,1430, 316805, 81.16,-0.51
BANKIETF, EQ, 04-Oct-2024,52.9,53.27,53.5,51.84,52.56,52.41,52.63,598630,315.05,2346, 459470, 76.75,-0.93
BANKIETF, EQ, 04-Nov-2024,52.58,52.9,52.9,51.93,52.17,52.11,52.1,115718,60.29,1875, 64086, 55.38,-0.89
BANKIETF, EQ, 04-Dec-2024,53.48,53.61,54.35,53.52,54.2,54.21,54.06,1334344,721.29,1386, 1106915, 82.96,1.36
BANKIETF, EQ, 05-Jan-2024,48.61,48.85,48.85,47.85, 48.56,48.63,48.47,110071,53.35,546, 55396, 50.33,0.04
BANKIETF, EQ, 05-Feb-2024,46.4,46.8,46.8,45.5, 46.18,46.23,46.27,80384,37.19,1055, 48230, 60.00,-0.37
BANKIETF, EQ, 05-Feb-2025,50.85,50.92,51.43,50.92,51.05,51.18,51.33,5828441,2991.67,1404, 5419507, 92.98,0.65
BANKIETF, EQ, 05-Mar-2024,47.87,48.49,48.49,47.67, 47.92,48.06,47.92,235128,112.68,764, 170659, 72.58,0.4
