SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BHAGYANGR, EQ, 01-Jan-2020,19.8,19.5,19.5,18.7, 18.70,18.7,18.8,847,0.16,35, 555, 65.53,-5.56
BHAGYANGR, EQ, 01-Jan-2024,103.8,104.5,106.15,100.05, 100.70,100.85,102.21,454959,465.03,6094, 161540, 35.51,-2.84
BHAGYANGR, EQ, 01-Jan-2025,96.84,96.84,98.0,96.16,98.0,97.87,97.32,22107,21.52,823, 15337, 69.38,1.06
BHAGYANGR, EQ, 01-Feb-2022,48.95,48.5,49.55,47.55,48.85,48.9,48.67,23568,11.47,489, 12298, 52.18,-0.1
BHAGYANGR, EQ, 01-Feb-2023,50.3,51.2,51.25,48.5, 48.75,49.25,49.71,55963,27.82,831, 27718, 49.53,-2.09
BHAGYANGR, EQ, 01-Feb-2024,94.85,96.0,96.4,92.2, 94.30,94.6,94.59,86298,81.63,1562, 49422, 57.27,-0.26
BHAGYANGR, EQ, 01-Mar-2021,46.4,48.7,48.7,48.7, 48.70,48.7,48.7,23958,11.67,96, 23957, 100.00,4.96
BHAGYANGR, EQ, 01-Mar-2023,46.1,46.65,47.65,46.65, 47.30,47.1,46.9,16870,7.91,191, 12083, 71.62,2.17
BHAGYANGR, EQ, 01-Mar-2024,94.95,96.35,99.0,95.0, 95.85,95.45,96.6,83806,80.96,2328, 39184, 46.76,0.53
BHAGYANGR, EQ, 01-Apr-2020,14.3,14.2,15.65,14.0,14.1,14.25,14.17,391,0.06,22, 279, 71.36,-0.35
BHAGYANGR, EQ, 01-Apr-2022,44.3,45.7,46.25,44.9, 46.20,46.0,45.72,18254,8.35,467, 10248, 56.14,3.84
BHAGYANGR, EQ, 01-Apr-2024,81.75,82.7,98.1,82.7, 98.10,98.1,95.76,506880,485.38,4234, 203632, 40.17,20.0
BHAGYANGR, EQ, 01-Apr-2025,71.9,72.2,74.95,72.2,74.5,74.03,74.06,21265,15.75,348, 10809, 50.83,2.96
BHAGYANGR, EQ, 01-Jun-2020,14.6,14.6,14.95,14.25, 14.90,14.85,14.48,5582,0.81,72, 3498, 62.67,1.71
BHAGYANGR, EQ, 01-Jun-2021,52.55,53.95,53.95,49.95, 49.95,49.95,50.2,50223,25.21,387, 37485, 74.64,-4.95
BHAGYANGR, EQ, 01-Jun-2022,39.75,39.8,42.8,39.8,40.5,40.9,41.61,45280,18.84,761, 19161, 42.32,2.89
BHAGYANGR, EQ, 01-Jun-2023,51.0,50.95,52.5,50.0, 50.50,50.3,51.53,37883,19.52,391, 21245, 56.08,-1.37
BHAGYANGR, EQ, 01-Jul-2020,17.95,18.2,18.45,17.1, 17.40,17.15,17.38,32914,5.72,218, 21605, 65.64,-4.46
BHAGYANGR, EQ, 01-Jul-2021,48.7,49.4,49.4,48.05, 49.15,49.0,48.77,16204,7.9,182, 9195, 56.75,0.62
BHAGYANGR, EQ, 01-Jul-2022,39.85,39.95,41.25,38.2,38.7,38.75,39.33,19155,7.53,311, 9020, 47.09,-2.76
BHAGYANGR, EQ, 01-Jul-2024,107.63,108.0,110.9,107.63,109.85,109.46,109.44,96104,105.18,2058, 52201, 54.32,1.7
BHAGYANGR, EQ, 01-Aug-2022,42.75,42.65,46.8,42.65, 44.95,44.45,45.0,47209,21.25,624, 29332, 62.13,3.98
BHAGYANGR, EQ, 01-Aug-2023,66.7,70.0,73.5,69.1, 69.10,70.2,71.27,1063851,758.18,10746, 380308, 35.75,5.25
