SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BIKAJI, EQ, 01-Jan-2024,546.1,546.0,556.0,543.05, 547.00,546.4,548.88,145982,801.26,5638, 62147, 42.57,0.05
BIKAJI, EQ, 01-Jan-2025,779.45,779.45,780.05,751.9,762.7,758.9,760.53,425255,3234.19,30017, 212960, 50.08,-2.64
BIKAJI, EQ, 01-Feb-2023,392.9,399.7,401.0,381.0, 387.50,387.1,394.03,244369,962.89,9638, 116567, 47.70,-1.48
BIKAJI, EQ, 01-Feb-2024,591.7,596.0,598.9,576.2, 587.50,584.2,583.01,248693,1449.9,11064, 148368, 59.66,-1.27
BIKAJI, EQ, 01-Mar-2023,357.3,358.9,362.9,358.55, 361.00,359.8,360.18,190854,687.41,5475, 151965, 79.62,0.7
BIKAJI, EQ, 01-Mar-2024,521.85,527.95,528.0,515.0, 516.50,517.9,519.35,92045,478.03,6368, 47954, 52.10,-0.76
BIKAJI, EQ, 01-Apr-2024,490.45,494.95,501.0,490.9, 494.40,496.0,495.55,170157,843.22,7466, 97992, 57.59,1.13
BIKAJI, EQ, 01-Apr-2025,661.0,671.25,699.0,665.3,689.5,691.95,688.66,947763,6526.84,49696, 204077, 21.53,4.68
BIKAJI, EQ, 01-Jun-2023,381.95,382.0,386.0,381.0, 381.50,381.95,383.7,177958,682.82,10566, 110435, 62.06,0.0
BIKAJI, EQ, 01-Jul-2024,715.6,717.5,729.15,713.0,720.4,717.85,721.46,519605,3748.73,16417, 363873, 70.03,0.31
BIKAJI, EQ, 01-Aug-2023,485.0,488.0,491.4,481.25, 482.00,484.2,487.03,300723,1464.6,9328, 171004, 56.86,-0.16
BIKAJI, EQ, 01-Aug-2024,715.2,718.0,719.95,711.0,716.2,714.75,714.77,116540,833.0,6590, 62222, 53.39,-0.06
BIKAJI, EQ, 01-Sep-2023,498.2,500.0,500.4,484.6, 488.00,487.05,489.28,643697,3149.47,40035, 383799, 59.62,-2.24
BIKAJI, EQ, 01-Oct-2024,921.7,923.05,965.0,921.7,939.0,945.05,949.91,998468,9484.58,68432, 365379, 36.59,2.53
BIKAJI, EQ, 01-Nov-2023,473.1,474.5,487.0,467.05, 470.80,468.9,475.58,311053,1479.31,20944, 160560, 51.62,-0.89
BIKAJI, EQ, 01-Dec-2022,416.45,420.0,430.65,403.4,407.5,408.05,416.02,1318502,5485.29,30270, 415011, 31.48,-2.02
BIKAJI, EQ, 01-Dec-2023,558.0,563.95,564.8,550.45, 553.00,553.85,556.76,190334,1059.71,8894, 104771, 55.05,-0.74
BIKAJI, EQ, 02-Jan-2023,436.2,436.2,444.25,417.15, 420.50,421.3,427.0,476079,2032.86,18764, 220003, 46.21,-3.42
BIKAJI, EQ, 02-Jan-2024,546.4,548.3,559.0,545.55, 554.30,553.9,552.33,156524,864.52,6160, 67783, 43.31,1.37
BIKAJI, EQ, 02-Jan-2025,758.9,764.9,766.2,744.8,748.5,747.6,751.45,327926,2464.2,19216, 191883, 58.51,-1.49
BIKAJI, EQ, 02-Feb-2023,387.1,393.95,393.95,383.0, 384.30,384.6,388.49,136935,531.98,5027, 68847, 50.28,-0.65
BIKAJI, EQ, 02-Feb-2024,584.2,588.1,597.2,535.7, 549.90,547.55,564.16,1026472,5790.99,27475, 501503, 48.86,-6.27
BIKAJI, EQ, 02-Mar-2023,359.8,361.3,366.1,357.1, 362.00,361.65,361.47,53619,193.82,3315, 22541, 42.04,0.51
BIKAJI, EQ, 02-Apr-2024,496.0,499.0,529.5,496.5, 529.00,526.0,511.22,1191287,6090.13,28433, 921304, 77.34,6.05
BIKAJI, EQ, 02-Apr-2025,691.95,696.7,699.0,666.0,669.0,668.75,675.47,411454,2779.26,24837, 176292, 42.85,-3.35
BIKAJI, EQ, 02-May-2023,375.2,376.05,378.4,373.55, 374.00,374.05,376.22,66934,251.82,5767, 43129, 64.44,-0.31
