SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
BYKE, EQ, 01-Jan-2020,18.55,18.45,19.75,17.95, 19.10,19.05,18.88,8584,1.62,77, 8061, 93.91,2.7
BYKE, EQ, 01-Feb-2022,34.65,34.65,36.1,33.9,35.0,34.95,35.08,86168,30.23,824, 54289, 63.00,0.87
BYKE, EQ, 01-Feb-2023,44.6,45.8,45.9,43.1, 44.00,43.65,44.65,75950,33.91,906, 42269, 55.65,-2.13
BYKE, EQ, 01-Mar-2021,18.45,18.45,20.1,18.25, 20.10,19.85,19.58,103188,20.21,760, 87120, 84.43,7.59
BYKE, EQ, 01-Mar-2023,39.75,41.0,41.65,40.0, 41.00,40.9,40.86,35175,14.37,452, 21085, 59.94,2.89
BYKE, EQ, 01-Apr-2020,8.8,9.25,9.5,8.85,9.5,9.4,9.31,28381,2.64,161, 17811, 62.76,6.82
BYKE, EQ, 01-Apr-2021,18.45,18.35,19.2,18.35, 18.60,18.85,18.6,58025,10.79,205, 39875, 68.72,2.17
BYKE, EQ, 01-Apr-2022,36.9,36.9,38.0,35.9, 37.15,37.1,37.2,119630,44.5,1529, 66797, 55.84,0.54
BYKE, EQ, 01-Apr-2024,54.3,55.45,57.0,55.35, 57.00,57.0,56.8,23720,13.47,425, 16846, 71.02,4.97
BYKE, EQ, 01-Apr-2025,62.17,62.17,65.27,62.17,65.25,65.08,64.71,67057,43.39,406, 54666, 81.52,4.68
BYKE, EQ, 01-Jun-2020,9.4,9.85,10.0,9.4, 9.95,9.95,9.74,123497,12.03,240, 94698, 76.68,5.85
BYKE, EQ, 01-Jun-2021,31.55,32.0,33.25,30.95, 32.25,32.0,32.17,281361,90.52,1763, 151586, 53.88,1.43
BYKE, EQ, 01-Jun-2023,39.75,38.55,40.15,38.5, 40.05,39.75,39.91,44475,17.75,360, 28421, 63.90,0.0
BYKE, EQ, 01-Jul-2020,12.0,11.95,14.4,11.8, 14.40,14.4,14.07,660157,92.9,1972, 335636, 50.84,20.0
BYKE, EQ, 01-Jul-2022,35.6,35.85,35.85,34.25,34.8,34.6,34.87,13396,4.67,135, 7367, 54.99,-2.81
BYKE, EQ, 01-Aug-2022,37.3,38.65,39.15,37.65, 39.15,39.0,38.49,45364,17.46,379, 39580, 87.25,4.56
BYKE, EQ, 01-Aug-2023,35.55,36.3,36.3,35.65, 35.95,36.0,35.99,44458,16.0,526, 33602, 75.58,1.27
BYKE, EQ, 01-Sep-2020,14.95,14.45,15.2,14.45, 15.10,15.0,14.76,52976,7.82,171, 39591, 74.73,0.33
BYKE, EQ, 01-Sep-2021,27.45,28.5,28.5,27.0,27.65,27.85,27.66,25268,6.99,168, 15236, 60.30,1.46
BYKE, EQ, 01-Sep-2022,45.7,45.9,46.95,45.05,45.5,45.35,45.78,69715,31.92,605, 42750, 61.32,-0.77
BYKE, EQ, 01-Sep-2023,38.8,39.1,40.05,38.65, 39.15,39.2,39.25,262779,103.13,2561, 192367, 73.20,1.03
BYKE, EQ, 01-Oct-2020,13.4,13.5,14.5,13.3, 13.70,13.75,13.79,30074,4.15,174, 18251, 60.69,2.61
BYKE, EQ, 01-Oct-2021,32.1,32.5,32.5,31.1, 31.60,31.5,31.58,103508,32.69,608, 58535, 56.55,-1.87
BYKE, EQ, 01-Oct-2024,72.52,72.56,74.57,70.87,71.99,71.92,72.1,91415,65.91,677, 56381, 61.68,-0.83
BYKE, EQ, 01-Nov-2021,34.5,34.1,36.4,34.1, 35.35,35.65,35.56,66505,23.65,469, 54895, 82.54,3.33
BYKE, EQ, 01-Nov-2022,41.6,40.6,42.55,40.05,41.0,40.9,41.22,75542,31.14,523, 49819, 65.95,-1.68
BYKE, EQ, 01-Dec-2020,14.15,14.15,14.8,13.5,14.3,14.4,14.32,110787,15.87,288, 80077, 72.28,1.77
BYKE, EQ, 01-Dec-2021,33.8,34.25,34.25,32.05,32.7,32.6,32.62,31752,10.36,484, 17343, 54.62,-3.55
BYKE, EQ, 01-Dec-2022,42.5,42.0,44.0,41.45,42.35,42.1,42.74,128949,55.11,845, 92918, 72.06,-0.94
BYKE, EQ, 02-Jan-2020,19.05,19.05,21.0,18.5, 20.25,20.15,19.85,50117,9.95,340, 37758, 75.34,5.77
BYKE, EQ, 02-Jan-2023,42.25,42.25,45.95,40.95, 42.65,42.85,43.64,42041,18.35,524, 23276, 55.37,1.42
BYKE, EQ, 02-Feb-2021,19.5,19.6,20.4,19.1, 19.25,19.4,19.6,13799,2.7,119, 9102, 65.96,-0.51
BYKE, EQ, 02-Feb-2022,34.95,35.95,35.95,34.6, 34.90,34.75,35.1,67227,23.6,791, 46603, 69.32,-0.57
BYKE, EQ, 02-Feb-2023,43.65,43.4,44.25,42.45, 42.80,42.9,43.04,37725,16.24,557, 24139, 63.99,-1.72
BYKE, EQ, 02-Mar-2020,16.2,15.8,17.95,15.45, 16.35,15.95,15.99,15842,2.53,118, 11468, 72.39,-1.54
BYKE, EQ, 02-Mar-2021,19.85,20.25,21.3,19.9,20.55,20.35,20.54,79404,16.31,399, 53915, 67.90,2.52
BYKE, EQ, 02-Mar-2022,30.85,28.05,31.0,28.05, 30.25,30.25,30.28,57417,17.39,524, 33823, 58.91,-1.94
BYKE, EQ, 02-Mar-2023,40.9,41.55,41.55,40.0, 40.50,40.5,40.67,22223,9.04,286, 13654, 61.44,-0.98
BYKE, EQ, 02-Apr-2024,57.0,59.7,59.85,58.55, 59.85,59.85,59.6,129058,76.91,424, 90709, 70.29,5.0
BYKE, EQ, 02-Apr-2025,65.08,65.24,68.33,64.4,68.33,68.33,68.0,159364,108.37,408, 91077, 57.15,4.99
BYKE, EQ, 02-May-2023,39.15,38.75,41.0,38.75, 39.75,39.85,39.93,60998,24.36,562, 42501, 69.68,1.79
BYKE, EQ, 02-May-2024,74.05,74.9,75.5,73.0, 74.50,74.8,74.12,147217,109.12,707, 113397, 77.03,1.01
BYKE, EQ, 02-Jun-2020,9.95,10.0,11.9,10.0,11.9,11.85,11.51,235083,27.06,926, 132186, 56.23,19.1
BYKE, EQ, 02-Jun-2021,32.0,32.8,32.8,31.3, 31.60,31.45,31.55,204522,64.53,1184, 125306, 61.27,-1.72
BYKE, EQ, 02-Jun-2023,39.75,40.2,40.4,39.35, 40.00,40.2,40.14,26518,10.64,197, 15054, 56.77,1.13
BYKE, EQ, 02-Jul-2020,14.4,15.05,17.25,15.05, 16.00,15.75,16.61,1460857,242.7,4621, 714825, 48.93,9.37
BYKE, EQ, 02-Aug-2021,29.95,30.15,31.4,30.1,31.4,31.4,30.98,104439,32.36,617, 65749, 62.95,4.84
BYKE, EQ, 02-Aug-2022,39.0,39.7,40.8,38.2,39.9,39.15,39.91,78661,31.4,582, 53663, 68.22,0.38
BYKE, EQ, 02-Aug-2023,36.0,36.25,36.25,35.15, 35.80,35.7,35.74,26019,9.3,575, 17453, 67.08,-0.83
BYKE, EQ, 02-Sep-2020,15.0,15.5,15.5,14.55, 14.65,14.7,14.84,33975,5.04,141, 28199, 83.00,-2.0
BYKE, EQ, 02-Sep-2021,27.85,27.8,28.5,27.5, 27.80,27.9,28.1,18960,5.33,215, 15657, 82.58,0.18
BYKE, EQ, 02-Sep-2022,45.35,45.25,49.85,44.2,49.0,49.55,48.38,412053,199.37,2080, 284499, 69.04,9.26
BYKE, EQ, 02-Nov-2020,13.5,13.2,13.5,13.2, 13.45,13.4,13.42,5373,0.72,43, 4433, 82.51,-0.74
BYKE, EQ, 02-Nov-2021,35.65,36.9,38.15,35.25, 37.45,37.35,37.15,110647,41.11,700, 72175, 65.23,4.77
BYKE, EQ, 02-Nov-2022,40.9,41.05,42.5,40.5,42.0,42.1,41.49,52458,21.76,245, 38594, 73.57,2.93
BYKE, EQ, 02-Dec-2020,14.4,14.5,14.8,14.15, 14.70,14.5,14.39,88401,12.72,305, 56667, 64.10,0.69
BYKE, EQ, 02-Dec-2021,32.6,32.6,33.35,32.0, 32.65,32.75,32.66,27314,8.92,408, 17169, 62.86,0.46
BYKE, EQ, 02-Dec-2022,42.1,41.7,42.8,40.15, 41.05,40.7,41.11,79312,32.6,690, 51655, 65.13,-3.33
BYKE, EQ, 03-Jan-2020,20.15,21.4,21.4,19.7, 20.50,20.5,20.59,16816,3.46,209, 12971, 77.13,1.74
BYKE, EQ, 03-Jan-2022,31.0,31.5,31.8,30.8, 31.05,31.2,31.23,52435,16.38,515, 34305, 65.42,0.65
BYKE, EQ, 03-Jan-2023,42.85,42.4,43.2,42.2, 42.30,42.5,42.59,19865,8.46,242, 8424, 42.41,-0.82
BYKE, EQ, 03-Feb-2020,19.05,19.25,19.8,18.0, 18.55,18.75,18.99,33264,6.32,591, 25433, 76.46,-1.57
BYKE, EQ, 03-Feb-2021,19.4,19.0,19.9,18.75, 19.65,19.35,19.41,13175,2.56,113, 9642, 73.18,-0.26
BYKE, EQ, 03-Feb-2022,34.75,35.75,35.75,34.75, 35.30,35.35,35.19,66968,23.56,555, 39191, 58.52,1.73
BYKE, EQ, 03-Feb-2023,42.9,44.0,44.05,42.15, 43.50,43.55,43.25,50940,22.03,465, 35374, 69.44,1.52
BYKE, EQ, 03-Mar-2020,15.95,15.55,16.5,15.55, 16.05,16.3,16.27,28304,4.61,237, 16851, 59.54,2.19
BYKE, EQ, 03-Mar-2021,20.35,21.0,21.0,19.8,19.85,19.9,20.15,42126,8.49,223, 31364, 74.45,-2.21
BYKE, EQ, 03-Mar-2022,30.25,31.0,31.6,30.3,30.6,30.55,30.9,40086,12.39,496, 21474, 53.57,0.99
BYKE, EQ, 03-Mar-2023,40.5,40.2,41.45,39.95, 41.00,40.95,40.83,43482,17.75,340, 31649, 72.79,1.11
BYKE, EQ, 03-Apr-2020,9.4,9.85,10.1,8.6, 9.85,9.8,8.93,31388,2.8,259, 13801, 43.97,4.26
BYKE, EQ, 03-Apr-2023,32.3,33.0,34.9,32.75, 34.45,34.35,33.98,62574,21.26,507, 42852, 68.48,6.35
BYKE, EQ, 03-Apr-2024,59.85,61.85,62.8,59.85, 62.20,62.6,61.89,122880,76.05,774, 89450, 72.79,4.59
BYKE, EQ, 03-Apr-2025,68.33,70.35,71.74,68.5,71.74,71.74,71.44,216747,154.84,593, 117858, 54.38,4.99
BYKE, EQ, 03-May-2021,18.3,18.35,18.95,17.95,18.15,18.1,18.22,56534,10.3,278, 46834, 82.84,-1.09
BYKE, EQ, 03-May-2023,39.85,39.5,41.55,39.45,41.4,41.3,40.75,93333,38.03,996, 62868, 67.36,3.64
BYKE, EQ, 03-May-2024,74.8,75.5,80.25,73.5, 79.30,78.8,76.77,588666,451.93,2735, 370429, 62.93,5.35
BYKE, EQ, 03-Jun-2020,11.85,12.5,13.9,12.25,13.0,13.1,13.11,196354,25.74,880, 120586, 61.41,10.55
BYKE, EQ, 03-Jun-2024,69.5,72.0,73.85,71.0,72.5,72.4,72.35,93916,67.94,530, 75785, 80.69,4.17
BYKE, EQ, 03-Jul-2020,15.75,15.8,16.0,14.25, 15.10,15.25,14.97,502342,75.2,1834, 246156, 49.00,-3.17
BYKE, EQ, 03-Jul-2023,38.8,39.7,40.0,38.85, 39.95,39.6,39.62,45930,18.2,287, 32766, 71.34,2.06
BYKE, EQ, 03-Aug-2020,14.4,14.1,14.75,13.8,14.25,14.0,14.13,38282,5.41,212, 29689, 77.55,-2.78
BYKE, EQ, 03-Aug-2021,31.4,32.4,32.4,30.5,30.55,30.85,31.27,86418,27.03,662, 50218, 58.11,-1.75
BYKE, EQ, 03-Aug-2022,39.15,40.0,40.25,38.7, 39.80,39.85,39.42,45835,18.07,275, 34773, 75.87,1.79
BYKE, EQ, 03-Aug-2023,35.7,35.55,35.95,35.2, 35.75,35.6,35.6,24263,8.64,632, 15481, 63.80,-0.28
BYKE, EQ, 03-Sep-2020,14.7,14.75,14.95,14.55, 14.70,14.65,14.69,39206,5.76,139, 33069, 84.35,-0.34
