SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
CAPACITE, EQ, 01-Jan-2020,182.0,184.9,184.9,181.8, 182.95,182.6,182.93,7293,13.34,416, 4189, 57.44,0.33
CAPACITE, EQ, 01-Jan-2021,181.75,182.7,189.8,181.65, 185.50,185.55,184.85,153467,283.68,2408, 36104, 23.53,2.09
CAPACITE, EQ, 01-Jan-2024,250.3,252.6,266.0,250.9, 258.50,260.1,260.53,1180472,3075.5,20417, 435509, 36.89,3.92
CAPACITE, EQ, 01-Jan-2025,435.0,434.95,444.9,432.2,443.2,443.85,440.17,276498,1217.05,16342, 130895, 47.34,2.03
CAPACITE, EQ, 01-Feb-2021,164.9,169.0,180.0,167.2, 176.35,178.1,174.98,298201,521.79,8413, 121286, 40.67,8.0
CAPACITE, EQ, 01-Feb-2022,150.75,153.7,154.0,149.1,151.35,150.85,151.11,130787,197.63,3486, 60709, 46.42,0.07
CAPACITE, EQ, 01-Feb-2023,148.4,149.55,150.35,137.95, 141.10,141.65,144.95,233836,338.95,6417, 57300, 24.50,-4.55
CAPACITE, EQ, 01-Feb-2024,263.2,264.0,266.4,259.3, 263.00,262.1,262.5,552447,1450.15,12450, 225749, 40.86,-0.42
CAPACITE, EQ, 01-Mar-2021,203.8,208.0,210.0,201.1, 204.55,204.1,204.19,322902,659.33,4719, 276373, 85.59,0.15
CAPACITE, EQ, 01-Mar-2023,122.15,124.0,129.65,123.65, 128.00,127.65,126.88,303003,384.44,5276, 144455, 47.67,4.5
CAPACITE, EQ, 01-Mar-2024,262.2,263.5,269.55,261.5, 266.00,265.75,265.99,1484337,3948.25,23411, 620483, 41.80,1.35
CAPACITE, EQ, 01-Apr-2020,73.4,75.0,75.25,72.5,72.5,73.2,73.72,14371,10.59,568, 12129, 84.40,-0.27
CAPACITE, EQ, 01-Apr-2021,201.75,202.8,209.9,201.65, 204.40,203.35,205.86,81488,167.75,1623, 41126, 50.47,0.79
CAPACITE, EQ, 01-Apr-2022,109.5,110.05,116.05,109.1, 115.00,115.0,114.21,208336,237.93,4421, 120912, 58.04,5.02
CAPACITE, EQ, 01-Apr-2024,261.85,264.85,269.95,260.5, 264.60,263.25,264.71,1054743,2792.0,14026, 558237, 52.93,0.53
CAPACITE, EQ, 01-Apr-2025,350.5,350.0,356.55,347.15,349.35,349.6,352.04,190036,669.0,9451, 94056, 49.49,-0.26
CAPACITE, EQ, 01-Jun-2020,76.8,78.0,80.6,78.0, 80.60,80.6,80.28,24363,19.56,361, 20563, 84.40,4.95
CAPACITE, EQ, 01-Jun-2021,211.25,213.0,214.5,204.0, 205.00,204.7,208.23,133269,277.5,4980, 62903, 47.20,-3.1
CAPACITE, EQ, 01-Jun-2022,116.6,118.6,120.1,114.35,119.0,118.75,118.2,163369,193.1,3377, 95153, 58.24,1.84
CAPACITE, EQ, 01-Jun-2023,164.45,165.45,171.5,164.3, 168.30,168.1,167.5,906100,1517.73,9689, 373160, 41.18,2.22
CAPACITE, EQ, 01-Jul-2020,111.8,111.0,116.0,110.6, 114.00,113.9,113.35,46434,52.63,814, 28434, 61.24,1.88
CAPACITE, EQ, 01-Jul-2021,194.0,194.65,208.2,193.25, 206.00,203.05,203.28,630649,1281.96,15615, 368654, 58.46,4.66
CAPACITE, EQ, 01-Jul-2022,114.9,113.5,117.15,112.2,114.1,115.5,114.78,43209,49.6,1637, 22396, 51.83,0.52
CAPACITE, EQ, 01-Jul-2024,310.55,314.0,314.0,306.2,308.0,307.85,309.57,375221,1161.57,10595, 194924, 51.95,-0.87
CAPACITE, EQ, 01-Aug-2022,108.45,109.4,109.4,105.1, 105.50,105.8,106.65,219507,234.11,3784, 168963, 76.97,-2.44
CAPACITE, EQ, 01-Aug-2023,219.65,221.6,222.45,217.75, 219.00,218.45,219.61,468422,1028.69,7799, 226725, 48.40,-0.55
CAPACITE, EQ, 01-Aug-2024,321.75,323.05,327.8,314.7,318.2,318.15,319.88,404896,1295.17,15671, 174000, 42.97,-1.12
CAPACITE, EQ, 01-Sep-2020,126.85,127.0,129.25,122.35, 125.00,124.2,124.88,55664,69.51,1742, 30959, 55.62,-2.09
CAPACITE, EQ, 01-Sep-2021,149.15,150.0,150.45,144.75,146.15,146.45,148.14,232131,343.88,4442, 143420, 61.78,-1.81
CAPACITE, EQ, 01-Sep-2022,165.45,164.8,172.0,164.0,168.0,166.85,167.91,439118,737.33,5378, 279024, 63.54,0.85
CAPACITE, EQ, 01-Sep-2023,207.2,207.45,234.25,207.45, 230.05,228.3,222.92,4511257,10056.68,48607, 1790085, 39.68,10.18
CAPACITE, EQ, 01-Oct-2020,118.35,119.85,121.6,118.4, 119.10,119.5,119.79,17450,20.9,528, 9977, 57.17,0.97
CAPACITE, EQ, 01-Oct-2021,162.7,163.55,166.45,162.05, 164.40,164.3,164.66,389142,640.76,4573, 248261, 63.80,0.98
CAPACITE, EQ, 01-Oct-2024,387.75,387.0,394.85,382.8,387.45,385.05,387.65,778563,3018.1,22034, 325682, 41.83,-0.7
CAPACITE, EQ, 01-Nov-2021,164.35,165.0,176.0,164.95, 176.00,174.0,170.96,321469,549.59,6897, 172365, 53.62,5.87
CAPACITE, EQ, 01-Nov-2022,160.15,160.5,163.0,159.05,161.4,161.65,160.46,103829,166.61,3609, 48785, 46.99,0.94
CAPACITE, EQ, 01-Nov-2023,208.55,209.0,213.5,205.0, 208.00,207.0,209.35,555829,1163.65,9765, 195228, 35.12,-0.74
CAPACITE, EQ, 01-Dec-2020,183.2,186.9,204.45,186.5,193.0,193.35,196.67,971695,1910.99,18460, 251218, 25.85,5.54
CAPACITE, EQ, 01-Dec-2021,169.4,170.25,174.1,166.5,168.0,167.9,168.83,129347,218.38,3468, 76972, 59.51,-0.89
CAPACITE, EQ, 01-Dec-2022,140.8,141.55,142.0,139.45,140.05,140.15,140.68,154013,216.67,2688, 102284, 66.41,-0.46
