SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
CESC, EQ, 01-Jan-2020,736.8,741.1,749.45,738.1, 747.00,746.8,742.79,240137,1783.7,4537, 86271, 35.93,1.36
CESC, EQ, 01-Jan-2021,614.3,617.0,623.95,615.25, 621.95,620.65,619.12,398747,2468.74,7207, 138228, 34.67,1.03
CESC, EQ, 01-Jan-2024,132.5,133.0,138.4,132.5, 136.35,136.85,135.64,16092130,21826.83,69596, 5554482, 34.52,3.28
CESC, EQ, 01-Jan-2025,185.93,185.93,186.95,184.5,185.69,186.12,185.61,2358037,4376.84,19105, 907981, 38.51,0.1
CESC, EQ, 01-Feb-2021,610.5,615.1,627.0,604.0, 621.05,623.5,617.95,263318,1627.17,9141, 81849, 31.08,2.13
CESC, EQ, 01-Feb-2022,84.7,85.25,85.55,83.7,84.4,84.35,84.64,1456345,1232.67,22326, 769110, 52.81,-0.41
CESC, EQ, 01-Feb-2023,72.45,72.7,73.7,71.75, 72.15,72.05,72.76,1654642,1203.99,11841, 804477, 48.62,-0.55
CESC, EQ, 01-Feb-2024,143.1,141.4,142.85,139.0, 140.40,140.1,140.8,6343323,8931.7,55514, 2458196, 38.75,-2.1
CESC, EQ, 01-Mar-2021,605.7,606.0,620.3,600.0, 620.30,616.95,610.72,323991,1978.67,8536, 138739, 42.82,1.86
CESC, EQ, 01-Mar-2023,69.35,69.35,70.0,69.35, 69.60,69.55,69.69,1664363,1159.9,9237, 970954, 58.34,0.29
CESC, EQ, 01-Mar-2024,126.85,126.85,129.3,125.85, 126.90,126.7,127.56,4674159,5962.29,38331, 1741924, 37.27,-0.12
CESC, EQ, 01-Apr-2020,408.55,412.55,415.0,386.9,389.4,393.15,400.27,365626,1463.48,14754, 86833, 23.75,-3.77
CESC, EQ, 01-Apr-2021,593.55,599.9,610.0,595.0, 605.00,605.55,605.33,149710,906.24,6283, 54686, 36.53,2.02
CESC, EQ, 01-Apr-2022,75.85,75.75,79.4,75.4, 78.95,78.75,78.13,1961586,1532.67,11923, 960619, 48.97,3.82
CESC, EQ, 01-Apr-2024,121.65,123.4,126.4,122.55, 126.25,125.5,125.18,5201212,6510.85,28379, 3195645, 61.44,3.16
CESC, EQ, 01-Apr-2025,153.86,153.48,155.3,150.98,153.44,152.98,152.83,3018543,4613.36,22666, 1163167, 38.53,-0.57
CESC, EQ, 01-Jun-2020,552.35,564.45,634.2,560.55, 610.00,612.6,595.63,1058181,6302.81,20675, 216464, 20.46,10.91
CESC, EQ, 01-Jun-2021,684.7,689.9,691.15,676.9, 681.00,680.2,683.3,165994,1134.24,6985, 72575, 43.72,-0.66
CESC, EQ, 01-Jun-2022,78.0,78.0,79.35,77.8,78.25,78.2,78.57,1178821,926.23,6199, 573236, 48.63,0.26
CESC, EQ, 01-Jun-2023,69.25,69.3,69.5,69.0, 69.30,69.15,69.23,1261569,873.44,8173, 753261, 59.71,-0.14
CESC, EQ, 01-Jul-2020,622.0,622.05,645.0,620.5, 644.50,641.65,636.05,584410,3717.14,12437, 150770, 25.80,3.16
CESC, EQ, 01-Jul-2021,769.9,770.0,774.3,766.0, 771.00,770.45,770.48,192813,1485.59,12042, 90660, 47.02,0.07
