SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
CORDSCABLE, EQ, 01-Jan-2020,41.55,43.0,43.0,40.25, 41.00,41.0,41.1,10227,4.2,360, 6981, 68.26,-1.32
CORDSCABLE, EQ, 01-Jan-2021,45.65,45.85,46.85,45.15, 45.85,45.7,45.89,24708,11.34,254, 17373, 70.31,0.11
CORDSCABLE, EQ, 01-Jan-2024,113.1,115.5,115.5,112.9, 113.20,113.3,113.91,30760,35.04,615, 20106, 65.36,0.18
CORDSCABLE, EQ, 01-Jan-2025,208.55,211.7,214.85,209.0,212.0,210.98,211.54,17232,36.45,771, 9364, 54.34,1.17
CORDSCABLE, EQ, 01-Feb-2021,44.95,45.5,46.3,44.0, 45.15,45.25,44.75,37485,16.77,711, 19632, 52.37,0.67
CORDSCABLE, EQ, 01-Feb-2022,60.0,60.2,60.45,58.3,58.4,58.6,59.15,25769,15.24,464, 14664, 56.91,-2.33
CORDSCABLE, EQ, 01-Feb-2023,71.35,70.0,72.0,68.0, 69.30,69.4,70.09,61167,42.87,1143, 32056, 52.41,-2.73
CORDSCABLE, EQ, 01-Feb-2024,141.8,141.8,146.0,134.25, 134.90,135.45,140.21,1075660,1508.18,11635, 430900, 40.06,-4.48
CORDSCABLE, EQ, 01-Mar-2021,42.05,43.0,43.0,40.8, 41.50,41.35,41.84,57085,23.88,396, 44320, 77.64,-1.66
CORDSCABLE, EQ, 01-Mar-2023,66.05,65.5,68.95,64.95, 67.60,68.1,67.39,62969,42.43,715, 39603, 62.89,3.1
CORDSCABLE, EQ, 01-Apr-2020,24.5,24.75,25.6,24.65,25.0,25.35,25.11,3372,0.85,60, 2445, 72.51,3.47
CORDSCABLE, EQ, 01-Apr-2021,39.5,39.1,41.4,39.1, 41.10,41.1,40.77,25456,10.38,352, 10061, 39.52,4.05
CORDSCABLE, EQ, 01-Apr-2022,50.2,51.05,52.75,50.65, 52.75,52.55,51.95,24098,12.52,456, 14702, 61.01,4.68
CORDSCABLE, EQ, 01-Apr-2025,157.07,156.99,166.5,155.09,160.41,161.02,161.79,48296,78.14,1971, 19910, 41.22,2.51
CORDSCABLE, EQ, 01-Jun-2020,30.0,30.95,31.4,30.7, 30.70,30.75,31.16,3499,1.09,30, 2675, 76.45,2.5
CORDSCABLE, EQ, 01-Jun-2021,52.75,53.65,54.5,51.7, 52.50,52.2,52.98,192161,101.81,2254, 110231, 57.36,-1.04
CORDSCABLE, EQ, 01-Jun-2022,54.45,55.0,56.15,54.9,55.0,55.25,55.35,9605,5.32,308, 3814, 39.71,1.47
CORDSCABLE, EQ, 01-Jun-2023,91.1,90.55,94.2,90.55, 92.10,91.75,92.57,154453,142.97,1976, 64564, 41.80,0.71
CORDSCABLE, EQ, 01-Jul-2020,37.9,38.0,38.75,37.05, 38.75,38.5,38.11,6519,2.48,135, 5104, 78.29,1.58
CORDSCABLE, EQ, 01-Jul-2021,67.95,68.4,68.5,61.2, 64.65,64.6,64.08,442058,283.25,4431, 194034, 43.89,-4.93
CORDSCABLE, EQ, 01-Jul-2022,52.5,51.05,52.9,51.05,52.8,52.4,52.2,3985,2.08,110, 2086, 52.35,-0.19
CORDSCABLE, EQ, 01-Aug-2022,55.0,56.0,56.8,54.85, 55.05,55.35,55.58,39369,21.88,622, 26714, 67.86,0.64
CORDSCABLE, EQ, 01-Sep-2020,40.9,40.9,44.8,40.0, 42.75,42.15,41.83,20974,8.77,510, 12216, 58.24,3.06
CORDSCABLE, EQ, 01-Sep-2021,53.1,53.2,53.9,52.6,53.0,52.95,53.12,18727,9.95,403, 9613, 51.33,-0.28
CORDSCABLE, EQ, 01-Sep-2022,61.3,61.3,65.65,60.65,63.9,63.5,63.26,90216,57.07,1422, 57047, 63.23,3.59
CORDSCABLE, EQ, 01-Oct-2020,38.4,38.35,42.6,37.6, 41.30,41.25,39.8,43021,17.12,576, 24954, 58.00,7.42
CORDSCABLE, EQ, 01-Oct-2021,53.45,53.45,53.85,52.5, 53.80,53.3,53.23,26481,14.09,459, 16718, 63.13,-0.28
CORDSCABLE, EQ, 01-Oct-2024,223.62,227.45,230.59,216.79,218.3,218.67,222.61,55284,123.06,904, 38283, 69.25,-2.21
CORDSCABLE, EQ, 01-Nov-2021,52.35,53.6,53.65,52.5, 52.55,52.7,52.88,15106,7.99,250, 9284, 61.46,0.67
CORDSCABLE, EQ, 01-Nov-2022,68.6,70.05,71.8,67.35,67.5,67.6,68.92,64939,44.76,1051, 28119, 43.30,-1.46
CORDSCABLE, EQ, 01-Nov-2023,110.25,111.15,116.0,109.95, 112.85,113.1,113.32,127583,144.57,2311, 71009, 55.66,2.59
CORDSCABLE, EQ, 01-Dec-2020,42.35,41.35,43.85,41.35,43.4,43.25,42.48,19750,8.39,247, 11379, 57.62,2.13
CORDSCABLE, EQ, 01-Dec-2021,48.75,50.15,50.2,48.9,49.45,49.1,49.26,15991,7.88,205, 13107, 81.96,0.72
CORDSCABLE, EQ, 01-Dec-2022,70.3,71.85,71.85,69.2,69.65,70.1,70.21,36359,25.53,775, 22501, 61.89,-0.28
