SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
CORPBANK, EQ, 01-Jan-2020,25.2,25.4,26.2,25.1, 25.30,25.25,25.57,1488100,380.54,4277, 584472, 39.28,0.2
CORPBANK, EQ, 02-Jan-2020,25.25,25.1,25.7,24.9, 25.40,25.4,25.38,864891,219.53,2184, 334869, 38.72,0.59
CORPBANK, EQ, 02-Mar-2020,16.7,16.95,18.3,16.95, 17.40,17.55,17.88,702915,125.7,3149, 272290, 38.74,5.09
CORPBANK, EQ, 03-Jan-2020,25.4,25.3,25.5,24.95, 25.00,25.05,25.14,677998,170.48,1715, 403640, 59.53,-1.38
CORPBANK, EQ, 03-Feb-2020,22.6,22.6,22.6,21.25, 21.80,21.9,21.89,472320,103.4,2471, 196460, 41.59,-3.1
CORPBANK, EQ, 03-Mar-2020,17.55,17.55,18.3,17.5, 17.90,17.9,17.85,427256,76.28,1620, 169861, 39.76,1.99
CORPBANK, EQ, 04-Feb-2020,21.9,22.4,22.4,21.9, 22.35,22.3,22.15,338989,75.08,1345, 152200, 44.90,1.83
CORPBANK, EQ, 04-Mar-2020,17.9,18.0,19.25,17.65, 18.40,18.65,18.49,1044375,193.15,3627, 272181, 26.06,4.19
CORPBANK, EQ, 05-Feb-2020,22.3,22.3,22.95,22.0, 22.65,22.7,22.5,208913,47.0,851, 104106, 49.83,1.79
CORPBANK, EQ, 05-Mar-2020,18.65,19.15,19.35,18.65, 19.25,19.0,19.02,865753,164.68,2599, 284231, 32.83,1.88
CORPBANK, EQ, 06-Jan-2020,25.05,24.9,24.9,23.9, 24.15,24.05,24.21,974757,235.98,2715, 491555, 50.43,-3.99
CORPBANK, EQ, 06-Feb-2020,22.7,22.5,23.8,22.5, 23.25,23.25,23.23,601480,139.72,2131, 227711, 37.86,2.42
CORPBANK, EQ, 06-Mar-2020,19.0,16.4,16.5,15.2, 15.20,15.2,15.45,2819624,435.76,6327, 1415171, 50.19,-20.0
CORPBANK, EQ, 07-Jan-2020,24.05,24.2,25.0,24.15, 24.35,24.35,24.47,502363,122.92,1495, 188479, 37.52,1.25
CORPBANK, EQ, 07-Feb-2020,23.25,23.35,27.2,23.3, 25.55,25.55,25.87,8973370,2321.71,19986, 1571062, 17.51,9.89
CORPBANK, EQ, 08-Jan-2020,24.35,24.0,24.35,23.5, 24.15,24.05,24.02,606172,145.62,1775, 224639, 37.06,-1.23
