SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
CYBERMEDIA, EQ, 01-Jan-2024,31.55,30.55,31.7,30.55, 31.00,30.8,31.11,77035,23.97,681, 46117, 59.86,-2.38
CYBERMEDIA, EQ, 01-Jan-2025,26.09,26.46,26.67,25.58,26.05,26.06,26.05,29762,7.75,656, 7923, 26.62,-0.11
CYBERMEDIA, EQ, 01-Feb-2023,18.75,19.6,19.6,18.1, 19.20,19.0,18.91,52495,9.93,425, 34130, 65.02,1.33
CYBERMEDIA, EQ, 01-Mar-2023,17.95,18.0,18.5,17.4, 18.25,18.15,18.04,3333,0.6,88, 2239, 67.18,1.11
CYBERMEDIA, EQ, 01-Jun-2021,10.6,11.1,11.1,10.25, 10.50,10.55,10.84,11830,1.28,75, 10578, 89.42,-0.47
CYBERMEDIA, EQ, 01-Jun-2023,16.65,16.7,17.8,16.25, 17.00,17.0,17.1,85711,14.66,287, 41106, 47.96,2.1
CYBERMEDIA, EQ, 01-Jul-2021,10.55,10.65,10.9,10.35, 10.55,10.55,10.7,7812,0.84,81, 6082, 77.85,0.0
CYBERMEDIA, EQ, 01-Jul-2022,16.9,17.1,17.5,16.3,17.15,17.0,17.12,5523,0.95,68, 961, 17.40,0.59
CYBERMEDIA, EQ, 01-Aug-2022,14.0,14.7,14.7,13.55, 13.70,14.0,14.22,26774,3.81,152, 13089, 48.89,0.0
CYBERMEDIA, EQ, 01-Aug-2023,15.25,15.6,15.75,15.25, 15.50,15.35,15.45,55841,8.63,361, 40625, 72.75,0.66
CYBERMEDIA, EQ, 01-Aug-2024,30.36,30.5,32.68,29.46,31.91,32.1,31.46,192306,60.49,1204, 96541, 50.20,5.73
CYBERMEDIA, EQ, 01-Sep-2022,16.35,17.0,17.0,16.05,16.8,16.6,16.54,13733,2.27,113, 8247, 60.05,1.53
CYBERMEDIA, EQ, 01-Sep-2023,18.25,18.65,19.5,18.05, 18.90,18.55,18.82,237570,44.7,1063, 161262, 67.88,1.64
CYBERMEDIA, EQ, 01-Oct-2024,26.69,26.67,27.64,26.24,27.16,27.21,27.15,122845,33.35,1940, 46476, 37.83,1.95
CYBERMEDIA, EQ, 01-Nov-2021,8.8,8.75,9.0,8.65, 8.80,8.95,8.86,5767,0.51,71, 3907, 67.75,1.7
CYBERMEDIA, EQ, 01-Nov-2022,17.5,17.5,18.35,17.0,17.85,17.85,17.73,28974,5.14,223, 19162, 66.14,2.0
CYBERMEDIA, EQ, 01-Dec-2021,9.35,9.65,9.65,8.95,9.45,9.3,9.21,14780,1.36,95, 5119, 34.63,-0.53
CYBERMEDIA, EQ, 01-Dec-2022,19.05,19.0,19.5,18.4,18.75,18.8,19.01,24674,4.69,177, 16290, 66.02,-1.31
CYBERMEDIA, EQ, 02-Jan-2023,18.7,19.4,20.5,18.65, 18.65,18.75,18.94,27721,5.25,226, 18183, 65.59,0.27
CYBERMEDIA, EQ, 02-Jan-2024,30.8,30.8,31.7,30.6, 31.00,31.0,31.0,90720,28.12,609, 56833, 62.65,0.65
CYBERMEDIA, EQ, 02-Jan-2025,26.06,26.86,26.86,25.5,25.7,25.74,25.83,10602,2.74,183, 6645, 62.68,-1.23
CYBERMEDIA, EQ, 02-Feb-2023,19.0,19.95,19.95,17.6, 18.90,18.65,18.61,16489,3.07,207, 6831, 41.43,-1.84
CYBERMEDIA, EQ, 02-Mar-2023,18.15,17.7,18.45,17.7, 18.10,17.85,17.98,5120,0.92,121, 3681, 71.89,-1.65
CYBERMEDIA, EQ, 02-May-2023,17.25,17.25,17.95,16.4, 16.90,16.85,17.14,51956,8.9,326, 36655, 70.55,-2.32
CYBERMEDIA, EQ, 02-Jun-2021,10.55,10.85,11.0,10.45, 10.75,10.75,10.61,17533,1.86,51, 16892, 96.34,1.9
CYBERMEDIA, EQ, 02-Jun-2023,17.0,17.05,17.5,16.8, 17.10,17.05,17.18,30644,5.26,178, 15594, 50.89,0.29
CYBERMEDIA, EQ, 02-Jul-2021,10.55,10.85,11.0,10.4,10.55,10.85,10.78,22933,2.47,175, 16903, 73.71,2.84
CYBERMEDIA, EQ, 02-Aug-2022,14.0,14.55,14.7,13.7,14.7,14.5,14.24,21068,3.0,85, 15022, 71.30,3.57
CYBERMEDIA, EQ, 02-Aug-2023,15.35,15.5,15.5,15.2, 15.20,15.35,15.43,36396,5.61,327, 27719, 76.16,0.0
