SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DCMNVL, EQ, 01-Jan-2020,30.2,30.8,31.9,30.05, 31.40,31.4,30.74,1091,0.34,13, 1002, 91.84,3.97
DCMNVL, EQ, 01-Jan-2024,173.5,174.85,181.85,174.0, 179.80,178.3,178.32,50379,89.84,1022, 39005, 77.42,2.77
DCMNVL, EQ, 01-Jan-2025,207.6,210.7,212.8,208.02,208.82,209.7,210.17,7243,15.22,418, 4275, 59.02,1.01
DCMNVL, EQ, 01-Feb-2022,290.8,291.8,296.9,282.05,285.0,284.8,287.53,47736,137.26,1412, 27558, 57.73,-2.06
DCMNVL, EQ, 01-Feb-2023,160.35,163.0,163.0,154.95, 155.90,156.25,159.88,40756,65.16,1128, 26580, 65.22,-2.56
DCMNVL, EQ, 01-Feb-2024,193.15,195.0,197.0,189.8, 194.00,194.6,194.48,65421,127.23,1916, 43783, 66.92,0.75
DCMNVL, EQ, 01-Mar-2023,130.3,130.3,136.4,130.25, 134.00,133.75,134.44,41883,56.31,575, 30291, 72.32,2.65
DCMNVL, EQ, 01-Mar-2024,179.65,180.95,182.9,178.65, 182.45,181.55,181.2,14433,26.15,466, 10901, 75.53,1.06
DCMNVL, EQ, 01-Apr-2020,23.9,23.0,28.4,23.0,23.05,23.05,23.21,2752,0.64,36, 2628, 95.49,-3.56
DCMNVL, EQ, 01-Apr-2022,232.8,233.8,244.4,232.25, 241.15,242.0,242.49,89367,216.7,1423, 45907, 51.37,3.95
DCMNVL, EQ, 01-Apr-2024,190.1,191.05,209.0,191.05, 205.65,205.55,203.86,107580,219.32,6426, 34944, 32.48,8.13
DCMNVL, EQ, 01-Apr-2025,148.39,148.39,155.29,148.0,152.4,152.6,152.23,15398,23.44,1230, 4444, 28.86,2.84
DCMNVL, EQ, 01-Jun-2020,22.4,23.0,23.55,22.15, 22.15,22.5,22.91,6798,1.56,719, 1173, 17.26,0.45
