SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DCW, EQ, 01-Jan-2020,14.45,14.6,14.6,14.2, 14.35,14.3,14.36,109459,15.72,302, 60913, 55.65,-1.04
DCW, EQ, 01-Jan-2021,19.15,19.4,19.4,18.9, 19.15,19.15,19.13,505210,96.64,1312, 381309, 75.48,0.0
DCW, EQ, 01-Jan-2024,56.9,56.8,58.35,56.5, 56.70,56.85,57.44,3032516,1741.94,10257, 1465219, 48.32,-0.09
DCW, EQ, 01-Jan-2025,91.6,91.85,92.7,89.5,89.75,89.98,91.25,1023826,934.23,10308, 416941, 40.72,-1.77
DCW, EQ, 01-Feb-2021,19.7,19.25,20.4,19.25, 20.00,19.95,19.86,523888,104.03,955, 370152, 70.65,1.27
DCW, EQ, 01-Feb-2022,44.25,44.8,46.45,43.6,46.45,46.45,45.46,1017250,462.45,3550, 730436, 71.80,4.97
DCW, EQ, 01-Feb-2023,48.4,48.6,49.8,46.5, 48.45,48.55,48.66,674603,328.28,3658, 406415, 60.25,0.31
DCW, EQ, 01-Feb-2024,69.0,69.7,70.25,66.2, 67.60,67.0,67.68,16901068,11438.89,42495, 5988114, 35.43,-2.9
DCW, EQ, 01-Mar-2021,25.95,26.75,29.7,26.15, 29.00,28.95,28.28,7127862,2015.78,14392, 3725615, 52.27,11.56
DCW, EQ, 01-Mar-2023,47.35,47.25,48.35,47.25, 47.85,47.8,47.93,516937,247.75,2340, 308683, 59.71,0.95
DCW, EQ, 01-Mar-2024,56.85,57.2,58.45,57.2, 57.90,57.75,57.74,2579836,1489.71,8140, 1155460, 44.79,1.58
DCW, EQ, 01-Apr-2020,7.25,7.65,7.85,7.3,7.65,7.6,7.52,142167,10.69,446, 65196, 45.86,4.83
DCW, EQ, 01-Apr-2021,26.2,26.25,28.7,26.25, 28.25,28.15,27.63,1356051,374.66,2750, 750797, 55.37,7.44
DCW, EQ, 01-Apr-2022,40.85,40.6,42.85,40.55, 42.85,42.8,42.34,663564,280.98,2151, 514867, 77.59,4.77
DCW, EQ, 01-Apr-2024,51.4,52.0,55.75,52.0, 53.60,53.45,54.13,9770528,5288.69,17414, 1647299, 16.86,3.99
DCW, EQ, 01-Apr-2025,77.79,77.5,81.25,77.27,80.55,80.32,79.25,644224,510.52,8856, 219482, 34.07,3.25
DCW, EQ, 01-Jun-2020,10.2,10.2,10.75,10.2, 10.60,10.55,10.53,229801,24.2,815, 131725, 57.32,3.43
DCW, EQ, 01-Jun-2021,37.2,37.3,37.5,35.35, 36.30,36.15,36.28,1747801,634.18,7373, 856222, 48.99,-2.82
DCW, EQ, 01-Jun-2022,41.45,41.6,42.9,40.95,42.4,42.45,42.0,948906,398.58,3308, 536684, 56.56,2.41
DCW, EQ, 01-Jun-2023,44.05,44.15,44.7,44.0, 44.25,44.1,44.26,713555,315.8,3089, 431232, 60.43,0.11
DCW, EQ, 01-Jul-2020,12.45,12.65,12.65,12.25, 12.35,12.4,12.42,234767,29.15,660, 148276, 63.16,-0.4
DCW, EQ, 01-Jul-2021,40.05,40.25,40.3,39.15, 39.35,39.3,39.56,1649735,652.57,6911, 767983, 46.55,-1.87
DCW, EQ, 01-Jul-2022,36.1,35.55,36.8,35.55,35.85,35.85,35.93,91776,32.97,842, 54772, 59.68,-0.69
DCW, EQ, 01-Jul-2024,55.25,55.06,56.47,55.0,56.1,56.08,55.93,1455485,814.07,8455, 560636, 38.52,1.5
DCW, EQ, 01-Aug-2022,38.7,39.35,39.8,37.75, 37.95,37.9,38.46,1368169,526.25,5096, 1017500, 74.37,-2.07
DCW, EQ, 01-Aug-2023,44.8,45.0,48.0,44.85, 47.50,47.55,46.75,9090118,4249.87,20883, 4100760, 45.11,6.14
DCW, EQ, 01-Aug-2024,70.68,70.99,72.99,68.81,69.65,69.61,71.03,10232027,7267.56,24543, 4058089, 39.66,-1.51
DCW, EQ, 01-Sep-2020,13.8,13.85,14.5,13.4, 14.20,14.15,14.07,456931,64.28,1216, 191643, 41.94,2.54
DCW, EQ, 01-Sep-2021,35.8,35.65,36.0,35.05,35.2,35.2,35.45,842229,298.54,3369, 435194, 51.67,-1.68
DCW, EQ, 01-Sep-2022,48.55,48.55,49.45,47.5,49.25,49.0,48.49,2486696,1205.82,8426, 1226549, 49.32,0.93
DCW, EQ, 01-Sep-2023,54.1,54.4,56.2,54.0, 54.20,54.2,54.91,4286327,2353.56,13188, 1932669, 45.09,0.18
DCW, EQ, 01-Oct-2020,15.1,15.25,16.25,15.15, 15.35,15.4,15.69,1363918,214.02,2824, 434232, 31.84,1.99
DCW, EQ, 01-Oct-2021,47.7,47.4,50.8,46.8, 49.00,48.95,49.35,15980915,7887.14,37361, 4546813, 28.45,2.62
DCW, EQ, 01-Oct-2024,94.27,94.11,107.69,94.11,105.9,106.34,103.28,18124972,18720.15,59340, 5548008, 30.61,12.8
DCW, EQ, 01-Nov-2022,60.1,60.25,61.0,58.6,59.8,59.75,59.71,1769479,1056.56,7867, 897646, 50.73,-0.58
DCW, EQ, 01-Nov-2023,53.45,53.6,54.4,53.05, 53.20,53.2,53.6,1031498,552.93,3766, 355533, 34.47,-0.47
DCW, EQ, 01-Dec-2020,16.9,16.9,17.3,16.8,16.9,17.0,17.09,428716,73.27,933, 300890, 70.18,0.59
DCW, EQ, 01-Dec-2022,51.4,51.6,54.0,51.5,53.45,53.4,53.15,3945878,2097.22,13602, 1619672, 41.05,3.89
DCW, EQ, 01-Dec-2023,51.4,51.8,52.2,51.1, 51.30,51.25,51.51,1378482,709.99,5122, 765343, 55.52,-0.29
DCW, EQ, 02-Jan-2020,14.3,14.15,15.6,14.15, 15.15,15.0,14.96,373801,55.93,1020, 195421, 52.28,4.9
DCW, EQ, 02-Jan-2023,51.05,51.15,53.2,51.1, 51.90,52.0,52.3,1892074,989.63,7958, 801839, 42.38,1.86
DCW, EQ, 02-Jan-2024,56.85,57.55,59.8,56.1, 57.70,57.75,58.12,11692876,6795.72,25962, 3113129, 26.62,1.58
DCW, EQ, 02-Jan-2025,89.98,90.34,92.54,89.4,91.5,91.52,90.56,1477092,1337.63,10548, 787279, 53.30,1.71
DCW, EQ, 02-Feb-2021,19.95,20.0,21.4,20.0, 20.35,20.4,20.55,753640,154.9,1209, 512290, 67.98,2.26
DCW, EQ, 02-Feb-2022,46.45,47.0,48.75,46.5, 48.75,48.75,47.91,2648066,1268.59,8069, 1579350, 59.64,4.95
DCW, EQ, 02-Feb-2023,48.55,48.0,50.2,47.8, 49.75,49.55,49.32,484168,238.81,2887, 294743, 60.88,2.06
DCW, EQ, 02-Feb-2024,67.0,67.8,71.0,66.75, 67.70,67.65,68.5,16129852,11048.75,38828, 5853260, 36.29,0.97
DCW, EQ, 02-Mar-2020,13.35,13.8,14.25,12.7, 12.95,12.95,13.43,388471,52.18,992, 241785, 62.24,-3.0
DCW, EQ, 02-Mar-2021,28.95,29.3,30.75,28.7,29.2,29.35,29.8,6618023,1971.92,10614, 3562119, 53.82,1.38
DCW, EQ, 02-Mar-2022,38.4,38.05,39.8,38.0, 39.20,39.05,39.07,384966,150.42,1667, 224378, 58.29,1.69
DCW, EQ, 02-Mar-2023,47.8,47.9,48.2,47.45, 47.55,47.6,47.82,296108,141.59,1693, 157948, 53.34,-0.42
DCW, EQ, 02-Apr-2024,53.45,53.65,54.6,53.5, 54.45,54.2,54.08,2362868,1277.8,7498, 931982, 39.44,1.4
DCW, EQ, 02-Apr-2025,80.32,80.32,80.8,78.05,79.43,79.89,79.88,510172,407.5,8355, 198638, 38.94,-0.54
