SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DHANVARSHA, EQ, 01-Jun-2022,79.55,79.95,81.7,77.1,78.35,78.3,78.81,839285,661.45,7487, 512800, 61.10,-1.57
DHANVARSHA, EQ, 01-Jul-2022,107.45,107.8,110.7,97.5,99.7,99.75,101.77,966980,984.12,18895, 362997, 37.54,-7.17
DHANVARSHA, EQ, 01-Aug-2022,90.2,89.0,96.75,88.2, 93.70,94.2,93.33,1081039,1008.96,5654, 565672, 52.33,4.43
DHANVARSHA, EQ, 02-Jun-2022,78.3,78.9,79.5,74.85,78.0,77.9,77.59,912855,708.26,2298, 818960, 89.71,-0.51
DHANVARSHA, EQ, 02-Aug-2022,94.2,93.85,97.65,91.0,92.95,94.15,94.49,481823,455.29,12157, 156235, 32.43,-0.05
DHANVARSHA, EQ, 03-Jun-2022,77.9,78.85,81.5,76.75, 79.00,80.05,78.14,1001243,782.41,2966, 527398, 52.67,2.76
DHANVARSHA, EQ, 03-Aug-2022,94.15,93.5,96.1,93.1, 94.00,93.8,95.13,701440,667.27,17806, 273519, 38.99,-0.37
DHANVARSHA, EQ, 04-Jul-2022,99.75,102.9,103.0,93.6,96.65,98.2,98.43,293643,289.02,6505, 125539, 42.75,-1.55
DHANVARSHA, EQ, 04-Aug-2022,93.8,94.9,99.2,94.0,96.5,96.55,96.77,978428,946.85,39456, 316661, 32.36,2.93
DHANVARSHA, EQ, 05-Jul-2022,98.2,96.3,101.8,96.3,97.3,97.75,99.45,254892,253.48,2407, 109690, 43.03,-0.46
DHANVARSHA, EQ, 05-Aug-2022,96.55,97.1,98.05,92.65,93.5,93.65,94.81,234738,222.56,2658, 136220, 58.03,-3.0
DHANVARSHA, EQ, 06-Jun-2022,80.05,79.75,83.5,78.0,78.5,78.9,79.77,287113,229.02,14458, 132049, 45.99,-1.44
DHANVARSHA, EQ, 06-Jul-2022,97.75,97.0,107.5,94.85,96.75,97.7,100.25,736662,738.48,6112, 278505, 37.81,-0.05
DHANVARSHA, EQ, 07-Jun-2022,78.9,78.0,79.65,76.75,77.3,77.15,78.35,126435,99.06,2313, 30796, 24.36,-2.22
DHANVARSHA, EQ, 07-Jul-2022,97.7,98.7,104.0,97.3, 100.10,100.6,101.38,1196374,1212.85,22489, 720880, 60.26,2.97
DHANVARSHA, EQ, 08-Jun-2022,77.15,77.15,83.5,77.15,80.7,79.6,80.38,366291,294.43,26490, 94821, 25.89,3.18
DHANVARSHA, EQ, 08-Jul-2022,100.6,101.5,103.5,99.0,100.4,100.65,100.92,237219,239.4,2611, 123427, 52.03,0.05
DHANVARSHA, EQ, 08-Aug-2022,93.65,93.85,94.85,88.55,89.0,89.1,90.89,200140,181.92,2101,111990,55.96,-4.86
DHANVARSHA, EQ, 09-Jun-2022,79.6,80.7,82.0,79.05, 79.55,80.0,80.84,141162,114.12,7114, 57296, 40.59,0.5
DHANVARSHA, EQ, 10-May-2022,88.0,93.4,96.9,77.45, 88.80,89.9,89.97,1797621,1617.33,17283, 808388, 44.97,2.16
DHANVARSHA, EQ, 10-Jun-2022,80.0,80.95,80.95,78.1,78.5,78.45,79.27,113665,90.1,680, 59259, 52.13,-1.94
DHANVARSHA, EQ, 10-Aug-2022,89.1,88.95,91.95,87.4,87.55,88.05,88.96,271554,241.56,2226, 185387, 68.27,-1.18
DHANVARSHA, EQ, 11-May-2022,89.9,90.0,92.5,83.0,85.65,87.85,88.46,931995,824.46,6861, 358938, 38.51,-2.28
DHANVARSHA, EQ, 11-Jul-2022,100.65,96.85,102.7,96.85,97.15,97.2,98.37,154309,151.8,1683, 85524, 55.42,-3.43
DHANVARSHA, EQ, 11-Aug-2022,88.05,89.05,89.05,84.0,84.6,85.7,86.9,191818,166.7,2077, 119227, 62.16,-2.67
DHANVARSHA, EQ, 12-May-2022,87.85,87.85,88.9,81.8,82.55,82.85,84.47,272284,230.01,1821, 187265, 68.78,-5.69
DHANVARSHA, EQ, 12-Jul-2022,97.2,97.2,98.5,96.0,96.05,96.6,97.51,120845,117.83,1185, 39468, 32.66,-0.62
DHANVARSHA, EQ, 12-Aug-2022,85.7,86.45,86.45,80.85,81.7,81.7,82.99,163022,135.29,2768, 74103, 45.46,-4.67
DHANVARSHA, EQ, 13-May-2022,82.85,82.85,89.1,80.0,80.9,81.45,84.86,273194,231.84,4996, 134547, 49.25,-1.69
