SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DHARAMSI, EQ, 01-Feb-2022,367.9,367.9,390.0,362.75,390.0,383.4,376.51,10433,39.28,1033, 6948, 66.60,4.21
DHARAMSI, EQ, 01-Apr-2022,363.3,369.0,377.0,362.05, 365.00,365.95,366.59,12827,47.02,620, 9162, 71.43,0.73
DHARAMSI, EQ, 01-Jun-2022,381.65,371.1,393.0,371.1,380.1,378.75,383.35,10336,39.62,1077, 5532, 53.52,-0.76
DHARAMSI, EQ, 01-Jul-2022,363.45,355.15,366.0,351.4,362.1,363.2,358.04,4548,16.28,297, 2099, 46.15,-0.07
DHARAMSI, EQ, 01-Aug-2022,360.7,364.0,364.95,353.65, 355.50,357.05,359.02,12121,43.52,588, 8201, 67.66,-1.01
DHARAMSI, EQ, 01-Sep-2022,380.75,384.0,388.0,377.2,385.0,384.95,384.31,23243,89.33,826, 17237, 74.16,1.1
DHARAMSI, EQ, 01-Nov-2022,367.6,368.0,373.4,362.2,362.7,363.55,367.32,14627,53.73,1484, 8990, 61.46,-1.1
DHARAMSI, EQ, 01-Dec-2021,307.1,310.9,343.0,300.05,302.05,305.95,308.28,9544,29.42,1131, 4539, 47.56,-0.37
DHARAMSI, EQ, 02-Feb-2022,383.4,390.0,398.95,380.85, 380.85,384.1,389.28,19398,75.51,1856, 9758, 50.30,0.18
DHARAMSI, EQ, 02-Mar-2022,343.45,345.0,347.25,331.05, 338.10,339.45,340.93,14964,51.02,1276, 8305, 55.50,-1.16
DHARAMSI, EQ, 02-May-2022,441.15,440.0,479.45,427.05,458.9,455.05,457.84,104789,479.76,4874, 42431, 40.49,3.15
DHARAMSI, EQ, 02-Jun-2022,378.75,376.35,387.05,376.05,379.7,382.8,382.72,11160,42.71,1111, 5543, 49.67,1.07
DHARAMSI, EQ, 02-Aug-2022,357.05,359.0,364.3,358.0,361.15,359.35,361.72,8468,30.63,346, 6614, 78.11,0.64
DHARAMSI, EQ, 02-Sep-2022,384.95,389.75,428.0,385.85,407.7,402.7,406.85,70261,285.86,3405, 35550, 50.60,4.61
DHARAMSI, EQ, 02-Dec-2021,305.95,317.0,330.0,307.95, 315.30,314.15,315.1,24043,75.76,996, 13091, 54.45,2.68
DHARAMSI, EQ, 03-Jan-2022,332.75,332.75,341.0,313.65, 328.50,324.65,329.49,15352,50.58,712, 9952, 64.83,-2.43
DHARAMSI, EQ, 03-Feb-2022,384.1,391.7,394.3,375.0, 375.40,377.0,381.99,7211,27.55,774, 3610, 50.06,-1.85
DHARAMSI, EQ, 03-Mar-2022,339.45,340.0,352.0,332.5,334.0,334.95,339.98,14649,49.8,1204, 9915, 67.68,-1.33
DHARAMSI, EQ, 03-Jun-2022,382.8,384.0,388.4,362.0, 366.85,365.65,372.4,19904,74.12,1407, 10310, 51.80,-4.48
DHARAMSI, EQ, 03-Aug-2022,359.35,355.0,386.75,355.0, 367.05,367.45,371.44,43759,162.54,1925, 27761, 63.44,2.25
DHARAMSI, EQ, 03-Oct-2022,387.45,385.25,389.0,376.0,379.9,377.6,382.9,17139,65.63,1997, 9229, 53.85,-2.54
DHARAMSI, EQ, 03-Dec-2021,314.15,323.95,323.95,310.15, 313.75,313.45,315.7,8269,26.11,348, 5501, 66.53,-0.22
DHARAMSI, EQ, 04-Jan-2022,324.65,326.0,334.0,317.35, 323.00,319.9,326.63,10573,34.53,872, 4667, 44.14,-1.46
DHARAMSI, EQ, 04-Feb-2022,377.0,376.0,381.9,368.0, 372.75,372.35,374.92,7265,27.24,484, 4879, 67.16,-1.23
DHARAMSI, EQ, 04-Mar-2022,334.95,330.0,339.6,330.0, 336.50,335.05,335.17,9513,31.88,781, 5583, 58.69,0.03
DHARAMSI, EQ, 04-Apr-2022,365.95,370.0,394.5,369.05,383.75,383.1,383.28,42853,164.25,3067, 20506, 47.85,4.69
DHARAMSI, EQ, 04-May-2022,455.05,463.9,465.0,420.0,429.0,424.1,441.92,59371,262.37,3140, 39559, 66.63,-6.8
DHARAMSI, EQ, 04-Jul-2022,363.2,362.0,376.5,357.0,375.0,374.2,371.0,10645,39.49,559, 7536, 70.79,3.03
DHARAMSI, EQ, 04-Aug-2022,367.45,369.25,399.0,367.05,391.15,393.0,386.01,67596,260.93,2718, 41225, 60.99,6.95
DHARAMSI, EQ, 04-Oct-2022,377.6,390.0,390.6,375.0, 377.35,378.15,379.49,14875,56.45,1014, 10089, 67.83,0.15
DHARAMSI, EQ, 05-Jan-2022,319.9,327.9,327.9,316.05, 322.10,322.7,320.8,16388,52.57,706, 12294, 75.02,0.88
DHARAMSI, EQ, 05-Apr-2022,383.1,384.15,394.9,375.3, 376.00,376.6,382.61,24933,95.4,1469, 11931, 47.85,-1.7
DHARAMSI, EQ, 05-May-2022,424.1,439.0,442.0,421.75, 429.00,429.5,431.62,29842,128.8,1362, 20191, 67.66,1.27
DHARAMSI, EQ, 05-Jul-2022,374.2,378.55,378.55,330.9,356.8,360.4,361.08,19635,70.9,1072, 11063, 56.34,-3.69
DHARAMSI, EQ, 05-Aug-2022,393.0,395.0,401.15,381.75,383.1,384.6,387.92,12789,49.61,831, 7541, 58.96,-2.14
DHARAMSI, EQ, 05-Sep-2022,402.7,410.0,415.05,400.05, 404.40,406.75,407.91,31710,129.35,1462, 24646, 77.72,1.01
DHARAMSI, EQ, 06-Jan-2022,322.7,322.15,329.1,320.0, 322.00,322.55,323.05,11591,37.45,487, 8604, 74.23,-0.05
DHARAMSI, EQ, 06-Apr-2022,376.6,377.05,387.9,375.05, 380.00,376.65,380.85,28654,109.13,1208, 17410, 60.76,0.01
DHARAMSI, EQ, 06-May-2022,429.5,420.05,424.45,400.95,409.4,405.45,408.59,47513,194.13,2863, 29362, 61.80,-5.6
DHARAMSI, EQ, 06-Jun-2022,365.65,372.95,372.95,356.1,369.0,366.95,366.36,4997,18.31,489, 2660, 53.23,0.36
DHARAMSI, EQ, 06-Jul-2022,360.4,367.0,367.0,357.3,363.0,361.2,361.3,6899,24.93,443, 5245, 76.03,0.22
DHARAMSI, EQ, 06-Sep-2022,406.75,409.5,409.5,395.05, 399.10,400.25,399.95,22425,89.69,1133, 17021, 75.90,-1.6
DHARAMSI, EQ, 06-Oct-2022,378.15,384.85,394.45,379.95, 386.00,389.85,388.87,11457,44.55,1381, 6218, 54.27,3.09
DHARAMSI, EQ, 06-Dec-2021,313.45,315.0,318.5,310.05, 316.00,314.85,313.42,13046,40.89,401, 8010, 61.40,0.45
DHARAMSI, EQ, 07-Jan-2022,322.55,323.45,340.0,322.05,329.0,329.65,329.33,19047,62.73,1138, 11132, 58.44,2.2
DHARAMSI, EQ, 07-Feb-2022,372.35,382.35,382.35,362.4, 365.95,365.25,372.18,9047,33.67,634, 5495, 60.74,-1.91
DHARAMSI, EQ, 07-Mar-2022,335.05,323.3,334.05,310.0, 320.00,319.95,321.77,24239,77.99,1735,14394,59.38,-4.51
DHARAMSI, EQ, 07-Apr-2022,376.65,381.6,381.6,365.0,367.55,368.65,372.37,13823,51.47,646, 10473, 75.77,-2.12
DHARAMSI, EQ, 07-Jun-2022,366.95,374.0,374.0,356.7,359.95,360.25,361.24,4955,17.9,563, 2827, 57.05,-1.83
DHARAMSI, EQ, 07-Jul-2022,361.2,363.95,364.0,359.25, 362.80,361.3,361.64,6011,21.74,358, 3590, 59.72,0.03
DHARAMSI, EQ, 07-Sep-2022,400.25,404.0,404.0,385.0, 385.00,387.2,393.75,19639,77.33,1494, 13707, 69.79,-3.26
DHARAMSI, EQ, 07-Oct-2022,389.85,394.0,394.0,384.1, 389.90,388.35,386.97,8566,33.15,847, 3876, 45.25,-0.38
DHARAMSI, EQ, 07-Dec-2021,314.85,313.85,324.9,313.25,319.6,318.7,317.06,4375,13.87,253, 2889, 66.03,1.22
DHARAMSI, EQ, 08-Feb-2022,365.25,365.1,365.1,346.95,352.0,352.35,353.21,9102,32.15,1376, 3857, 42.38,-3.53
DHARAMSI, EQ, 08-Mar-2022,319.95,325.4,379.7,316.1, 340.00,339.7,327.48,36133,118.33,891, 26693, 73.87,6.17
DHARAMSI, EQ, 08-Apr-2022,368.65,373.0,379.0,370.05, 372.10,374.2,373.97,19313,72.22,909, 13987, 72.42,1.51
DHARAMSI, EQ, 08-Jun-2022,360.25,356.25,365.0,354.1,359.5,360.4,359.97,7760,27.93,509, 4489, 57.85,0.04
DHARAMSI, EQ, 08-Jul-2022,361.3,363.75,364.0,356.0,360.0,357.85,361.57,4821,17.43,284, 3439, 71.33,-0.95
DHARAMSI, EQ, 08-Aug-2022,384.6,386.95,391.75,371.1,374.2,372.55,377.47,8984,33.91,528,6510,72.46,-3.13
