SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DIFFNKG, EQ, 01-Jan-2025,332.55,332.5,336.4,327.75,331.5,331.4,331.73,62670,207.9,1527, 45302, 72.29,-0.35
DIFFNKG, EQ, 02-Jan-2025,331.4,333.0,344.4,327.0,340.0,339.9,335.23,61024,204.57,2197, 36143, 59.23,2.56
DIFFNKG, EQ, 02-Dec-2024,307.65,305.65,323.0,302.5,323.0,322.75,317.38,133199,422.75,2852, 75029, 56.33,4.91
DIFFNKG, EQ, 03-Jan-2025,339.9,342.2,356.85,340.25,356.0,356.45,351.96,191796,675.05,3029, 126341, 65.87,4.87
DIFFNKG, EQ, 03-Feb-2025,281.2,281.95,281.95,270.9,275.0,274.25,273.74,70632,193.35,1479, 51296, 72.62,-2.47
DIFFNKG, EQ, 03-Dec-2024,322.75,331.75,336.7,325.85,333.5,333.9,332.01,191632,636.24,5620, 107226, 55.95,3.45
DIFFNKG, EQ, 04-Feb-2025,274.25,277.0,286.0,271.0,278.5,279.8,277.78,48851,135.7,2665, 21049, 43.09,2.02
DIFFNKG, EQ, 04-Nov-2024,368.2,349.8,355.0,349.8,349.8,349.8,351.41,211040,741.61,2529, 122519, 58.05,-5.0
DIFFNKG, EQ, 04-Dec-2024,333.9,340.0,350.55,330.4,347.05,349.55,346.11,295449,1022.57,3823, 194767, 65.92,4.69
DIFFNKG, EQ, 05-Feb-2025,279.8,284.0,293.75,277.3,288.25,291.7,289.15,206403,596.81,3141, 129870, 62.92,4.25
DIFFNKG, EQ, 05-Nov-2024,349.8,332.35,342.45,332.35,332.35,332.8,334.26,768384,2568.37,7039, 237458, 30.90,-4.86
DIFFNKG, EQ, 05-Dec-2024,349.55,350.0,363.7,340.6,352.0,351.15,352.82,265391,936.35,7582, 145167, 54.70,0.46
DIFFNKG, EQ, 06-Jan-2025,356.45,360.0,364.7,338.65,338.65,338.65,351.45,159569,560.81,4417, 100398, 62.92,-4.99
DIFFNKG, EQ, 06-Feb-2025,291.7,295.05,350.0,294.95,320.95,323.4,332.37,1339888,4453.35,22387, 349338, 26.07,10.87
DIFFNKG, EQ, 06-Nov-2024,332.8,339.0,349.4,332.1,336.0,338.3,344.22,884023,3042.95,9655, 252203, 28.53,1.65
DIFFNKG, EQ, 06-Dec-2024,351.15,355.0,365.0,342.6,363.5,362.05,355.51,182610,649.2,4855, 101559, 55.62,3.1
DIFFNKG, EQ, 07-Jan-2025,338.65,338.0,348.0,330.05,336.05,336.1,339.05,73241,248.32,2745, 37885, 51.73,-0.75
DIFFNKG, EQ, 07-Feb-2025,323.4,324.05,349.0,310.15,319.7,314.0,330.58,439612,1453.25,12947, 114492, 26.04,-2.91
DIFFNKG, EQ, 07-Nov-2024,338.3,341.0,346.0,329.0,330.05,330.4,335.11,343360,1150.65,6107, 179832, 52.37,-2.34
DIFFNKG, EQ, 08-Jan-2025,336.1,336.0,343.45,331.05,336.65,337.2,336.11,60117,202.06,2236, 29537, 49.13,0.33
DIFFNKG, EQ, 08-Nov-2024,330.4,333.3,346.9,324.1, 330.25,328.7,339.5,566576,1923.51,9238, 182767, 32.26,-0.51
DIFFNKG, EQ, 09-Jan-2025,337.2,333.5,338.95,322.0,323.0,324.0,329.98,73171,241.45,2070, 44072, 60.23,-3.91
DIFFNKG, EQ, 09-Dec-2024,362.05,367.0,367.65,351.0,351.8,353.0,356.1,141729,504.69,3901, 85621, 60.41,-2.5
DIFFNKG, EQ, 10-Jan-2025,324.0,324.0,329.45,307.8,311.9,311.1,313.84,57398,180.14,2132, 33422, 58.23,-3.98
DIFFNKG, EQ, 10-Feb-2025,314.0,327.7,330.6,301.2,302.6,303.5,312.67,180624,564.76,4876, 82539, 45.70,-3.34
DIFFNKG, EQ, 10-Dec-2024,353.0,352.9,358.7,335.35,336.9,336.9,346.73,214101,742.34,3332, 158236, 73.91,-4.56
DIFFNKG, EQ, 11-Feb-2025,303.5,303.5,303.5,278.55,284.5,282.7,285.19,91276,260.31,3876, 40056, 43.88,-6.85
DIFFNKG, EQ, 11-Nov-2024,328.7,332.9,343.35,325.0, 336.70,332.15,334.86,278867,933.82,6327, 108078, 38.76,1.05
DIFFNKG, EQ, 11-Dec-2024,336.9,339.5,348.6,334.0,340.05,340.2,340.98,114809,391.47,3226, 59944, 52.21,0.98
DIFFNKG, EQ, 12-Feb-2025,282.7,282.95,290.0,268.35,281.5,282.4,279.88,114872,321.5,5390, 38540, 33.55,-0.11
DIFFNKG, EQ, 12-Nov-2024,332.15,335.8,336.0,317.0,319.95,320.1,325.85,155613,507.07,3450, 92140, 59.21,-3.63
DIFFNKG, EQ, 12-Dec-2024,340.2,341.4,357.2,339.45,351.0,352.25,350.35,170519,597.42,4257, 81401, 47.74,3.54
DIFFNKG, EQ, 13-Jan-2025,311.1,312.5,316.8,295.55,298.0,299.95,303.53,59724,181.28,2487, 36227, 60.66,-3.58
DIFFNKG, EQ, 13-Feb-2025,282.4,284.95,288.95,273.5,274.9,274.65,279.11,60395,168.57,2816, 24945, 41.30,-2.74
DIFFNKG, EQ, 13-Nov-2024,320.1,329.0,329.0,304.1,304.1,304.1,307.48,353565,1087.13,4507, 140788, 39.82,-5.0
DIFFNKG, EQ, 13-Dec-2024,352.25,352.8,356.45,336.0,346.5,347.7,344.23,191362,658.73,3181, 117639, 61.47,-1.29
