SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
DIVOPPBEES, EQ, 01-Jan-2024,68.19,70.25,70.25,68.19, 68.42,68.58,68.49,50586,34.65,1455, 38385, 75.88,0.57
DIVOPPBEES, EQ, 01-Jan-2025,80.71,83.15,83.15,80.17,81.27,80.76,80.69,37001,29.86,1194, 24463, 66.11,0.06
DIVOPPBEES, EQ, 01-Feb-2023,48.73,50.2,50.39,48.07, 50.00,49.48,49.14,12323,6.06,418, 6845, 55.55,1.54
DIVOPPBEES, EQ, 01-Feb-2024,71.58,73.75,73.75,71.07, 71.79,71.72,71.78,38205,27.43,1205, 27177, 71.13,0.2
DIVOPPBEES, EQ, 01-Mar-2023,48.34,49.8,50.0,48.37, 48.53,48.71,48.74,17499,8.53,616, 10378, 59.31,0.77
DIVOPPBEES, EQ, 01-Mar-2024,73.25,75.45,75.45,73.25, 74.20,74.15,74.04,38452,28.47,1279, 25109, 65.30,1.23
DIVOPPBEES, EQ, 01-Apr-2024,70.7,72.8,73.6,71.88, 73.60,73.44,73.32,64315,47.16,1577, 40871, 63.55,3.88
DIVOPPBEES, EQ, 01-Apr-2025,75.56,77.3,77.3,73.35,74.82,74.58,74.89,68419,51.24,1648, 51330, 75.02,-1.3
DIVOPPBEES, EQ, 01-Jun-2022,43.73,44.75,45.3,43.01,43.31,43.47,43.83,2128,0.93,120, 1911, 89.80,-0.59
DIVOPPBEES, EQ, 01-Jun-2023,51.6,53.15,53.15,50.2, 51.40,51.65,51.77,19511,10.1,694, 13677, 70.10,0.1
DIVOPPBEES, EQ, 01-Jul-2022,41.75,42.88,42.88,40.95,41.77,41.73,41.57,3817,1.59,108, 3670, 96.15,-0.05
DIVOPPBEES, EQ, 01-Jul-2024,79.86,82.25,82.25,78.0,80.36,80.31,80.21,38612,30.97,1608, 26795, 69.40,0.56
DIVOPPBEES, EQ, 01-Aug-2022,45.19,49.99,49.99,44.29, 45.43,45.34,45.24,13326,6.03,217, 10634, 79.80,0.33
DIVOPPBEES, EQ, 01-Aug-2023,56.0,57.4,57.4,55.52, 56.22,56.06,56.31,29209,16.45,847, 19369, 66.31,0.11
DIVOPPBEES, EQ, 01-Aug-2024,87.29,87.6,88.17,86.9,87.4,87.22,87.29,102509,89.48,1817, 85429, 83.34,-0.08
DIVOPPBEES, EQ, 01-Sep-2022,46.16,44.15,46.78,44.15,45.8,45.78,45.81,5234,2.4,190, 4674, 89.30,-0.82
DIVOPPBEES, EQ, 01-Sep-2023,55.4,56.3,56.3,54.23, 56.11,56.1,55.98,18402,10.3,688, 13167, 71.55,1.26
DIVOPPBEES, EQ, 01-Oct-2024,88.77,89.0,89.6,88.62,88.94,88.96,88.93,55016,48.93,1548, 35591, 64.69,0.21
DIVOPPBEES, EQ, 01-Nov-2022,46.93,47.79,47.79,46.2,47.3,47.45,47.27,11174,5.28,861, 6654, 59.55,1.11
DIVOPPBEES, EQ, 01-Nov-2023,56.99,58.7,58.7,56.56, 56.73,56.67,56.92,19199,10.93,688, 13334, 69.45,-0.56
DIVOPPBEES, EQ, 01-Dec-2022,49.03,49.25,52.97,48.19,49.5,49.26,49.25,10181,5.01,441, 6253, 61.42,0.47
DIVOPPBEES, EQ, 01-Dec-2023,61.98,63.85,63.85,61.06, 62.35,62.84,62.78,63778,40.04,1112, 55263, 86.65,1.39
DIVOPPBEES, EQ, 02-Jan-2023,47.63,48.87,48.87,47.31, 47.84,47.83,47.87,9385,4.49,395, 5839, 62.22,0.42
DIVOPPBEES, EQ, 02-Jan-2024,68.58,70.21,70.21,67.16, 68.28,68.24,68.12,55663,37.92,1348, 42060, 75.56,-0.5
DIVOPPBEES, EQ, 02-Jan-2025,80.76,80.4,82.4,79.6,81.88,82.15,81.36,32884,26.75,1077, 18047, 54.88,1.72
DIVOPPBEES, EQ, 02-Feb-2023,49.48,50.0,50.4,48.3, 50.00,49.27,49.19,30082,14.8,440, 26712, 88.80,-0.42
DIVOPPBEES, EQ, 02-Feb-2024,71.72,73.85,73.85,71.0, 72.40,72.76,72.86,48854,35.59,1181, 31098, 63.65,1.45
DIVOPPBEES, EQ, 02-Mar-2023,48.71,49.98,50.0,48.12, 50.00,48.63,48.73,21381,10.42,594, 12442, 58.19,-0.16
DIVOPPBEES, EQ, 02-Apr-2024,73.44,74.06,74.06,72.84, 73.55,73.68,73.57,62883,46.26,1211, 40965, 65.14,0.33
DIVOPPBEES, EQ, 02-Apr-2025,74.58,76.8,76.8,74.18,75.44,75.22,74.79,25019,18.71,832, 15916, 63.62,0.86
DIVOPPBEES, EQ, 02-May-2023,49.64,51.15,51.15,48.67, 50.05,50.11,50.08,22736,11.39,1211, 15478, 68.08,0.95
DIVOPPBEES, EQ, 02-May-2024,74.99,77.15,77.15,74.31, 75.50,75.77,75.71,65538,49.62,2017, 47858, 73.02,1.04
DIVOPPBEES, EQ, 02-Jun-2022,43.47,44.49,45.3,43.02,43.84,43.79,43.7,10873,4.75,185, 9552, 87.85,0.74
DIVOPPBEES, EQ, 02-Jun-2023,51.65,53.2,53.2,50.1, 51.88,51.86,51.87,9061,4.7,559, 5879, 64.88,0.41
DIVOPPBEES, EQ, 02-Jul-2024,80.31,80.75,81.31,77.9,80.8,80.54,80.38,62049,49.88,1229, 37044, 59.70,0.29
DIVOPPBEES, EQ, 02-Aug-2022,45.34,47.75,47.75,44.41,45.13,45.23,45.14,7830,3.53,145, 6415, 81.93,-0.24
DIVOPPBEES, EQ, 02-Aug-2023,56.06,57.75,57.75,54.91, 55.51,55.46,55.55,46418,25.78,1022, 27769, 59.82,-1.07
DIVOPPBEES, EQ, 02-Aug-2024,87.22,89.85,89.85,85.53,86.5,85.8,86.07,167479,144.14,2795, 151762, 90.62,-1.63
DIVOPPBEES, EQ, 02-Sep-2022,45.78,47.69,47.69,45.2,45.73,45.52,45.59,6171,2.81,161, 4001, 64.84,-0.57
DIVOPPBEES, EQ, 02-Sep-2024,88.27,90.9,91.0,88.26,88.49,88.64,88.69,112489,99.77,2359, 94513, 84.02,0.42
DIVOPPBEES, EQ, 02-Nov-2022,47.45,48.92,48.92,46.8,47.18,47.21,47.32,12287,5.81,3647, 5234, 42.60,-0.51
DIVOPPBEES, EQ, 02-Nov-2023,56.67,58.35,58.35,54.95, 57.59,57.42,57.22,12188,6.97,571, 9582, 78.62,1.32
DIVOPPBEES, EQ, 02-Dec-2022,49.26,50.4,50.4,48.89, 49.09,49.07,49.07,7414,3.64,387, 3665, 49.43,-0.39
DIVOPPBEES, EQ, 02-Dec-2024,83.08,85.55,85.55,82.19,83.77,83.28,83.09,114463,95.11,1898, 66861, 58.41,0.24
DIVOPPBEES, EQ, 03-Jan-2023,47.83,49.55,49.55,47.63, 48.03,47.8,47.94,8792,4.21,329, 2899, 32.97,-0.06
DIVOPPBEES, EQ, 03-Jan-2024,68.24,70.21,70.21,67.4, 68.70,67.89,67.92,41760,28.36,1089, 34103, 81.66,-0.51
DIVOPPBEES, EQ, 03-Jan-2025,82.15,84.6,84.6,80.16,82.2,81.97,82.07,53491,43.9,1099, 39531, 73.90,-0.22
DIVOPPBEES, EQ, 03-Feb-2023,49.27,50.48,50.48,48.95, 49.50,49.49,49.43,21999,10.87,332, 4055, 18.43,0.45
DIVOPPBEES, EQ, 03-Feb-2025,79.24,81.6,81.6,76.9,77.5,77.49,77.27,61011,47.15,2150, 49170, 80.59,-2.21
DIVOPPBEES, EQ, 03-Mar-2023,48.63,50.1,50.1,48.6, 49.02,48.95,48.9,15566,7.61,577, 7749, 49.78,0.66
DIVOPPBEES, EQ, 03-Mar-2025,71.06,68.95,73.33,68.94,71.05,71.18,70.95,67035,47.56,1980, 34875, 52.03,0.17
DIVOPPBEES, EQ, 03-Apr-2023,48.56,50.0,50.0,48.06, 48.11,48.57,48.71,20842,10.15,1272, 14823, 71.12,0.02
DIVOPPBEES, EQ, 03-Apr-2024,73.68,75.9,75.9,71.45, 74.23,74.02,74.0,42559,31.49,1058, 24819, 58.32,0.46
DIVOPPBEES, EQ, 03-Apr-2025,75.22,77.2,77.2,73.33,74.0,74.47,74.52,56171,41.86,1126, 37742, 67.19,-1.0
DIVOPPBEES, EQ, 03-May-2023,50.11,51.55,51.55,49.7,49.96,49.96,50.04,12499,6.25,744, 9832, 78.66,-0.3
DIVOPPBEES, EQ, 03-May-2024,75.77,78.05,78.05,75.1, 75.84,75.71,75.71,62229,47.11,1548, 40776, 65.53,-0.08
DIVOPPBEES, EQ, 03-Jun-2022,43.79,44.39,45.9,43.0, 43.75,43.74,44.59,41928,18.7,200, 24320, 58.00,-0.11
DIVOPPBEES, EQ, 03-Jun-2024,75.9,78.2,81.38,75.65,78.51,78.59,78.29,101161,79.2,2379, 71241, 70.42,3.54
DIVOPPBEES, EQ, 03-Jul-2023,53.58,55.2,55.2,53.06, 53.92,54.06,53.88,31279,16.85,1328, 18064, 57.75,0.9
DIVOPPBEES, EQ, 03-Jul-2024,80.54,81.3,81.3,79.5,80.89,80.86,80.67,94532,76.26,1106, 78744, 83.30,0.4
